rep,ID,eta_fi_simulated,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
0,1,-0.618513,-0.692985,-0.455894,-8.94761e-08,0.40989,2.27962e-08,2.19769e-09,All,#4682B4,0
1,1,-0.532058,-0.748768,-0.406609,2.57918e-08,0.671842,5.74595e-08,1.81408e-08,All,#4682B4,0
2,1,-0.685067,-0.720442,-0.401608,3.20774e-08,0.847558,-9.63611e-09,8.19702e-08,All,#4682B4,0
3,1,-0.533725,-0.644356,-0.522983,1.04989e-08,0.0255535,4.55673e-08,4.01357e-08,All,#4682B4,0
4,1,-0.570963,-0.674418,-0.401779,-4.17129e-08,0.231356,1.4401e-08,-3.42514e-08,All,#4682B4,0
5,1,-0.604881,-0.669371,-0.509609,6.69418e-08,0.241133,-5.00904e-09,9.89141e-08,All,#4682B4,0
6,1,-0.626466,-0.647642,-0.423177,3.34176e-09,0.520125,7.15555e-09,-6.44807e-09,All,#4682B4,0
7,1,-0.582644,-0.632536,-0.54508,-9.87492e-08,-0.298469,-3.2976e-08,7.0379e-08,All,#4682B4,0
8,1,-0.620069,-0.655306,-0.48575,5.69677e-09,0.254382,-2.20345e-09,3.87925e-08,All,#4682B4,0
9,1,-0.60732,-0.688614,-0.412052,-1.08774e-08,-0.0317338,-5.08577e-08,-5.1397e-08,All,#4682B4,0
0,2,0.0379838,0.377804,0.0329234,-1.24315e-07,0.223259,1.10652e-08,-9.28274e-08,All,#4682B4,0
1,2,0.0340958,0.223047,-0.132961,5.48657e-08,0.472195,3.82644e-09,1.82186e-08,All,#4682B4,0
2,2,-0.0772878,0.174255,-0.00254165,-3.04216e-08,-0.0598189,1.53631e-08,5.10724e-08,All,#4682B4,0
3,2,0.0212724,0.391918,-0.185335,1.56199e-08,0.185802,-1.17981e-08,1.6475e-08,All,#4682B4,0
4,2,0.0783578,0.287128,0.103591,3.85289e-08,0.28797,2.27673e-08,-2.01147e-08,All,#4682B4,0
5,2,0.107615,0.301043,0.0145366,-2.72291e-08,0.0867385,2.36868e-09,5.39958e-08,All,#4682B4,0
6,2,0.0355456,0.245916,0.0320828,8.07529e-08,1.06929,3.90013e-08,-1.4521e-08,All,#4682B4,0
7,2,-0.0419646,0.229534,-0.0473743,2.19656e-08,-0.120954,2.779e-08,-1.07685e-07,All,#4682B4,0
8,2,-0.0692876,0.221611,-0.0801113,1.68894e-08,0.737217,2.80223e-08,-2.06762e-08,All,#4682B4,0
9,2,0.0497583,0.182953,0.117305,-3.14331e-09,0.857648,-4.34009e-08,-2.9632e-08,All,#4682B4,0
