Parameters,Run_1,Run_2
Cl_pop,5.6539,5.66426
beta_Cl_logtWTKG,0.75906,0.756204
beta_Cl_tCLCRMLMIN,0.613005,0.608997
V1_pop,40.2667,41.5654
Q_pop,12.5459,11.3712
V2_pop,50.0095,53.5946
omega_Cl,0.185011,0.182907
omega_V1,0.286058,0.24429
omega_Q,0.702013,0.686203
omega_V2,0.232728,0.198115
corr_V2_V1,0.999,0.998913
a1,0.304563,0.302917
a2,0.0625244,0.0642866
-2LL,932.354,933.233
