iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2,E_bias,sd_bias
1,5.86359,0.0521495,23.0995,0.147802,7.4358,0.422326,27.6831,0.318109,0.133559,1.71491
2,5.86157,0.0451316,23.1397,0.126111,7.46628,0.36215,27.6214,0.269976,0.133696,1.52465
3,5.86034,0.0463006,23.1665,0.119117,7.45317,0.351897,27.4177,0.255501,0.132137,1.53208
4,5.84551,0.0450928,23.0684,0.115005,7.54489,0.33804,27.4176,0.244933,0.13012,1.48259
5,5.85281,0.0454611,23.0611,0.114233,7.58948,0.332299,27.4975,0.235096,0.129444,1.47297
6,5.85669,0.0456461,23.0702,0.112676,7.6328,0.32715,27.4056,0.229291,0.128551,1.49748
7,5.85907,0.0460729,23.0078,0.112489,7.68758,0.330525,27.3526,0.227818,0.128002,1.51212
8,5.86106,0.046622,22.9831,0.112987,7.72706,0.329615,27.3335,0.227555,0.128027,1.51168
9,5.85668,0.0466558,22.9683,0.111962,7.74511,0.332048,27.2942,0.22516,0.126832,1.50675
10,5.85309,0.0466289,22.9429,0.111181,7.73469,0.331548,27.2336,0.226237,0.125428,1.50392
11,5.85182,0.0465311,22.9564,0.110628,7.75156,0.332008,27.3473,0.228616,0.124628,1.50909
12,5.85041,0.0466652,22.9712,0.110012,7.75589,0.332955,27.4089,0.232523,0.12408,1.50511
13,5.84937,0.0466846,22.9612,0.108947,7.76584,0.33278,27.3981,0.232333,0.123837,1.49743
14,5.84866,0.0463488,22.9509,0.107788,7.77267,0.32991,27.4013,0.230312,0.123535,1.48695
15,5.84977,0.0465531,22.9519,0.107803,7.77916,0.330162,27.3933,0.229386,0.12288,1.51061
16,5.84987,0.0461014,22.9516,0.107523,7.78496,0.328792,27.3521,0.228736,0.122444,1.52019
17,5.8491,0.0460129,22.9532,0.107129,7.77137,0.32899,27.3458,0.230654,0.122138,1.53388
18,5.84919,0.0457741,22.9744,0.106967,7.74538,0.328749,27.348,0.233254,0.122046,1.53322
19,5.84751,0.0458233,22.9896,0.10677,7.75238,0.328695,27.3169,0.23245,0.12146,1.54592
20,5.84471,0.0455147,22.9836,0.106406,7.73539,0.327376,27.3163,0.231095,0.12107,1.55385
21,5.84115,0.045239,22.9927,0.106352,7.70181,0.326617,27.3587,0.231532,0.120743,1.57052
22,5.839,0.0450525,23.004,0.106392,7.67778,0.325318,27.3502,0.232276,0.120819,1.57499
23,5.83788,0.0449954,23.0003,0.106004,7.66958,0.323189,27.3899,0.231097,0.120786,1.5683
24,5.83658,0.0450228,23.0103,0.105412,7.6529,0.322452,27.4146,0.231492,0.120511,1.56448
25,5.83637,0.0448018,23.027,0.105036,7.64926,0.321379,27.4692,0.232647,0.12036,1.56558
26,5.83527,0.0446755,23.0399,0.104251,7.64226,0.319946,27.531,0.234938,0.120187,1.57006
27,5.83471,0.0445079,23.0532,0.104246,7.63003,0.319438,27.5711,0.23538,0.119979,1.57716
28,5.83337,0.0446355,23.065,0.10428,7.62237,0.318951,27.6258,0.236463,0.119739,1.57405
29,5.83208,0.0447275,23.0755,0.104746,7.61682,0.318801,27.6763,0.237397,0.119392,1.58416
30,5.83095,0.0449869,23.1068,0.104986,7.59644,0.317363,27.723,0.237623,0.118899,1.59539
31,5.83005,0.0449316,23.1238,0.104875,7.58756,0.318024,27.7452,0.237617,0.118383,1.60431
32,5.82884,0.045034,23.1334,0.105022,7.57399,0.319152,27.7338,0.238119,0.117916,1.60668
