Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,bias_abscissa,bias_pdf,split
2.99959,0.0644834,10.1012,0.0235171,1.56719,0.0542617,6.71622,0.0158672,-5.49414,0.00477701,All
3.20636,0.257934,11.3611,0.0293963,2.57739,0.0557282,11.3846,0.0136458,-4.56375,0.0414008,All
3.41313,0.0358241,12.621,0.00705512,3.58758,0.090925,16.053,0.0279262,-3.63337,0.0780245,All
3.6199,0,13.8809,0.00587926,4.59778,0.145187,20.7214,0.0260222,-2.70299,0.160826,All
3.82668,0.0214945,15.1409,0.0152861,5.60797,0.142254,25.3897,0.0441108,-1.77261,0.132164,All
4.03345,0.171956,16.4008,0.0329239,6.61816,0.14372,30.0581,0.031417,-0.842226,0.108279,All
4.24022,0.308088,17.6607,0.0505617,7.62836,0.111456,34.7265,0.0218967,0.0881564,0.124202,All
4.44699,0.394065,18.9206,0.0599685,8.63855,0.0894584,39.3949,0.0139631,1.01854,0.12261,All
4.65376,0.365406,20.1805,0.0623202,9.64875,0.0630609,44.0633,0.00856828,1.94892,0.157641,All
4.86053,0.186285,21.4405,0.0764304,10.6589,0.0410629,48.7316,0.00698156,2.8793,0.0780245,All
5.0673,0.265099,22.7004,0.0834855,11.6691,0.0322637,53.4,0.00158672,3.80968,0.0207004,All
5.27408,0.336747,23.9603,0.105827,12.6793,0.021998,58.0684,0.00253875,4.74007,0.00636935,All
5.48085,0.265099,25.2202,0.0975958,13.6895,0.00293306,62.7368,0.000317344,5.67045,0,All
5.68762,0.250769,26.4801,0.0823097,14.6997,0.00879919,67.4052,0.000634687,6.60083,0,All
5.89439,0.200615,27.7401,0.0258688,15.7099,0.00293306,72.0736,0.000634687,7.53121,0,All
6.10116,0.279428,29,0.00940682,16.7201,0.00293306,76.7419,0.000634687,8.4616,0,All
6.30793,0.358241,30.2599,0.00705512,17.7303,0.00146653,81.4103,0.00126937,9.39198,0,All
6.5147,0.386901,31.5198,0.00470341,18.7405,0.00146653,86.0787,0.000317344,10.3224,0,All
6.72148,0.265099,32.7797,0.00117585,19.7507,0.00439959,90.7471,0.00190406,11.2527,0,All
6.92825,0.143297,34.0397,0.00117585,20.7609,0,95.4155,0,12.1831,0,All
7.13502,0.0788131,35.2996,0.00470341,21.7711,0.00439959,100.084,0.000317344,13.1135,0,All
7.34179,0.0573186,36.5595,0.00823097,22.7813,0.00293306,104.752,0.000634687,14.0439,0.00318467,All
7.54856,0.0501538,37.8194,0.00587926,23.7915,0.00146653,109.421,0,14.9743,0.00636935,All
7.75533,0.0788131,39.0794,0.0105827,24.8017,0,114.089,0.000317344,15.9047,0.0175157,All
7.9621,0.0788131,40.3393,0.00587926,25.8118,0,118.757,0.000317344,16.835,0.0159234,All
8.16888,0.0788131,41.5992,0.00235171,26.822,0,123.426,0,17.7654,0.0207004,All
8.37565,0.0358241,42.8591,0.00352756,27.8322,0.00146653,128.094,0.000317344,18.6958,0.0159234,All
