Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,bias_abscissa,bias_pdf,bias_cdf,split
1.90243,4.70514e-05,4.43649e-06,7.68121,0.000203279,0.000112048,1.0621,0.00363744,0.000574798,4.38203,0.00212426,0.00169092,-5.95933,0.0323107,0.0887719,All
2.03424,0.000153186,1.64485e-05,8.22591,0.000451597,0.000283094,1.3376,0.0109825,0.00247401,5.65522,0.00537464,0.00630717,-5.70559,0.034566,0.0972552,All
2.16606,0.000428383,5.21285e-05,8.77061,0.000903587,0.00064089,1.61311,0.0233531,0.00709276,6.92842,0.00982187,0.0158887,-5.45185,0.0368827,0.106319,All
2.29787,0.00105257,0.000144555,9.31531,0.00165419,0.00132163,1.88862,0.039909,0.015729,8.20161,0.0147879,0.0315366,-5.19811,0.0392523,0.115977,All
2.42969,0.00231448,0.000357456,9.86001,0.00280621,0.00251588,2.16413,0.0589285,0.0293099,9.47481,0.019644,0.0534949,-4.94436,0.0416657,0.126242,All
2.5615,0.00462346,0.000800563,10.4047,0.00445738,0.00446946,2.43963,0.0785142,0.0482505,10.748,0.0239513,0.0813221,-4.69062,0.0441126,0.137124,All
2.69331,0.00849578,0.00164493,10.9494,0.00668638,0.00747686,2.71514,0.0970466,0.0724742,12.0212,0.0274695,0.114147,-4.43688,0.0465818,0.14863,All
2.82513,0.0145103,0.00313443,11.4941,0.00954024,0.0118673,2.99065,0.113372,0.10152,13.2944,0.0301147,0.150898,-4.18314,0.0490614,0.160765,All
2.95694,0.0232375,0.00558959,12.0388,0.0130255,0.0179849,3.26616,0.126814,0.134678,14.5676,0.0319074,0.190468,-3.9294,0.0515388,0.173528,All
3.08876,0.0351534,0.00940087,12.5835,0.0171046,0.0261654,3.54166,0.137097,0.171106,15.8408,0.0329285,0.231819,-3.67566,0.0540006,0.186918,All
3.22057,0.0505553,0.0150106,13.1282,0.0216969,0.0367121,3.81717,0.144241,0.209931,17.114,0.0332877,0.274036,-3.42192,0.056433,0.20093,All
3.35239,0.0694954,0.0228846,13.6729,0.0266854,0.0498741,4.09268,0.148465,0.250316,18.3872,0.0331027,0.316352,-3.16818,0.0588217,0.215553,All
3.4842,0.0917448,0.0334774,14.2176,0.0319257,0.0658289,4.36819,0.150099,0.2915,19.6604,0.0324868,0.358146,-2.91444,0.0611522,0.230776,All
3.61602,0.116794,0.0471946,14.7623,0.0372575,0.0846706,4.64369,0.149525,0.33282,20.9336,0.0315423,0.398936,-2.6607,0.0634099,0.246581,All
3.74783,0.143888,0.0643578,15.307,0.0425166,0.106404,4.9192,0.147136,0.373724,22.2068,0.0303576,0.438363,-2.40696,0.0655801,0.262948,All
3.87965,0.172091,0.0851765,15.8517,0.0475449,0.130946,5.19471,0.143304,0.413762,23.48,0.0290072,0.476169,-2.15322,0.0676484,0.279853,All
4.01146,0.200361,0.109729,16.3964,0.0522,0.158132,5.47022,0.13837,0.452586,24.7531,0.0275515,0.512182,-1.89948,0.0696006,0.297268,All
4.14327,0.227643,0.137954,16.9411,0.0563618,0.187723,5.74572,0.132631,0.489932,26.0263,0.0260392,0.546301,-1.64574,0.0714231,0.315163,All
4.27509,0.25294,0.169655,17.4858,0.0599363,0.219425,6.02123,0.126342,0.525617,27.2995,0.0245081,0.57848,-1.392,0.0731029,0.333502,All
4.4069,0.275385,0.204511,18.0305,0.0628577,0.252899,6.29674,0.119714,0.559518,28.5727,0.0229874,0.608713,-1.13826,0.0746278,0.352248,All
4.53872,0.294285,0.242098,18.5752,0.0650885,0.287777,6.57225,0.11292,0.591566,29.8459,0.0214987,0.637028,-0.884516,0.0759865,0.37136,All
4.67053,0.30915,0.281915,19.1199,0.066617,0.323679,6.84775,0.106098,0.621736,31.1191,0.0200579,0.663478,-0.630775,0.077169,0.390795,All
4.80235,0.319703,0.323409,19.6646,0.0674551,0.360224,7.12326,0.099356,0.650035,32.3923,0.0186759,0.688129,-0.377035,0.0781663,0.410506,All
4.93416,0.325866,0.366005,20.2093,0.0676339,0.397045,7.39877,0.0927758,0.676497,33.6655,0.0173599,0.711062,-0.123294,0.0789707,0.430446,All
5.06598,0.327745,0.409129,20.754,0.0672002,0.433793,7.67428,0.0864178,0.701176,34.9387,0.0161141,0.732364,0.130447,0.0795761,0.450566,All
5.19779,0.325596,0.452231,21.2987,0.0662122,0.470152,7.94978,0.0803251,0.724139,36.2119,0.0149405,0.752125,0.384187,0.0799779,0.470813,All
5.3296,0.319792,0.494805,21.8434,0.0647354,0.505836,8.22529,0.074526,0.745463,37.4851,0.0138394,0.770439,0.637928,0.0801728,0.491135,All
5.46142,0.31079,0.536397,22.3881,0.0628398,0.540598,8.5008,0.0690376,0.765233,38.7583,0.0128096,0.787396,0.891668,0.0801594,0.511481,All
5.59323,0.299096,0.57662,22.9328,0.0605962,0.57423,8.77631,0.0638681,0.783534,40.0315,0.0118492,0.803086,1.14541,0.0799377,0.531797,All
5.72505,0.285234,0.615152,23.4775,0.0580742,0.606561,9.05181,0.0590185,0.800454,41.3047,0.0109557,0.817597,1.39915,0.0795096,0.552031,All
5.85686,0.26972,0.651743,24.0222,0.0553402,0.637458,9.32732,0.0544845,0.816083,42.5779,0.0101259,0.831011,1.65289,0.0788783,0.572129,All
5.98868,0.253049,0.686207,24.5669,0.0524556,0.666822,9.60283,0.0502579,0.830504,43.8511,0.00935658,0.843407,1.90663,0.0780486,0.592043,All
6.12049,0.235671,0.718423,25.1116,0.0494765,0.694586,9.87834,0.0463277,0.843803,45.1243,0.00864423,0.854861,2.16037,0.0770271,0.611721,All
6.25231,0.217988,0.748324,25.6563,0.0464527,0.720713,10.1538,0.0426809,0.856058,46.3975,0.00798537,0.865441,2.41411,0.0758214,0.631117,All
6.38412,0.200347,0.775893,26.201,0.0434274,0.745191,10.4294,0.0393031,0.867345,47.6707,0.00737652,0.875216,2.66785,0.0744407,0.650185,All
6.51594,0.183036,0.801156,26.7457,0.0404374,0.76803,10.7049,0.0361794,0.877738,48.9438,0.0068143,0.884245,2.92159,0.0728952,0.668881,All
6.64775,0.166289,0.824171,27.2904,0.0375134,0.789256,10.9804,0.0332946,0.887303,50.217,0.00629545,0.892586,3.17533,0.0711964,0.687165,All
6.77956,0.150286,0.845027,27.8351,0.0346801,0.808913,11.2559,0.0306333,0.896104,51.4902,0.00581684,0.900292,3.42907,0.0693565,0.704999,All
6.91138,0.13516,0.86383,28.3798,0.031957,0.827057,11.5314,0.0281805,0.904201,52.7634,0.0053755,0.907414,3.68281,0.0673886,0.722351,All
7.04319,0.120999,0.880701,28.9245,0.0293586,0.84375,11.8069,0.0259219,0.91165,54.0366,0.00496863,0.913995,3.93656,0.0653064,0.739188,All
7.17501,0.107857,0.895773,29.4692,0.0268952,0.859064,12.0824,0.0238433,0.918501,55.3098,0.0045936,0.920079,4.1903,0.0631241,0.755484,All
7.30682,0.0957552,0.909181,30.0139,0.0245732,0.873075,12.3579,0.0219316,0.924803,56.583,0.00424795,0.925705,4.44404,0.0608562,0.771215,All
7.43864,0.0846894,0.921063,30.5586,0.0223962,0.885861,12.6334,0.0201741,0.9306,57.8562,0.0039294,0.930908,4.69778,0.0585174,0.786362,All
7.57045,0.0746363,0.931553,31.1033,0.0203647,0.8975,12.9089,0.018559,0.935932,59.1294,0.00363581,0.935721,4.95152,0.0561222,0.800907,All
7.70227,0.065557,0.940782,31.648,0.0184774,0.908072,13.1844,0.0170752,0.940838,60.4026,0.0033652,0.940176,5.20526,0.0536853,0.814839,All
7.83408,0.0574015,0.948876,32.1927,0.016731,0.917655,13.4599,0.0157123,0.945352,61.6758,0.00311576,0.944299,5.459,0.0512207,0.828149,All
7.9659,0.0501123,0.955953,32.7374,0.0151208,0.926324,13.7354,0.0144607,0.949506,62.949,0.00288578,0.948118,5.71274,0.0487423,0.840831,All
8.09771,0.0436273,0.962122,33.2821,0.0136413,0.934151,14.0109,0.0133113,0.953329,64.2222,0.00267372,0.951655,5.96648,0.0462634,0.852885,All
8.22952,0.0378825,0.967487,33.8268,0.0122861,0.941207,14.2865,0.0122559,0.956849,65.4954,0.00247813,0.954933,6.22022,0.0437964,0.86431,All
8.36134,0.0328133,0.972139,34.3715,0.0110482,0.947557,14.562,0.0112869,0.960091,66.7686,0.0022977,0.957972,6.47396,0.0413532,0.875113,All
8.49315,0.0283568,0.976164,34.9162,0.00992056,0.953263,14.8375,0.010397,0.963076,68.0418,0.0021312,0.96079,6.7277,0.0389449,0.885299,All
8.62497,0.0244522,0.979639,35.4609,0.00889582,0.958383,15.113,0.00957985,0.965826,69.315,0.00197751,0.963404,6.98144,0.0365815,0.89488,All
8.75678,0.0210421,0.982632,36.0056,0.00796673,0.962972,15.3885,0.00882934,0.968361,70.5882,0.00183562,0.96583,7.23518,0.0342723,0.903868,All
