Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,bias_abscissa,bias_cdf,split
1.90243,0,7.68121,0,1.0621,0.00142857,4.38203,0.00142857,-5.95933,0.00142857,All
2.8962,0.00142857,9.47121,0.00142857,1.14549,0.00285714,4.62375,0.00285714,-5.69746,0.00285714,All
2.98836,0.00285714,9.99159,0.00285714,1.15215,0.00428571,4.77187,0.00428571,-5.52666,0.00428571,All
3.04633,0.00428571,10.0836,0.00428571,1.16434,0.00571429,4.79973,0.00571429,-5.0224,0.00571429,All
3.07097,0.00571429,10.2686,0.00571429,1.23079,0.00714286,4.84941,0.00714286,-4.97645,0.00714286,All
3.07682,0.00714286,10.2858,0.00714286,1.25516,0.00857143,4.93095,0.00857143,-4.9585,0.00857143,All
3.09293,0.00857143,10.3445,0.00857143,1.35983,0.01,4.97139,0.01,-4.88822,0.01,All
3.09331,0.01,10.3543,0.01,1.37265,0.0114286,5.00818,0.0114286,-4.83092,0.0114286,All
3.10145,0.0114286,10.4252,0.0114286,1.38436,0.0128571,5.04256,0.0128571,-4.81102,0.0128571,All
3.10251,0.0128571,10.4307,0.0128571,1.38622,0.0142857,5.05376,0.0142857,-4.64181,0.0142857,All
3.11125,0.0142857,10.4474,0.0142857,1.3972,0.0157143,5.06016,0.0157143,-4.61964,0.0157143,All
3.12208,0.0157143,10.4628,0.0157143,1.42209,0.0171429,5.10893,0.0171429,-4.59394,0.0171429,All
3.1238,0.0171429,10.4858,0.0171429,1.43521,0.0185714,5.13035,0.0185714,-4.57656,0.0185714,All
3.12388,0.0185714,10.4863,0.0185714,1.44819,0.02,5.18822,0.02,-4.50285,0.02,All
3.12747,0.02,10.5289,0.02,1.46778,0.0214286,5.3908,0.0214286,-4.43265,0.0214286,All
3.14206,0.0214286,10.5368,0.0214286,1.53035,0.0228571,5.41505,0.0228571,-4.40603,0.0228571,All
3.14466,0.0228571,10.5936,0.0228571,1.54579,0.0242857,5.42773,0.0242857,-4.38827,0.0242857,All
3.14707,0.0242857,10.5969,0.0242857,1.56042,0.0257143,5.44279,0.0257143,-4.37131,0.0257143,All
3.15621,0.0257143,10.6323,0.0257143,1.56632,0.0271429,5.50282,0.0271429,-4.34763,0.0271429,All
3.1582,0.0271429,10.7099,0.0271429,1.61171,0.0285714,5.52321,0.0285714,-4.34664,0.0285714,All
3.16503,0.0285714,10.7286,0.0285714,1.61185,0.03,5.52904,0.03,-4.29239,0.03,All
3.1658,0.03,10.747,0.03,1.61867,0.0314286,5.53311,0.0314286,-4.27801,0.0314286,All
3.16708,0.0314286,10.7692,0.0314286,1.63554,0.0328571,5.56,0.0328571,-4.26675,0.0328571,All
3.17909,0.0328571,10.7857,0.0328571,1.68892,0.0342857,5.58324,0.0342857,-4.23117,0.0342857,All
3.18206,0.0342857,10.7867,0.0342857,1.69564,0.0357143,5.6017,0.0357143,-4.21496,0.0357143,All
3.18247,0.0357143,10.8052,0.0357143,1.70032,0.0371429,5.63792,0.0371429,-4.18701,0.0371429,All
3.18315,0.0371429,10.8156,0.0371429,1.71272,0.0385714,5.64806,0.0385714,-4.1436,0.0385714,All
3.18625,0.0385714,10.8396,0.0385714,1.72255,0.04,5.64951,0.04,-4.1373,0.04,All
3.19947,0.04,10.8504,0.04,1.7237,0.0414286,5.6713,0.0414286,-4.1226,0.0414286,All
3.20125,0.0414286,10.8661,0.0414286,1.72575,0.0428571,5.69377,0.0428571,-4.09393,0.0428571,All
3.20195,0.0428571,10.8716,0.0428571,1.8538,0.0442857,5.70651,0.0442857,-3.96669,0.0442857,All
3.20275,0.0442857,10.8911,0.0442857,1.86821,0.0457143,5.73052,0.0457143,-3.93958,0.0457143,All
3.20987,0.0457143,10.9064,0.0457143,1.89213,0.0471429,5.884,0.0471429,-3.93868,0.0471429,All
3.21347,0.0471429,11.0082,0.0471429,1.89607,0.0485714,5.89058,0.0485714,-3.93067,0.0485714,All
3.21954,0.0485714,11.0455,0.0485714,1.91395,0.05,5.93641,0.05,-3.90368,0.05,All
3.22665,0.05,11.0565,0.05,1.96961,0.0514286,5.95309,0.0514286,-3.8781,0.0514286,All
3.23605,0.0514286,11.2816,0.0514286,1.98526,0.0528571,5.98829,0.0528571,-3.86135,0.0528571,All
3.24797,0.0528571,11.3047,0.0528571,2.08676,0.0542857,6.09971,0.0542857,-3.84777,0.0542857,All
3.25205,0.0542857,11.3235,0.0542857,2.12733,0.0557143,6.27055,0.0557143,-3.82275,0.0557143,All
3.27188,0.0557143,11.3247,0.0557143,2.14087,0.0571429,6.2726,0.0571429,-3.80407,0.0571429,All
3.27427,0.0571429,11.5467,0.0571429,2.15499,0.0585714,6.29687,0.0585714,-3.77265,0.0585714,All
3.27784,0.0585714,11.6384,0.0585714,2.17658,0.06,6.30015,0.06,-3.75684,0.06,All
3.28642,0.06,11.7276,0.06,2.17721,0.0614286,6.30792,0.0614286,-3.73476,0.0614286,All
3.28814,0.0614286,11.8119,0.0614286,2.17747,0.0628571,6.40557,0.0628571,-3.71679,0.0628571,All
3.29031,0.0628571,11.8545,0.0628571,2.24877,0.0642857,6.42766,0.0642857,-3.69185,0.0642857,All
3.29874,0.0642857,11.8689,0.0642857,2.28264,0.0657143,6.60233,0.0657143,-3.67483,0.0657143,All
3.32037,0.0657143,12.0284,0.0657143,2.29955,0.0671429,6.65747,0.0671429,-3.64603,0.0671429,All
3.35502,0.0671429,12.0438,0.0671429,2.32864,0.0685714,6.69618,0.0685714,-3.63892,0.0685714,All
3.36313,0.0685714,12.1628,0.0685714,2.33688,0.07,7.2618,0.07,-3.63338,0.07,All
3.40673,0.07,12.5283,0.07,2.38572,0.0714286,8.89446,0.0714286,-3.63215,0.0714286,All
3.40817,0.0714286,12.7291,0.0714286,2.41159,0.0728571,9.75983,0.0728571,-3.61065,0.0728571,All
3.7776,0.0728571,13.1951,0.0728571,2.43433,0.0742857,9.83298,0.0742857,-3.53203,0.0742857,All
3.8044,0.0742857,13.6645,0.0742857,2.46109,0.0757143,9.98973,0.0757143,-3.52606,0.0757143,All
3.82881,0.0757143,14.2024,0.0757143,2.48869,0.0771429,10.0539,0.0771429,-3.49226,0.0771429,All
3.93149,0.0771429,14.2399,0.0771429,2.49482,0.0785714,10.2292,0.0785714,-3.471,0.0785714,All
3.93909,0.0785714,14.2983,0.0785714,2.65356,0.08,10.4056,0.08,-3.46388,0.08,All
3.97011,0.08,14.3478,0.08,2.65793,0.0814286,10.4057,0.0814286,-3.43133,0.0814286,All
4.03974,0.0814286,14.5617,0.0814286,2.69282,0.0828571,10.4441,0.0828571,-3.42869,0.0828571,All
4.04177,0.0828571,14.5693,0.0828571,2.6934,0.0842857,10.6693,0.0842857,-3.37116,0.0842857,All
4.04942,0.0842857,14.751,0.0842857,2.71007,0.0857143,10.7021,0.0857143,-3.35523,0.0857143,All
4.05972,0.0857143,14.8341,0.0857143,2.75655,0.0871429,10.8869,0.0871429,-3.35432,0.0871429,All
4.06109,0.0871429,14.9165,0.0871429,2.79252,0.0885714,10.911,0.0885714,-3.34929,0.0885714,All
4.07118,0.0885714,14.9204,0.0885714,2.83775,0.09,10.9867,0.09,-3.34496,0.09,All
4.07772,0.09,14.9229,0.09,2.88311,0.0914286,11.0916,0.0914286,-3.3425,0.0914286,All
4.08094,0.0914286,14.962,0.0914286,2.9253,0.0928571,11.1441,0.0928571,-3.32824,0.0928571,All
4.08983,0.0928571,15.2334,0.0928571,2.93423,0.0942857,11.1872,0.0942857,-3.32343,0.0942857,All
4.09565,0.0942857,15.4156,0.0942857,2.93984,0.0957143,11.2556,0.0957143,-3.31449,0.0957143,All
4.0966,0.0957143,15.5209,0.0957143,2.97359,0.0971429,11.2808,0.0971429,-3.31408,0.0971429,All
4.11199,0.0971429,15.5377,0.0971429,2.98064,0.0985714,11.46,0.0985714,-3.31091,0.0985714,All
4.11845,0.0985714,15.633,0.0985714,2.9869,0.1,11.547,0.1,-3.3045,0.1,All
4.12179,0.1,15.7992,0.1,2.98958,0.101429,11.6774,0.101429,-3.28435,0.101429,All
4.12198,0.101429,15.8605,0.101429,3.01664,0.102857,11.6943,0.102857,-3.27828,0.102857,All
4.12328,0.102857,15.9229,0.102857,3.02231,0.104286,11.8685,0.104286,-3.27782,0.104286,All
4.12896,0.104286,15.9284,0.104286,3.02255,0.105714,11.8696,0.105714,-3.27419,0.105714,All
4.13048,0.105714,16.0163,0.105714,3.05791,0.107143,11.8732,0.107143,-3.25986,0.107143,All
4.1313,0.107143,16.0847,0.107143,3.10851,0.108571,11.9038,0.108571,-3.23225,0.108571,All
4.13219,0.108571,16.1537,0.108571,3.11798,0.11,12.2489,0.11,-3.20304,0.11,All
4.13511,0.11,16.2472,0.11,3.12996,0.111429,12.2559,0.111429,-3.18563,0.111429,All
4.13719,0.111429,16.2824,0.111429,3.14117,0.112857,12.3319,0.112857,-3.16417,0.112857,All
4.13847,0.112857,16.2894,0.112857,3.17606,0.114286,12.5215,0.114286,-3.15942,0.114286,All
4.15653,0.114286,16.2927,0.114286,3.19929,0.115714,12.5371,0.115714,-3.15241,0.115714,All
4.17614,0.115714,16.3113,0.115714,3.19983,0.117143,12.6058,0.117143,-3.13865,0.117143,All
4.17822,0.117143,16.3405,0.117143,3.24543,0.118571,12.6094,0.118571,-3.12844,0.118571,All
4.18054,0.118571,16.3643,0.118571,3.25813,0.12,12.7106,0.12,-3.10567,0.12,All
4.18841,0.12,16.4232,0.12,3.26246,0.121429,12.9403,0.121429,-3.08821,0.121429,All
4.19123,0.121429,16.4459,0.121429,3.2903,0.122857,12.985,0.122857,-3.06969,0.122857,All
4.19247,0.122857,16.549,0.122857,3.31029,0.124286,13.3725,0.124286,-3.06103,0.124286,All
4.1927,0.124286,16.5541,0.124286,3.33699,0.125714,13.5264,0.125714,-3.04775,0.125714,All
4.19861,0.125714,16.6577,0.125714,3.33853,0.127143,13.5498,0.127143,-3.03753,0.127143,All
4.19946,0.127143,16.6629,0.127143,3.36579,0.128571,13.6089,0.128571,-3.02903,0.128571,All
4.20014,0.128571,16.722,0.128571,3.38122,0.13,13.6463,0.13,-3.01332,0.13,All
4.20016,0.13,16.7751,0.13,3.38471,0.131429,13.6546,0.131429,-3.00146,0.131429,All
4.20081,0.131429,16.7999,0.131429,3.42693,0.132857,13.6661,0.132857,-2.989,0.132857,All
4.20127,0.132857,16.8252,0.132857,3.46995,0.134286,13.7857,0.134286,-2.96368,0.134286,All
4.21067,0.134286,16.9359,0.134286,3.47651,0.135714,13.8613,0.135714,-2.96184,0.135714,All
4.21212,0.135714,16.9416,0.135714,3.4905,0.137143,13.9017,0.137143,-2.95784,0.137143,All
4.21372,0.137143,16.9439,0.137143,3.50897,0.138571,13.9311,0.138571,-2.95352,0.138571,All
4.21531,0.138571,16.9757,0.138571,3.54682,0.14,13.934,0.14,-2.95343,0.14,All
4.21806,0.14,17.0855,0.14,3.57752,0.141429,13.9387,0.141429,-2.93223,0.141429,All
4.23039,0.141429,17.105,0.141429,3.59546,0.142857,13.9968,0.142857,-2.92479,0.142857,All
4.23625,0.142857,17.1154,0.142857,3.59878,0.144286,13.9978,0.144286,-2.90641,0.144286,All
