simulations,OFV
500,960.801
1000,959.962
1500,958.72
2000,959.212
2500,960.18
3000,960.347
3500,959.874
4000,960.013
4500,960.409
5000,960.715
5500,960.738
6000,960.689
6500,960.407
7000,960.452
7500,960.596
8000,960.566
8500,960.844
9000,960.582
9500,960.413
10000,960.437
10500,960.349
11000,960.44
11500,960.453
12000,960.315
12500,960.333
13000,960.39
13500,960.347
14000,960.358
14500,960.324
15000,960.309
15500,960.335
16000,960.361
16500,960.041
17000,960.088
17500,960.099
18000,960.09
18500,960.182
19000,960.203
19500,960.185
20000,960.171
20500,960.203
21000,959.946
21500,959.97
22000,960.064
22500,960.044
23000,959.92
23500,959.95
24000,959.974
24500,960.005
25000,960.036
25500,959.995
26000,959.942
26500,959.854
27000,959.8
27500,959.78
28000,959.849
28500,959.849
29000,959.923
29500,959.954
30000,959.996
