V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
18.3781,0.0188991,3.23042,0.0859167,All
21.2442,0.00809963,3.77081,0.114556,All
24.1103,0.00809963,4.3112,0.372306,All
26.9764,0.0161993,4.85159,0.186153,All
29.8425,0.0296986,5.39198,0.286389,All
32.7086,0.0728966,5.93237,0.300709,All
35.5747,0.0809963,6.47276,0.25775,All
38.4408,0.0701968,7.01315,0.186153,All
41.3069,0.0350984,7.55354,0.128875,All
44.173,0.0269988,8.09393,0.0429584,All
47.039,0.00539975,8.63432,0.0286389,All
49.9051,0.00539975,9.17471,0.0143195,All
