V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
13.4516,3.18349e-05,2.30628e-05,2.07222,0.000290032,3.46889e-05,All
14.2113,7.70699e-05,6.22631e-05,2.19567,0.000686911,9.20107e-05,All
14.9709,0.000169149,0.000151918,2.31911,0.0014729,0.000220183,All
15.7305,0.000340696,0.00033926,2.44255,0.0028966,0.000481784,All
16.4901,0.000636263,0.000700824,2.56599,0.00528122,0.000974769,All
17.2497,0.00111134,0.00135128,2.68944,0.00900832,0.00184084,All
18.0093,0.00182902,0.00245063,2.81288,0.0144859,0.00327085,All
18.769,0.00285434,0.00420794,2.93632,0.0221046,0.00550541,All
19.5286,0.0042471,0.00688019,3.05977,0.0321875,0.00882971,All
20.2882,0.00605408,0.0107653,3.18321,0.0449434,0.0135622,All
21.0478,0.00830186,0.0161896,3.30665,0.0604289,0.0200382,All
21.8074,0.0109915,0.02349,3.43009,0.0785268,0.028589,All
22.5671,0.0140958,0.0329936,3.55354,0.0989424,0.0395209,All
23.3267,0.0175591,0.044996,3.67698,0.121219,0.0530932,All
24.0863,0.0213006,0.0597406,3.80042,0.144767,0.0695006,All
24.8459,0.0252191,0.0774015,3.92387,0.168907,0.0888585,All
25.6055,0.0292004,0.0980703,4.04731,0.192913,0.111196,All
26.3651,0.0331246,0.121749,4.17075,0.216065,0.136451,All
27.1248,0.0368737,0.14835,4.29419,0.237687,0.164476,All
27.8844,0.0403387,0.177697,4.41764,0.257184,0.195045,All
28.644,0.0434249,0.209538,4.54108,0.274069,0.227864,All
29.4036,0.0460561,0.243554,4.66452,0.287977,0.262586,All
30.1632,0.0481767,0.279379,4.78797,0.298674,0.298829,All
30.9229,0.0497531,0.316608,4.91141,0.30605,0.336187,All
31.6825,0.0507724,0.354824,5.03485,0.310117,0.374252,All
32.4421,0.051241,0.393604,5.15829,0.310985,0.412619,All
33.2017,0.0511822,0.432538,5.28174,0.308852,0.450906,All
33.9613,0.050633,0.471238,5.40518,0.303984,0.488758,All
