V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
13.4516,0,2.07222,0,All
16.9451,0.00714286,2.96022,0.00714286,All
17.7245,0.0142857,3.14902,0.0142857,All
17.9129,0.0214286,3.18764,0.0214286,All
18.2146,0.0285714,3.25915,0.0285714,All
18.4616,0.0357143,3.45167,0.0357143,All
18.7072,0.0428571,3.48364,0.0428571,All
18.8232,0.05,3.56299,0.05,All
19.9146,0.0571429,3.5749,0.0571429,All
20.209,0.0642857,3.68224,0.0642857,All
20.7551,0.0714286,3.70336,0.0714286,All
23.8502,0.0785714,3.86326,0.0785714,All
24.0586,0.0857143,3.90901,0.0857143,All
25.3456,0.0928571,3.94469,0.0928571,All
26.0358,0.1,3.98324,0.1,All
26.3172,0.107143,4.05924,0.107143,All
26.8541,0.114286,4.08195,0.114286,All
26.9114,0.121429,4.11019,0.121429,All
27.0448,0.128571,4.11094,0.128571,All
27.8908,0.135714,4.13399,0.135714,All
28.7483,0.142857,4.15535,0.142857,All
29.018,0.15,4.17303,0.15,All
29.2221,0.157143,4.2084,0.157143,All
29.305,0.164286,4.23443,0.164286,All
29.5428,0.171429,4.24029,0.171429,All
29.7011,0.178571,4.24954,0.178571,All
30.176,0.185714,4.25303,0.185714,All
30.2605,0.192857,4.2535,0.192857,All
30.6135,0.2,4.26666,0.2,All
30.7138,0.207143,4.30495,0.207143,All
31.2085,0.214286,4.34193,0.214286,All
31.5329,0.221429,4.34669,0.221429,All
31.5587,0.228571,4.36801,0.228571,All
31.5815,0.235714,4.36846,0.235714,All
31.686,0.242857,4.39136,0.242857,All
31.748,0.25,4.40801,0.25,All
31.7732,0.257143,4.42086,0.257143,All
31.7995,0.264286,4.45312,0.264286,All
32.2227,0.271429,4.46613,0.271429,All
32.2536,0.278571,4.54301,0.278571,All
32.2772,0.285714,4.55455,0.285714,All
32.4141,0.292857,4.67351,0.292857,All
32.4228,0.3,4.7028,0.3,All
32.7255,0.307143,4.72383,0.307143,All
32.7675,0.314286,4.77278,0.314286,All
32.8019,0.321429,4.78091,0.321429,All
33.1794,0.328571,4.8209,0.328571,All
33.2779,0.335714,4.82958,0.335714,All
33.3908,0.342857,4.8496,0.342857,All
33.4388,0.35,4.85177,0.35,All
33.4959,0.357143,4.89038,0.357143,All
33.5207,0.364286,4.97282,0.364286,All
33.6291,0.371429,4.99516,0.371429,All
33.8146,0.378571,5.00219,0.378571,All
33.8304,0.385714,5.12733,0.385714,All
33.8435,0.392857,5.16996,0.392857,All
33.9237,0.4,5.17201,0.4,All
33.9879,0.407143,5.19062,0.407143,All
34.4342,0.414286,5.20388,0.414286,All
34.6467,0.421429,5.21248,0.421429,All
34.6586,0.428571,5.23476,0.428571,All
34.6667,0.435714,5.26285,0.435714,All
34.6924,0.442857,5.30824,0.442857,All
