iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,694.817,1,15.3257,4.95684,22.0859,25.646,0.3,1.5,1.5,1.5,1.5
2,654.716,1,10.1331,8.1296,38.01,28.2399,0.24,1.34164,1.5813,1.34164,1.34164
3,631.075,1,9.86042,7.55734,39.7529,29.2513,0.192,1.2,1.80912,1.2,1.25336
4,589.596,1,9.92406,9.1165,41.5305,33.4234,0.15585,1.07331,1.61813,1.07331,1.17313
5,555.436,1,9.87743,8.85281,40.7356,36.7703,0.134718,0.96,1.50583,0.96,1.13447
6,545.805,1,9.88296,9.23787,39.1798,41.0962,0.131763,0.85865,1.46534,0.85865,1.02425
7,508.273,1,9.96129,10.7941,40.1429,42.9914,0.119893,0.768,1.31064,0.768,0.962579
8,501.119,1,9.93705,12.9143,40.407,44.7327,0.118552,0.68692,1.17227,0.68692,0.946471
9,479.252,1,9.94552,13.8155,39.7111,44.8038,0.110247,0.6144,1.1073,0.6144,0.875882
10,464.66,1,10.0581,14.0747,39.1901,42.9288,0.104665,0.549536,1.07612,0.549536,0.85552
11,458.171,1,9.94569,14.3275,39.355,42.8303,0.104422,0.49152,1.02227,0.49152,0.819274
12,441.118,1,10.0265,14.3819,39.5076,44.9395,0.100759,0.439629,1.01473,0.439629,0.763101
13,433.596,1,9.9898,13.6467,39.5978,45.5208,0.0990561,0.393216,0.979433,0.393216,0.704761
14,418.053,1,9.99271,14.0248,38.6359,47.2213,0.0931387,0.351703,0.906695,0.351703,0.687244
15,408.18,1,10.0819,14.5505,39.5287,46.615,0.0925461,0.314573,0.904684,0.314573,0.645354
16,406.722,1,10.1613,15.0429,40.1407,45.236,0.0948029,0.281362,0.914215,0.281362,0.643283
17,409.606,1,10.184,15.9661,40.2314,45.4505,0.0935412,0.260483,0.978613,0.276944,0.637715
18,408.957,1,10.2442,14.9959,40.4769,42.5504,0.0977744,0.260055,0.914165,0.264178,0.587892
19,402.878,1,10.259,14.0989,42.0096,41.7814,0.0952072,0.259501,0.889266,0.243992,0.612855
20,399.457,1,10.2788,14.4271,41.6359,43.0813,0.0960975,0.254673,0.844108,0.232881,0.593529
21,399.189,1,10.2745,14.0683,42.6027,45.5269,0.0945643,0.263941,0.776162,0.227991,0.661791
22,391.783,1,10.2559,14.3677,41.7251,44.3772,0.0929314,0.268449,0.798042,0.220435,0.593456
23,384.432,1,10.2729,14.5772,42.2039,44.3313,0.090373,0.266604,0.811697,0.209003,0.570854
24,386.949,1,10.2169,14.3057,41.7058,45.7113,0.0899512,0.280058,0.776535,0.208827,0.602023
25,381.718,1,10.1814,14.2663,41.9153,47.638,0.0879858,0.281181,0.775304,0.19656,0.623746
26,388.773,1,10.1732,14.0819,42.1499,50.494,0.089739,0.280246,0.826661,0.203048,0.626337
27,385.235,1,10.1838,12.925,42.8333,49.9511,0.0889585,0.272939,0.817595,0.206951,0.620095
28,379.871,1,10.2048,13.3709,42.9872,44.6123,0.0892729,0.266172,0.784734,0.193903,0.597503
29,379.971,1,10.1879,13.4093,42.5109,43.1969,0.0907327,0.262851,0.758629,0.182622,0.572581
