pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.42047,0.051616,-3.15098,0.00423935,-1.53151,0.0745395,All
-0.754497,0.705419,-2.89734,0.00423935,-1.07034,0.397544,All
-0.0885216,0.447339,-2.6437,0.00423935,-0.609177,0.521777,All
0.577454,0.240875,-2.39006,0.0127181,-0.148012,0.49693,All
1.24343,0.051616,-2.13642,0.0466329,0.313153,0.447237,All
1.9094,0.051616,-1.88278,0.0381542,0.774318,0.149079,All
2.57538,0.0344107,-1.62914,0.0890264,1.23548,0.0745395,All
3.24135,0.0344107,-1.3755,0.178053,1.69665,0.0745395,All
3.90733,0.0172053,-1.12186,0.118702,2.15781,0.049693,All
4.5733,0.0172053,-0.868222,0.296755,2.61898,0.099386,All
,,-0.614582,0.428175,,,All
,,-0.360943,0.453611,,,All
,,-0.107303,0.542637,,,All
,,0.146337,0.423935,,,All
,,0.399976,0.402739,,,All
,,0.653616,0.300994,,,All
,,0.907256,0.228925,,,All
,,1.1609,0.148377,,,All
,,1.41454,0.105984,,,All
,,1.66818,0.110223,,,All
,,1.92181,0.0381542,,,All
,,2.17545,0.0339148,,,All
,,2.42909,0.00423935,,,All
,,2.68273,0.00847871,,,All
,,2.93637,0,,,All
,,3.19001,0.00847871,,,All
,,3.44365,0,,,All
,,3.69729,0.00847871,,,All
,,3.95093,0.0127181,,,All
,,4.20457,0.0127181,,,All
,,4.45821,0.00423935,,,All
