iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1509.04,1,7.8892,9.16311,30.7597,21.6974,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1497.47,1,4.84472,13.6118,31.4675,22.2614,0.974679,0.974679,0.713848,0.998761,1.46202,1.49111,1.46202,1.16962
3,1474.82,1,5.19206,13.2204,26.9249,19.9592,0.95,0.95,0.529147,0.998761,1.425,1.45336,1.425,1.14
4,1469.65,1,4.81356,16.4124,26.1088,19.5788,0.925945,0.925945,0.570058,0.998761,1.38892,1.41656,1.38892,1.11113
5,1462.73,1,4.74738,11.3783,35.9969,25.3772,0.9025,0.9025,0.928402,0.998761,1.35375,1.38069,1.35375,1.083
6,1449.15,1,4.56388,11.1047,38.9544,27.0246,0.879648,0.879648,0.849895,0.998761,1.31947,1.4694,1.31947,1.05558
7,1447.57,1,4.55366,11.5721,41.2733,28.1461,0.857375,0.857375,0.921668,0.998761,1.28606,1.5103,1.28606,1.02885
8,1418.1,1,4.89792,11.6473,35.8135,24.9657,0.835666,0.835666,0.435898,0.998761,1.2535,1.47206,1.2535,1.0028
9,1410.24,1,5.01555,10.9145,39.1978,27.0769,0.814506,0.814506,0.681752,0.998761,1.22176,1.43478,1.22176,0.977407
10,1398.79,1,5.44257,9.81371,33.6348,24.0552,0.793882,0.793882,0.389448,0.998761,1.19082,1.39845,1.19082,0.952659
11,1398.75,1,5.21814,8.11492,34.4382,24.3706,0.773781,0.773781,0.591064,0.998761,1.16067,1.36304,1.16067,0.928537
12,1375.09,1,5.3057,8.42869,30.8534,22.2317,0.754188,0.754188,0.52352,0.998761,1.13128,1.32853,1.13128,0.905026
13,1362.84,1,5.35954,11.943,30.9283,21.9932,0.735092,0.735092,0.551262,0.998761,1.10264,1.29489,1.10264,0.88211
14,1353.05,1,5.23468,10.056,31.3998,22.2259,0.716479,0.716479,0.544507,0.998761,1.07472,1.34039,1.07472,0.859775
15,1344.36,1,5.20046,9.57663,30.4854,21.7918,0.698337,0.698337,0.649921,0.998761,1.04751,1.39024,1.04751,0.838005
16,1340.85,1,4.97649,10.2675,28.4868,20.5896,0.680655,0.680655,0.669791,0.998761,1.02098,1.3842,1.02098,0.816786
17,1332.13,1,5.00159,8.44174,30.0831,21.6537,0.66342,0.66342,0.46954,0.998761,0.995131,1.46411,0.995131,0.796105
18,1319.62,1,5.42895,9.32854,31.7727,22.5749,0.646622,0.646622,0.49175,0.998761,0.969933,1.57501,0.969933,0.775947
19,1303.24,1,4.92857,10.0449,29.5212,21.2769,0.630249,0.630249,0.686739,0.998761,0.945374,1.71589,0.945374,0.756299
20,1290.47,1,5.34858,9.02071,26.7282,19.6874,0.614291,0.614291,0.586947,0.998761,0.921437,1.67245,0.921437,0.737149
21,1285.21,1,5.32097,10.723,25.2473,19.0472,0.598737,0.598737,0.370849,0.998761,0.898105,1.6301,0.898105,0.718484
22,1275.14,1,5.15263,7.31777,27.1416,20.3095,0.583577,0.583577,0.173272,0.998761,0.875365,1.58882,0.875365,0.700292
23,1262.23,1,5.04426,5.57872,28.3606,21.0945,0.5688,0.5688,0.453392,0.998761,0.8532,1.54859,0.8532,0.68256
24,1241.05,1,5.3616,5.18149,28.0111,20.793,0.554398,0.554398,0.560033,0.998761,0.831597,1.50938,0.831597,0.665277
25,1235.3,1,5.37903,5.16288,28.7709,21.114,0.54036,0.54036,0.589113,0.998761,0.81054,1.47116,0.81054,0.648432
26,1228.62,1,5.53128,6.33828,31.6934,22.9403,0.526678,0.526678,0.319436,0.998761,0.790017,1.49504,0.790017,0.632013
27,1225.39,1,5.62175,7.307,31.8283,22.9068,0.513342,0.513342,0.369205,0.998761,0.770013,1.60504,0.770013,0.61601
