Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
5.07025,0.0967311,38.4032,0.015168,3.85871,0.049698,40.7463,0.0174314,All
5.87021,0,39.4235,0.0606719,10.8653,0.0474892,43.4098,0.0290523,All
6.67017,0.0580387,40.4438,0.0606719,17.8719,0.0254012,46.0733,0.0610098,All
7.47013,0.0386925,41.4642,0.121344,24.8785,0.016566,48.7368,0.0464836,All
8.27009,0.00967311,42.4845,0.0834238,31.8851,0.0066264,51.4003,0.0813463,All
9.07005,0.0967311,43.5048,0.235103,38.8917,0.0033132,54.0638,0.0493889,All
9.87001,0.251501,44.5251,0.159264,45.8983,0,56.7273,0.0406732,All
10.67,0.183789,45.5455,0.182016,52.9049,0,59.3908,0.0290523,All
11.4699,0.203135,46.5658,0.0606719,59.9115,0,62.0543,0.0290523,All
12.2699,0.15477,47.5861,0.0455039,66.9181,0.0011044,64.7178,0.0116209,All
13.0698,0.203135,48.6064,0.022752,73.9247,0.0011044,67.3813,0.00581045,All
13.8698,0.0580387,49.6267,0.015168,80.9313,0.0033132,70.0449,0.00581045,All
