Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_fi_abscissa,Cl_vs_fi_spline,Cl_vs_fi_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,Q_vs_fi_abscissa,Q_vs_fi_spline,Q_vs_fi_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_fi_abscissa,V1_vs_fi_spline,V1_vs_fi_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_fi_abscissa,V2_vs_fi_spline,V2_vs_fi_regression,fi_vs_Cl_abscissa,fi_vs_Cl_spline,fi_vs_Cl_regression,fi_vs_Q_abscissa,fi_vs_Q_spline,fi_vs_Q_regression,fi_vs_V1_abscissa,fi_vs_V1_spline,fi_vs_V1_regression,fi_vs_V2_abscissa,fi_vs_V2_spline,fi_vs_V2_regression
-2.73428,-0.0682584,-0.191458,-0.260901,-0.48366,-0.218875,-2.76303,0.0308758,0.121343,-0.762258,-0.467565,-0.370722,-0.775579,-0.21703,-0.425902,-0.260901,-0.264194,-0.340116,-2.76303,0.345671,0.537371,-0.762258,-0.629714,-0.498616,-0.775579,-0.0852074,-0.105346,-2.73428,-0.129876,-0.0733393,-2.76303,-0.109212,-0.0555372,-0.762258,-0.194577,-0.123532,-0.775579,0.528863,0.3557,-2.73428,0.31046,0.832502,-0.260901,-0.600045,-0.320901,-0.762258,-0.524876,0.0555815,-0.775579,-0.439624,-0.331944,-2.73428,-0.243692,-0.20598,-0.260901,-0.52206,-0.233354,-2.76303,-0.072995,0.0102186
-2.68636,-0.0712312,-0.188055,-0.255196,-0.463,-0.213995,-2.71434,0.0628156,0.119205,-0.750583,-0.487994,-0.364998,-0.764308,-0.241486,-0.420273,-0.255196,-0.258485,-0.333392,-2.71434,0.389845,0.527227,-0.750583,-0.576845,-0.491511,-0.764308,-0.088077,-0.103888,-2.68636,-0.124603,-0.0721246,-2.71434,-0.101857,-0.0546472,-0.750583,-0.184553,-0.121702,-0.764308,0.465863,0.350545,-2.68636,0.399729,0.817721,-0.255196,-0.622228,-0.313722,-0.750583,-0.490438,0.0547394,-0.764308,-0.456783,-0.32721,-2.68636,-0.237678,-0.202428,-0.255196,-0.49327,-0.228289,-2.71434,-0.0809936,0.00992967
-2.63843,-0.074204,-0.184653,-0.24949,-0.44234,-0.209116,-2.66565,0.0947553,0.117067,-0.738907,-0.508424,-0.359274,-0.753037,-0.263928,-0.414643,-0.24949,-0.252775,-0.326668,-2.66565,0.43402,0.517082,-0.738907,-0.523975,-0.484407,-0.753037,-0.0906032,-0.10243,-2.63843,-0.11933,-0.07091,-2.66565,-0.0945017,-0.0537572,-0.738907,-0.174528,-0.119872,-0.753037,0.406698,0.345391,-2.63843,0.488998,0.80294,-0.24949,-0.64441,-0.306544,-0.738907,-0.455999,0.0538973,-0.753037,-0.470247,-0.322475,-2.63843,-0.231663,-0.198876,-0.24949,-0.464481,-0.223223,-2.66565,-0.0889922,0.00964073
-2.59051,-0.0771768,-0.18125,-0.243784,-0.42168,-0.204237,-2.61696,0.126639,0.114929,-0.727232,-0.528853,-0.35355,-0.741766,-0.284208,-0.409013,-0.243784,-0.247065,-0.319944,-2.61696,0.478097,0.506938,-0.727232,-0.471106,-0.477302,-0.741766,-0.0927627,-0.100972,-2.59051,-0.114056,-0.0696953,-2.61696,-0.0871552,-0.0528672,-0.727232,-0.164503,-0.118042,-0.741766,0.351686,0.340237,-2.59051,0.578267,0.788159,-0.243784,-0.666593,-0.299365,-0.727232,-0.421561,0.0530552,-0.741766,-0.479825,-0.317741,-2.59051,-0.225648,-0.195324,-0.243784,-0.435691,-0.218158,-2.61696,-0.0969703,0.00935179
-2.54259,-0.0801496,-0.177847,-0.238079,-0.401021,-0.199358,-2.56827,0.15018,0.11279,-0.715556,-0.542766,-0.347826,-0.730495,-0.303168,-0.403384,-0.238079,-0.241356,-0.31322,-2.56827,0.507511,0.496793,-0.715556,-0.431394,-0.470198,-0.730495,-0.0946993,-0.0995137,-2.54259,-0.108783,-0.0684806,-2.56827,-0.0811028,-0.0519772,-0.715556,-0.155841,-0.116211,-0.730495,0.299225,0.335082,-2.54259,0.667536,0.773378,-0.238079,-0.688776,-0.292187,-0.715556,-0.38427,0.0522131,-0.730495,-0.48707,-0.313006,-2.54259,-0.219634,-0.191773,-0.238079,-0.406901,-0.213093,-2.56827,-0.101894,0.00906285
-2.49467,-0.0831224,-0.174444,-0.232373,-0.380361,-0.194479,-2.51958,0.166656,0.110652,-0.703881,-0.549522,-0.342102,-0.719224,-0.319875,-0.397754,-0.232373,-0.235646,-0.306495,-2.51958,0.524635,0.486649,-0.703881,-0.40613,-0.463093,-0.719224,-0.0962579,-0.0980555,-2.49467,-0.10351,-0.0672659,-2.51958,-0.0761582,-0.0510872,-0.703881,-0.148676,-0.114381,-0.719224,0.251148,0.329928,-2.49467,0.756805,0.758598,-0.232373,-0.710959,-0.285009,-0.703881,-0.343847,0.051371,-0.719224,-0.490415,-0.308272,-2.49467,-0.213619,-0.188221,-0.232373,-0.378112,-0.208028,-2.51958,-0.104331,0.0087739
-2.44674,-0.0860952,-0.171042,-0.226668,-0.359701,-0.189599,-2.47089,0.177375,0.108514,-0.692206,-0.556278,-0.336378,-0.707953,-0.333523,-0.392124,-0.226668,-0.229936,-0.299771,-2.47089,0.531742,0.476504,-0.692206,-0.380865,-0.455989,-0.707953,-0.0973074,-0.0965973,-2.44674,-0.0982364,-0.0660513,-2.47089,-0.0721164,-0.0501972,-0.692206,-0.14151,-0.112551,-0.707953,0.209101,0.324774,-2.44674,0.846075,0.743817,-0.226668,-0.733142,-0.27783,-0.692206,-0.303423,0.0505289,-0.707953,-0.488627,-0.303538,-2.44674,-0.207604,-0.184669,-0.226668,-0.349322,-0.202963,-2.47089,-0.104741,0.00848496
-2.39882,-0.0890681,-0.167639,-0.220962,-0.339041,-0.18472,-2.42221,0.188094,0.106376,-0.68053,-0.563034,-0.330654,-0.696682,-0.34717,-0.386495,-0.220962,-0.224227,-0.293047,-2.42221,0.538849,0.466359,-0.68053,-0.3556,-0.448884,-0.696682,-0.0983569,-0.0951391,-2.39882,-0.0929631,-0.0648366,-2.42221,-0.0680747,-0.0493072,-0.68053,-0.134345,-0.110721,-0.696682,0.167053,0.31962,-2.39882,0.935344,0.729036,-0.220962,-0.755324,-0.270652,-0.68053,-0.263,0.0496868,-0.696682,-0.48684,-0.298803,-2.39882,-0.201589,-0.181117,-0.220962,-0.320533,-0.197898,-2.42221,-0.105151,0.00819602
-2.3509,-0.0920409,-0.164236,-0.215257,-0.318381,-0.179841,-2.37352,0.198813,0.104237,-0.668855,-0.56979,-0.32493,-0.68541,-0.360207,-0.380865,-0.215257,-0.218517,-0.286323,-2.37352,0.545956,0.456215,-0.668855,-0.330336,-0.44178,-0.68541,-0.0993064,-0.0936809,-2.3509,-0.0876898,-0.0636219,-2.37352,-0.0640329,-0.0484172,-0.668855,-0.127179,-0.108891,-0.68541,0.126228,0.314465,-2.3509,1.02461,0.714255,-0.215257,-0.777507,-0.263473,-0.668855,-0.222576,0.0488447,-0.68541,-0.484081,-0.294069,-2.3509,-0.195575,-0.177566,-0.215257,-0.291743,-0.192832,-2.37352,-0.105561,0.00790708
-2.30298,-0.0950137,-0.160833,-0.209551,-0.297722,-0.174962,-2.32483,0.209532,0.102099,-0.65718,-0.576546,-0.319206,-0.674139,-0.370107,-0.375235,-0.209551,-0.212807,-0.279599,-2.32483,0.553064,0.44607,-0.65718,-0.305071,-0.434675,-0.674139,-0.099741,-0.0922227,-2.30298,-0.0824165,-0.0624073,-2.32483,-0.0599912,-0.0475272,-0.65718,-0.120014,-0.10706,-0.674139,0.0916936,0.309311,-2.30298,1.11388,0.699474,-0.209551,-0.79969,-0.256295,-0.65718,-0.182153,0.0480026,-0.674139,-0.476328,-0.289334,-2.30298,-0.18956,-0.174014,-0.209551,-0.262953,-0.187767,-2.32483,-0.105971,0.00761814
