pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4.24892,0.00104167,-4,0,All
-3.30587,0.0104167,-4.07875,0.00208333,-2.84942,0.0104167,All
-1.80854,0.0208333,-4.0654,0.003125,-1.84135,0.0208333,All
-1.78039,0.03125,-4.03987,0.00416667,-1.68894,0.03125,All
-1.54788,0.0416667,-3.96264,0.00520833,-1.47251,0.0416667,All
-1.31558,0.0520833,-3.94298,0.00625,-1.32585,0.0520833,All
-1.31415,0.0625,-3.93055,0.00729167,-1.28743,0.0625,All
-1.23387,0.0729167,-3.92381,0.00833333,-1.25431,0.0729167,All
-1.19721,0.0833333,-3.91823,0.009375,-1.22663,0.0833333,All
-1.14701,0.09375,-3.71884,0.0104167,-1.16024,0.09375,All
-1.1451,0.104167,-3.27724,0.0114583,-1.11233,0.104167,All
-1.11997,0.114583,-3.06435,0.0125,-1.09338,0.114583,All
-1.10282,0.125,-3.01936,0.0135417,-1.0856,0.125,All
-1.0874,0.135417,-2.94519,0.0145833,-1.07864,0.135417,All
-1.03629,0.145833,-2.91315,0.015625,-1.07836,0.145833,All
-1.02265,0.15625,-2.8919,0.0166667,-1.04248,0.15625,All
-0.923076,0.166667,-2.85817,0.0177083,-1.03243,0.166667,All
-0.834589,0.177083,-2.83849,0.01875,-0.874165,0.177083,All
-0.812938,0.1875,-2.78599,0.0197917,-0.845538,0.1875,All
-0.802471,0.197917,-2.75949,0.0208333,-0.820662,0.197917,All
-0.80191,0.208333,-2.74704,0.021875,-0.808493,0.208333,All
-0.783819,0.21875,-2.72288,0.0229167,-0.798571,0.21875,All
-0.706528,0.229167,-2.71745,0.0239583,-0.721015,0.229167,All
-0.655892,0.239583,-2.69144,0.025,-0.677387,0.239583,All
-0.645453,0.25,-2.68306,0.0260417,-0.665418,0.25,All
-0.620619,0.260417,-2.67376,0.0270833,-0.651779,0.260417,All
-0.614227,0.270833,-2.64937,0.028125,-0.616866,0.270833,All
-0.578106,0.28125,-2.64236,0.0291667,-0.613783,0.28125,All
-0.554602,0.291667,-2.61172,0.0302083,-0.608659,0.291667,All
-0.520928,0.302083,-2.61078,0.03125,-0.577827,0.302083,All
-0.507702,0.3125,-2.60153,0.0322917,-0.563528,0.3125,All
-0.504009,0.322917,-2.59207,0.0333333,-0.534711,0.322917,All
-0.495303,0.333333,-2.52442,0.034375,-0.509285,0.333333,All
-0.491,0.34375,-2.50103,0.0354167,-0.493655,0.34375,All
-0.484041,0.354167,-2.49933,0.0364583,-0.47021,0.354167,All
-0.474388,0.364583,-2.49214,0.0375,-0.462644,0.364583,All
-0.425137,0.375,-2.43703,0.0385417,-0.420228,0.375,All
-0.38813,0.385417,-2.43256,0.0395833,-0.417553,0.385417,All
-0.346515,0.395833,-2.37776,0.040625,-0.385015,0.395833,All
-0.342627,0.40625,-2.29184,0.0416667,-0.372254,0.40625,All
-0.314786,0.416667,-2.2087,0.0427083,-0.345096,0.416667,All
-0.287103,0.427083,-2.19768,0.04375,-0.315545,0.427083,All
-0.266339,0.4375,-2.18454,0.0447917,-0.311257,0.4375,All
-0.259764,0.447917,-2.17334,0.0458333,-0.294014,0.447917,All
-0.219477,0.458333,-2.15218,0.046875,-0.272411,0.458333,All
-0.210373,0.46875,-2.13764,0.0479167,-0.260548,0.46875,All
-0.203774,0.479167,-2.12516,0.0489583,-0.246157,0.479167,All
-0.199237,0.489583,-2.11842,0.05,-0.240373,0.489583,All
-0.156412,0.5,-2.11216,0.0510417,-0.219544,0.5,All
-0.129788,0.510417,-2.09794,0.0520833,-0.195966,0.510417,All
-0.126534,0.520833,-2.05717,0.053125,-0.173757,0.520833,All
-0.124783,0.53125,-2.03044,0.0541667,-0.17322,0.53125,All
-0.105933,0.541667,-2.01955,0.0552083,-0.158723,0.541667,All
-0.103389,0.552083,-2.01249,0.05625,-0.0979431,0.552083,All
-0.0577108,0.5625,-1.97507,0.0572917,-0.092751,0.5625,All
-0.0104786,0.572917,-1.96193,0.0583333,-0.0912277,0.572917,All
-0.00754755,0.583333,-1.9365,0.059375,-0.0481687,0.583333,All
0.0124278,0.59375,-1.90801,0.0604167,0.0118275,0.59375,All
0.0221387,0.604167,-1.90404,0.0614583,0.0209988,0.604167,All
0.0803657,0.614583,-1.88965,0.0625,0.0215508,0.614583,All
0.081966,0.625,-1.87247,0.0635417,0.0447204,0.625,All
0.0872704,0.635417,-1.86224,0.0645833,0.0448649,0.635417,All
0.0923968,0.645833,-1.80628,0.065625,0.0730776,0.645833,All
0.10915,0.65625,-1.79184,0.0666667,0.0755675,0.65625,All
0.12375,0.666667,-1.75077,0.0677083,0.0797076,0.666667,All
0.191668,0.677083,-1.74794,0.06875,0.0904448,0.677083,All
0.196466,0.6875,-1.73894,0.0697917,0.178258,0.6875,All
0.198479,0.697917,-1.7284,0.0708333,0.179771,0.697917,All
0.204364,0.708333,-1.66939,0.071875,0.1802,0.708333,All
0.21171,0.71875,-1.60804,0.0729167,0.195695,0.71875,All
0.232236,0.729167,-1.30132,0.0739583,0.225277,0.729167,All
0.265991,0.739583,-1.16676,0.075,0.225806,0.739583,All
0.305986,0.75,-1.14803,0.0760417,0.277575,0.75,All
0.313745,0.760417,-1.14614,0.0770833,0.307235,0.760417,All
0.330327,0.770833,-1.12412,0.078125,0.33113,0.770833,All
0.332414,0.78125,-1.10155,0.0791667,0.34632,0.78125,All
0.345591,0.791667,-1.09945,0.0802083,0.387253,0.791667,All
0.411198,0.802083,-1.0855,0.08125,0.400629,0.802083,All
0.430869,0.8125,-1.08447,0.0822917,0.411927,0.8125,All
0.489744,0.822917,-1.07769,0.0833333,0.446954,0.822917,All
0.491183,0.833333,-1.07763,0.084375,0.449018,0.833333,All
0.530264,0.84375,-1.06482,0.0854167,0.451044,0.84375,All
0.531716,0.854167,-1.05029,0.0864583,0.600142,0.854167,All
0.5898,0.864583,-1.0492,0.0875,0.60956,0.864583,All
0.620197,0.875,-1.04539,0.0885417,0.624139,0.875,All
0.698499,0.885417,-1.04511,0.0895833,0.651705,0.885417,All
0.732437,0.895833,-1.02199,0.090625,0.691519,0.895833,All
0.753881,0.90625,-1.02182,0.0916667,0.749869,0.90625,All
0.766537,0.916667,-1.01509,0.0927083,0.7829,0.916667,All
0.898528,0.927083,-1.00903,0.09375,0.902793,0.927083,All
0.931735,0.9375,-1.00418,0.0947917,0.92655,0.9375,All
0.938421,0.947917,-1.00215,0.0958333,0.951743,0.947917,All
1.10412,0.958333,-0.996121,0.096875,1.07603,0.958333,All
1.1165,0.96875,-0.98973,0.0979167,1.14128,0.96875,All
1.3721,0.979167,-0.978891,0.0989583,1.31854,0.979167,All
1.37387,0.989583,-0.967713,0.1,1.37793,0.989583,All
1.95607,1,-0.966918,0.101042,1.98031,1,All
4,1,-0.966039,0.102083,4,1,All
,,-0.96581,0.103125,,,All
,,-0.95695,0.104167,,,All
,,-0.95427,0.105208,,,All
,,-0.950878,0.10625,,,All
,,-0.942947,0.107292,,,All
,,-0.939015,0.108333,,,All
,,-0.935744,0.109375,,,All
,,-0.933362,0.110417,,,All
,,-0.933088,0.111458,,,All
,,-0.930527,0.1125,,,All
,,-0.921141,0.113542,,,All
,,-0.921047,0.114583,,,All
,,-0.91503,0.115625,,,All
,,-0.913733,0.116667,,,All
,,-0.910289,0.117708,,,All
,,-0.906355,0.11875,,,All
,,-0.900146,0.119792,,,All
,,-0.894529,0.120833,,,All
,,-0.89105,0.121875,,,All
,,-0.883541,0.122917,,,All
,,-0.878792,0.123958,,,All
,,-0.873447,0.125,,,All
,,-0.871311,0.126042,,,All
,,-0.866334,0.127083,,,All
,,-0.865344,0.128125,,,All
,,-0.864947,0.129167,,,All
,,-0.864642,0.130208,,,All
,,-0.864335,0.13125,,,All
,,-0.864247,0.132292,,,All
,,-0.863624,0.133333,,,All
,,-0.861412,0.134375,,,All
,,-0.861055,0.135417,,,All
,,-0.858056,0.136458,,,All
,,-0.851548,0.1375,,,All
,,-0.849869,0.138542,,,All
,,-0.84747,0.139583,,,All
,,-0.847041,0.140625,,,All
,,-0.84431,0.141667,,,All
,,-0.843669,0.142708,,,All
,,-0.840392,0.14375,,,All
,,-0.837928,0.144792,,,All
,,-0.836376,0.145833,,,All
,,-0.836359,0.146875,,,All
,,-0.835982,0.147917,,,All
,,-0.834932,0.148958,,,All
,,-0.832247,0.15,,,All
,,-0.828998,0.151042,,,All
,,-0.822329,0.152083,,,All
,,-0.818691,0.153125,,,All
,,-0.817166,0.154167,,,All
,,-0.816487,0.155208,,,All
,,-0.814033,0.15625,,,All
,,-0.812709,0.157292,,,All
,,-0.809105,0.158333,,,All
,,-0.808621,0.159375,,,All
,,-0.794491,0.160417,,,All
,,-0.794079,0.161458,,,All
,,-0.792499,0.1625,,,All
,,-0.788327,0.163542,,,All
,,-0.78778,0.164583,,,All
,,-0.785352,0.165625,,,All
,,-0.782732,0.166667,,,All
,,-0.782222,0.167708,,,All
,,-0.781369,0.16875,,,All
,,-0.777042,0.169792,,,All
,,-0.774792,0.170833,,,All
,,-0.769488,0.171875,,,All
,,-0.768024,0.172917,,,All
,,-0.765958,0.173958,,,All
,,-0.764142,0.175,,,All
,,-0.760687,0.176042,,,All
,,-0.755946,0.177083,,,All
,,-0.754829,0.178125,,,All
,,-0.748519,0.179167,,,All
,,-0.741702,0.180208,,,All
,,-0.737887,0.18125,,,All
,,-0.728816,0.182292,,,All
,,-0.725502,0.183333,,,All
,,-0.723633,0.184375,,,All
,,-0.721012,0.185417,,,All
,,-0.720503,0.186458,,,All
,,-0.717201,0.1875,,,All
,,-0.715968,0.188542,,,All
,,-0.715798,0.189583,,,All
,,-0.71493,0.190625,,,All
,,-0.713912,0.191667,,,All
,,-0.708319,0.192708,,,All
,,-0.707771,0.19375,,,All
,,-0.703932,0.194792,,,All
,,-0.703451,0.195833,,,All
,,-0.701061,0.196875,,,All
,,-0.697907,0.197917,,,All
,,-0.6978,0.198958,,,All
,,-0.695885,0.2,,,All
,,-0.695557,0.201042,,,All
,,-0.695289,0.202083,,,All
,,-0.687713,0.203125,,,All
,,-0.684801,0.204167,,,All
,,-0.683436,0.205208,,,All
,,-0.681075,0.20625,,,All
,,-0.677159,0.207292,,,All
,,-0.677106,0.208333,,,All
,,-0.672316,0.209375,,,All
,,-0.671735,0.210417,,,All
,,-0.671122,0.211458,,,All
,,-0.667674,0.2125,,,All
,,-0.666843,0.213542,,,All
,,-0.666662,0.214583,,,All
,,-0.66598,0.215625,,,All
,,-0.663831,0.216667,,,All
,,-0.663493,0.217708,,,All
,,-0.65967,0.21875,,,All
,,-0.658853,0.219792,,,All
,,-0.657164,0.220833,,,All
,,-0.654861,0.221875,,,All
,,-0.652619,0.222917,,,All
,,-0.648293,0.223958,,,All
,,-0.647209,0.225,,,All
,,-0.64476,0.226042,,,All
,,-0.641505,0.227083,,,All
,,-0.640991,0.228125,,,All
,,-0.634291,0.229167,,,All
,,-0.633676,0.230208,,,All
,,-0.630344,0.23125,,,All
,,-0.614561,0.232292,,,All
,,-0.614015,0.233333,,,All
,,-0.613157,0.234375,,,All
,,-0.611752,0.235417,,,All
,,-0.606245,0.236458,,,All
,,-0.604323,0.2375,,,All
,,-0.598537,0.238542,,,All
,,-0.59318,0.239583,,,All
,,-0.591354,0.240625,,,All
,,-0.58945,0.241667,,,All
,,-0.585104,0.242708,,,All
,,-0.581277,0.24375,,,All
,,-0.580918,0.244792,,,All
,,-0.574791,0.245833,,,All
,,-0.571554,0.246875,,,All
,,-0.57063,0.247917,,,All
,,-0.564269,0.248958,,,All
,,-0.561448,0.25,,,All
,,-0.560499,0.251042,,,All
,,-0.559053,0.252083,,,All
,,-0.551243,0.253125,,,All
,,-0.549074,0.254167,,,All
,,-0.543565,0.255208,,,All
,,-0.542979,0.25625,,,All
,,-0.54283,0.257292,,,All
,,-0.541243,0.258333,,,All
,,-0.540565,0.259375,,,All
,,-0.540274,0.260417,,,All
,,-0.53922,0.261458,,,All
,,-0.539067,0.2625,,,All
,,-0.538965,0.263542,,,All
,,-0.538335,0.264583,,,All
,,-0.534325,0.265625,,,All
,,-0.53094,0.266667,,,All
,,-0.52955,0.267708,,,All
,,-0.528375,0.26875,,,All
,,-0.52777,0.269792,,,All
,,-0.52725,0.270833,,,All
,,-0.526902,0.271875,,,All
,,-0.526069,0.272917,,,All
