simulations,OFV
500,941.565
1000,943.586
1500,942.686
2000,940.405
2500,940.598
3000,940.458
3500,940.609
4000,940.649
4500,940.794
5000,940.858
5500,940.901
6000,941.237
6500,940.369
7000,940.612
7500,940.408
8000,940.609
8500,940.735
9000,940.335
9500,940.124
10000,939.832
10500,939.727
11000,939.742
11500,939.418
12000,939.118
12500,938.912
13000,938.761
13500,938.658
14000,938.726
14500,938.679
15000,938.68
15500,938.639
16000,938.746
16500,938.649
17000,938.747
17500,938.809
18000,938.561
18500,938.716
19000,938.69
19500,938.667
20000,938.434
20500,938.249
21000,938.103
21500,938.177
22000,938.304
22500,938.344
23000,938.147
23500,937.991
24000,937.964
24500,937.981
25000,938.009
25500,937.977
26000,937.937
26500,937.964
27000,937.955
27500,937.988
28000,938.04
28500,938.069
29000,938.147
29500,938.201
30000,938.23
