P,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
CLHat,21.14647252420988,6.822800840860332,14.608439260091977,2.2158328647549252,7.548210392157783,17.511264310972905,38.00757645492072,46.74833997156787,4.584397317064047,1.341228830160864
QHat,21.817577101983595,2.1689693133720263,14.041999550239302,0.7562508333035803,8.360238848657925,21.632888203324075,31.446528880689083,48.064929148653796,41.91322649640552,1.0706151395659618
V1Hat,57.52068308733623,4.904219712967241,38.40743009276254,5.258819548807305,26.774197263290798,49.18074395591641,81.9927203142054,141.1280007948243,61.33249895635074,1.0780024908760855
V2Hat,57.70386595388347,10.656978210964402,45.133177178483116,2.3964717607091743,13.267142675668438,49.382932925188186,95.71917071977592,144.33586219120136,17.935920009961595,1.1535175606579833
beta_Cl_logtCLCRMLMIN,0.5151379030388005,0.6970485248895518,0.9995120623212402,-0.9871660777882156,-0.057199189702080155,0.562022726336098,1.6675284373883534,1.8734008900253287,2.056127560042087,5.897666506106779
omega[1],1.4841784130108369,0.33224340222713494,2.563197650493815,0.04133391155153694,0.2174695561173006,0.6953421701279741,1.6522544330943105,7.836746423626983,59.518429340489945,1.0344250921224827
omega[2],2.545280037024133,0.16234359207268334,8.150975025249377,0.0660372891717887,0.577694871277051,1.3762076247134272,2.0196425747736884,13.141234818711037,2520.8605549829326,1.0008447072252848
omega[3],5.449534938798202,1.368421474234283,25.784985098733262,0.055326069990359106,0.5562156583685394,0.8992253169343798,2.376479729691515,39.52658570415814,355.05367147383555,1.0209229720094402
omega[4],211.35256832959877,231.14617235784775,501.72106457247924,0.05377341730548328,0.5323466573816631,1.3543656157732946,5.123770217726862,1424.1072927081318,4.711413888676286,2.8194560124238137
b,2.9420744628577147,2.6722302591687455,3.8342534842042753,0.09954240007962595,0.11209610502376255,0.6924187209788869,5.108197557631217,10.867191480777613,2.0587987073025316,6.491274581036461
alpha[1],-0.38300443232300063,0.21902419013364124,0.8159531980698769,-2.006185682111449,-0.9288655544406441,-0.2732540068903808,0.002230251199768681,1.2469169587758167,13.878621493688712,1.1055452797687626
alpha[2],-0.05562140750284121,0.6724210406484145,1.1833938053016892,-2.059533029991413,-0.9427473672439272,-0.2908569534046394,0.9439001385061337,1.8099190956170148,3.0972480930432447,1.671625805766464
alpha[3],-0.045296521831011925,0.39982201673588447,1.2153267258898868,-2.175562402767836,-0.9634560508561871,-0.1873413077492232,0.8960602293106197,1.810621082750996,9.239589698981804,1.2677378702193285
alpha[4],-0.32015554565972504,0.11607330220843688,0.9207205266160661,-2.0142886687208006,-0.8162076996669095,-0.4723358871025407,0.2880255425796371,1.6508034773435891,62.92032698406262,1.0522198653242394
thetaHat[1],21.14647252420988,6.822800840860332,14.608439260091977,2.2158328647549252,7.548210392157783,17.511264310972905,38.00757645492072,46.74833997156787,4.584397317064047,1.341228830160864
thetaHat[2],57.52068308733623,4.904219712967241,38.40743009276254,5.258819548807305,26.774197263290798,49.18074395591641,81.9927203142054,141.1280007948243,61.33249895635074,1.0780024908760855
thetaHat[3],21.817577101983595,2.1689693133720263,14.041999550239302,0.7562508333035803,8.360238848657925,21.632888203324075,31.446528880689083,48.064929148653796,41.91322649640552,1.0706151395659618
thetaHat[4],57.70386595388347,10.656978210964402,45.133177178483116,2.3964717607091743,13.267142675668438,49.382932925188186,95.71917071977592,144.33586219120136,17.935920009961595,1.1535175606579833
"logtheta[1,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[1,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[1,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[1,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[2,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[2,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[2,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[2,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[3,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[3,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[3,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[3,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[4,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[4,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[4,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[4,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[5,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[5,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[5,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[5,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[6,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[6,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[6,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[6,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[7,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[7,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[7,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[7,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[8,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[8,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[8,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[8,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[9,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[9,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[9,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[9,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[10,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[10,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[10,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[10,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[11,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[11,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[11,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[11,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[12,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[12,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[12,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[12,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[13,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[13,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[13,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[13,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"logtheta[14,1]",2.2535880878928647,0.629774325100515,0.9365201914211584,0.870720668123969,1.6185854224240743,1.7366685930250525,3.3814533477022843,3.7749750108123417,2.2113851461513376,3.21344977730153
"logtheta[14,2]",3.733800680590192,1.0267901217705697,1.6453547589564779,1.001309357560791,2.990662987883395,3.192333756917225,5.015765136068973,6.443371846141264,2.5677677473662737,2.068933988485485
"logtheta[14,3]",2.4599782470218687,0.5668163713564839,3.7091543673249365,-4.049409710936726,1.4787793107862557,2.0112288960482783,3.9177460000756468,6.102619897050027,42.821812478106686,1.0774589775378223
"logtheta[14,4]",-1.3148006014216262,5.24341329108723,11.497499792154212,-28.742040433458822,1.1990048318739785,3.3460941864348763,4.3418529972302995,6.031400148316416,4.808156993759012,2.659178641447511
"Omega[1,1]",1.4841784130108369,0.33224340222713494,2.563197650493815,0.04133391155153694,0.2174695561173006,0.6953421701279741,1.6522544330943105,7.836746423626983,59.518429340489945,1.0344250921224827
"Omega[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[2,1]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[2,2]",2.545280037024133,0.16234359207268334,8.150975025249377,0.0660372891717887,0.577694871277051,1.3762076247134272,2.0196425747736884,13.141234818711037,2520.8605549829326,1.0008447072252848
"Omega[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[3,1]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[3,2]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[3,3]",5.449534938798202,1.368421474234283,25.784985098733262,0.055326069990359106,0.5562156583685394,0.8992253169343798,2.376479729691515,39.52658570415814,355.05367147383555,1.0209229720094402
"Omega[3,4]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[4,1]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[4,2]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[4,3]",0,NA,0,0,0,0,0,0,NA,NA
"Omega[4,4]",211.35256832959877,231.14617235784775,501.72106457247924,0.05377341730548328,0.5323466573816631,1.3543656157732946,5.123770217726862,1424.1072927081318,4.711413888676286,2.8194560124238137
"L[1,1]",1.004732618621296,0.1610811664989814,0.6890211330971369,0.2033073685880899,0.46633631224396477,0.8338717788652557,1.2854004951687248,2.7994189433319745,18.296817359799892,1.0828654863915932
"L[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[2,1]",0,NA,0,0,0,0,0,0,NA,NA
"L[2,2]",1.2785229331498384,0.022799962734515095,0.9543442738646253,0.2569771819491714,0.7600624077162291,1.1731187524492785,1.4211412374855865,3.6250840990371715,1752.0313371293566,1.0067277400233892
"L[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"L[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[3,1]",0,NA,0,0,0,0,0,0,NA,NA
"L[3,2]",0,NA,0,0,0,0,0,0,NA,NA
