P,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
CLHat,5.187807975460299,0.0025589898728982183,0.22032066918563056,4.766708639742805,5.0350709543967085,5.186362448643068,5.334852155115176,5.621534536532734,7412.647524047579,1.0002140629180023
V1Hat,21.258674431043346,0.012045804129494464,1.0724260995897639,19.16163732138495,20.542510070569925,21.252352285925703,21.96038765528863,23.427197971599128,7926.165852706856,0.9998627117190091
QHat,5.071411110772635,0.008539409567301365,0.7648907507217692,3.6971611612450137,4.530393361830074,5.034272389738196,5.567119542167956,6.67100634519511,8023.117106895561,0.9996517605521892
V2Hat,28.460966822367133,0.028582845076301187,2.600990978257295,23.815024201734126,26.63264127745208,28.31197754531938,30.15749824425327,33.91869932947174,8280.69485086255,0.9998766062787986
beta_Cl_logtCLCR,0.6291110601971699,0.0018207182554880912,0.16158431616790236,0.3116129150571938,0.5216936894334963,0.6291506494907506,0.7392699105522965,0.9395674045541678,7876.1307264914,1.0002543219624338
omega[1],0.23101534471689664,3.732973654481657e-4,0.03358105501459309,0.17642724419599448,0.2088217672454072,0.22728011804167714,0.248362606742589,0.3109840420466007,8092.427600814135,0.9996600099337464
omega[2],0.2358529876574784,4.830459870100007e-4,0.043330363816672976,0.1641063171800277,0.20724763741820043,0.23078950058666392,0.25858138803403424,0.3361464006739115,8046.512941414926,1.0004653109834099
omega_Q,0.7121544892617439,0.0015346501498912032,0.13537502710076874,0.48555292744617334,0.6210026133174169,0.6988435186961298,0.7833153948612962,1.0266634831346222,7781.410754593695,0.9997554535585879
"rho[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"rho[1,2]",0.4974378721066616,0.0023923207247458487,0.21708771897323395,-0.002160488287725567,0.3625899864258425,0.5316877173341943,0.6595494385996931,0.8262256506006124,8234.39517960493,0.9998549536631028
"rho[2,1]",0.4974378721066616,0.0023923207247458487,0.21708771897323395,-0.002160488287725567,0.3625899864258425,0.5316877173341943,0.6595494385996931,0.8262256506006124,8234.39517960493,0.9998549536631028
"rho[2,2]",1,9.462737707548877e-19,7.738268230716205e-17,0.9999999999999998,1,1,1,1.0000000000000002,6687.348472258981,0.999499874937461
b,0.025245033436606654,1.9167277987513743e-5,0.0017288602304766114,0.02201540033182217,0.02414282925425558,0.025149634787373636,0.026269118550383552,0.029047846270487603,8135.774173237001,0.9999350000438189
"logTheta[1,1]",1.145274365878013,8.611803094863757e-4,0.07693516455603602,0.9908047181332404,1.0936880690387556,1.1476727031762857,1.196885237535511,1.2940397249739786,7981.078665306741,1.000646560588865
"logTheta[1,2]",2.7142374447831332,0.0019196115397643841,0.1699854576237728,2.3519949989500297,2.6060396712513714,2.721880147293387,2.831522548390136,3.0230489226110846,7841.458231329021,0.9997599926938953
"logTheta[2,1]",1.9595048195808624,4.647451296579653e-4,0.03934062643904804,1.8816116059397774,1.9327886762278534,1.9598613226778698,1.9861749473619046,2.03637005843763,7165.604727787694,0.9999613614779573
"logTheta[2,2]",3.217872403507014,0.0011177425639892356,0.09575771477568219,3.0114141117961055,3.1624906907781836,3.224813091193205,3.280036125016588,3.3861376576022044,7339.457632658381,1.000093913534937
