iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,10.5545,0.0472217,45.4284,0.119166,10.9622,0.347164,60.2908,0.395651
2,10.5451,0.0433762,45.4045,0.106517,11.0648,0.316853,60.1766,0.351104
3,10.546,0.0400153,45.3364,0.102713,10.9729,0.300626,61.0496,0.32935
4,10.5411,0.0384635,45.4554,0.103721,10.9391,0.293298,61.3524,0.333344
5,10.5387,0.036648,45.5169,0.112593,10.9087,0.288473,61.6562,0.328343
6,10.5358,0.035077,45.4906,0.113203,10.8986,0.287676,61.2432,0.317208
7,10.5339,0.0351113,45.3865,0.111028,10.9156,0.281417,61.3314,0.310745
8,10.5388,0.0348479,45.3778,0.110799,10.9843,0.277283,61.4352,0.310586
9,10.543,0.0346782,45.4022,0.111914,11.0333,0.276901,60.9566,0.315813
10,10.5441,0.0350596,45.3199,0.110909,11.1088,0.279624,60.8315,0.317509
11,10.5429,0.0352099,45.2617,0.110053,11.2022,0.283343,60.7186,0.316256
12,10.5405,0.034832,45.2062,0.108764,11.2272,0.286444,60.6287,0.313211
13,10.5431,0.0347629,45.1405,0.108755,11.2631,0.285643,60.207,0.31
14,10.5455,0.0346228,45.081,0.108691,11.339,0.285406,60.0917,0.312387
15,10.5453,0.0344284,45.0193,0.108602,11.3612,0.287164,59.9176,0.313499
16,10.5466,0.0340106,45.0065,0.108729,11.3637,0.284478,59.8495,0.313174
17,10.5475,0.0339901,44.9628,0.108769,11.3768,0.28351,59.6625,0.312913
18,10.5515,0.0337159,44.9493,0.108659,11.4149,0.284094,59.3403,0.312577
19,10.5532,0.0336861,44.9454,0.108293,11.4566,0.283887,59.1914,0.311328
20,10.5562,0.0333983,44.9925,0.108673,11.5168,0.286178,59.3215,0.311555
21,10.5579,0.0331284,44.9938,0.109273,11.5409,0.287754,59.3547,0.312684
22,10.5602,0.0330966,45.0098,0.110299,11.6053,0.291463,59.4893,0.312643
23,10.5609,0.0333226,45.0234,0.110514,11.6724,0.293998,59.515,0.314859
24,10.5607,0.0335215,45.0208,0.110879,11.6851,0.294682,59.8086,0.31742
25,10.5568,0.034094,44.9958,0.110553,11.6869,0.294438,60.0306,0.320687
26,10.5529,0.0343479,44.9866,0.110562,11.6904,0.294117,60.1813,0.321247
27,10.5506,0.0345853,44.9709,0.110532,11.7071,0.293382,60.3217,0.321853
28,10.549,0.034702,44.9684,0.110668,11.7144,0.293458,60.693,0.323838
29,10.5484,0.0349023,44.9704,0.110832,11.7312,0.293921,61.0927,0.328447
30,10.5473,0.0352685,44.9407,0.111425,11.7588,0.294439,61.2674,0.331837
31,10.5455,0.0353635,44.9337,0.111255,11.7555,0.293856,61.3731,0.334379
32,10.5425,0.0354245,44.9058,0.111384,11.7576,0.296476,61.5421,0.336262
33,10.5403,0.0355753,44.9008,0.111098,11.7408,0.296299,61.6257,0.338406
34,10.5378,0.0354338,44.8973,0.110725,11.722,0.297047,61.7364,0.339699
35,10.5354,0.0353916,44.9121,0.110324,11.7007,0.296166,61.7557,0.338939
36,10.5351,0.0353295,44.9467,0.109913,11.6776,0.295394,61.817,0.338787
37,10.5341,0.0352607,44.9441,0.109934,11.6687,0.294067,61.8433,0.339139
38,10.5348,0.0351704,44.9417,0.110771,11.6679,0.293567,61.8512,0.340376
39,10.5342,0.0350903,44.9444,0.111337,11.6658,0.294199,61.8433,0.342119
40,10.5341,0.03511,44.9208,0.111465,11.6628,0.294896,61.8517,0.341561
41,10.5334,0.0351802,44.9033,0.111911,11.6573,0.294301,61.8871,0.341547
42,10.5344,0.0352447,44.903,0.112035,11.6492,0.293483,61.9165,0.341543
43,10.5357,0.0353607,44.9103,0.112007,11.6625,0.293293,61.9853,0.341171
44,10.537,0.0352889,44.9089,0.112065,11.6824,0.293235,61.9423,0.340715
