simulations, -2LL
1000,589.583
2000,589.397
3000,589.592
4000,589.337
5000,589.289
6000,589.281
7000,589.36
8000,589.386
9000,589.452
10000,589.446
11000,589.426
12000,589.449
13000,589.428
14000,589.409
15000,589.406
16000,589.416
17000,589.405
18000,589.406
19000,589.4
20000,589.37
21000,589.357
22000,589.379
23000,589.358
24000,589.366
25000,589.365
26000,589.387
27000,589.399
28000,589.396
29000,589.365
30000,589.386
