simulations, -2LL
1000,589.395
2000,589.578
3000,589.557
4000,589.544
5000,589.449
6000,589.494
7000,589.512
8000,589.527
9000,589.569
10000,589.553
11000,589.492
12000,589.218
13000,589.242
14000,589.191
15000,589.194
16000,589.228
17000,589.273
18000,589.284
19000,589.297
20000,589.247
21000,589.237
22000,589.267
23000,589.26
24000,589.244
25000,589.251
26000,589.292
27000,589.311
28000,589.307
29000,589.298
30000,589.313
