Parameters,Run_1,Run_2
Cl_pop,5.17534,5.16893
V1_pop,20.2813,20.3818
Q_pop,6.3938,6.31453
V2_pop,23.4987,23.229
omega_Cl,0.2525,0.252229
omega_V1,0.298568,0.262975
omega_Q,0.588054,0.67253
omega_V2,0.37471,0.353442
corr_V2_V1,0.998971,0.998654
a1,0.303971,0.302016
a2,0.0627408,0.0624366
-2LL,941.997,941.965
