Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression
-0.601795,0.0629913,-0.0977403,-0.679297,-0.146268,-0.105616
-0.590528,0.0560642,-0.0958906,-0.670152,-0.146567,-0.104198
-0.579261,0.049137,-0.094041,-0.661006,-0.146866,-0.10278
-0.567994,0.0422098,-0.0921913,-0.651861,-0.147166,-0.101362
-0.556727,0.0352826,-0.0903416,-0.642716,-0.147465,-0.0999442
-0.54546,0.0283555,-0.0884919,-0.633571,-0.147764,-0.0985262
-0.534193,0.0214283,-0.0866423,-0.624426,-0.148063,-0.0971082
-0.522926,0.0145011,-0.0847926,-0.61528,-0.148363,-0.0956903
-0.511659,0.00757397,-0.0829429,-0.606135,-0.148662,-0.0942723
-0.500392,0.000646804,-0.0810932,-0.59699,-0.148961,-0.0928543
-0.489125,-0.00628036,-0.0792435,-0.587845,-0.149261,-0.0914363
-0.477858,-0.0132075,-0.0773939,-0.5787,-0.14956,-0.0900184
-0.466591,-0.0201347,-0.0755442,-0.569554,-0.149859,-0.0886004
-0.455324,-0.0270619,-0.0736945,-0.560409,-0.150159,-0.0871824
-0.444058,-0.033989,-0.0718448,-0.551264,-0.150458,-0.0857644
-0.432791,-0.0409162,-0.0699952,-0.542119,-0.150757,-0.0843465
-0.421524,-0.0478434,-0.0681455,-0.532974,-0.151056,-0.0829285
-0.410257,-0.0547705,-0.0662958,-0.523828,-0.151356,-0.0815105
-0.39899,-0.0616977,-0.0644461,-0.514683,-0.151655,-0.0800926
-0.387723,-0.0686249,-0.0625964,-0.505538,-0.151954,-0.0786746
-0.376456,-0.075552,-0.0607468,-0.496393,-0.152254,-0.0772566
-0.365189,-0.0824792,-0.0588971,-0.487248,-0.152553,-0.0758386
-0.353922,-0.0894064,-0.0570474,-0.478102,-0.152852,-0.0744207
-0.342655,-0.0963336,-0.0551977,-0.468957,-0.153151,-0.0730027
-0.331388,-0.103261,-0.053348,-0.459812,-0.153451,-0.0715847
-0.320121,-0.110188,-0.0514984,-0.450667,-0.15375,-0.0701667
-0.308854,-0.117115,-0.0496487,-0.441522,-0.154049,-0.0687488
-0.297587,-0.124042,-0.047799,-0.432376,-0.154349,-0.0673308
-0.28632,-0.130969,-0.0459493,-0.423231,-0.154648,-0.0659128
-0.275053,-0.137897,-0.0440997,-0.414086,-0.154947,-0.0644949
-0.263786,-0.144824,-0.04225,-0.404941,-0.155246,-0.0630769
-0.252519,-0.151751,-0.0404003,-0.395796,-0.155546,-0.0616589
-0.241252,-0.158678,-0.0385506,-0.38665,-0.155845,-0.0602409
-0.229985,-0.159905,-0.0367009,-0.377505,-0.156144,-0.058823
-0.218718,-0.155051,-0.0348513,-0.36836,-0.156444,-0.057405
-0.207451,-0.150196,-0.0330016,-0.359215,-0.156743,-0.055987
-0.196184,-0.145342,-0.0311519,-0.35007,-0.150702,-0.054569
-0.184917,-0.140488,-0.0293022,-0.340924,-0.143488,-0.0531511
-0.17365,-0.13563,-0.0274525,-0.331779,-0.136274,-0.0517331
-0.162383,-0.128845,-0.0256029,-0.322634,-0.12906,-0.0503151
-0.151116,-0.121572,-0.0237532,-0.313489,-0.121846,-0.0488971
-0.139849,-0.114299,-0.0219035,-0.304344,-0.114632,-0.0474792
-0.128582,-0.107027,-0.0200538,-0.295198,-0.107418,-0.0460612
-0.117315,-0.0997538,-0.0182042,-0.286053,-0.100204,-0.0446432
-0.106048,-0.0924809,-0.0163545,-0.276908,-0.0929902,-0.0432253
-0.0947814,-0.0852081,-0.0145048,-0.267763,-0.0857763,-0.0418073
-0.0835145,-0.0779352,-0.0126551,-0.258618,-0.0785623,-0.0403893
-0.0722475,-0.0706624,-0.0108054,-0.249472,-0.0713484,-0.0389713
-0.0609805,-0.0633895,-0.00895577,-0.240327,-0.0641344,-0.0375534
-0.0497136,-0.0557943,-0.00710609,-0.231182,-0.0569205,-0.0361354
-0.0384466,-0.0474276,-0.00525641,-0.222037,-0.0497066,-0.0347174
-0.0271796,-0.0390609,-0.00340673,-0.212892,-0.0424926,-0.0332994
-0.0159126,-0.0306943,-0.00155705,-0.203746,-0.0352787,-0.0318815
-0.00464567,-0.0221966,0.000292626,-0.194601,-0.0280647,-0.0304635
0.0066213,-0.0136848,0.0021423,-0.185456,-0.0208508,-0.0290455
0.0178883,-0.00517306,0.00399198,-0.176311,-0.0136368,-0.0276276
0.0291552,0.0033387,0.00584166,-0.167166,-0.0064229,-0.0262096
0.0404222,0.011788,0.00769134,-0.15802,0.00079104,-0.0247916
0.0516892,0.0201422,0.00954102,-0.148875,0.00800498,-0.0233736
0.0629561,0.0284963,0.0113907,-0.13973,0.0143469,-0.0219557
0.0742231,0.0368505,0.0132404,-0.130585,0.0201974,-0.0205377
0.0854901,0.0449724,0.0150901,-0.12144,0.0260479,-0.0191197
0.0967571,0.0529938,0.0169397,-0.112294,0.0318984,-0.0177017
0.108024,0.0608178,0.0187894,-0.103149,0.037749,-0.0162838
0.119291,0.0684854,0.0206391,-0.0940041,0.0435995,-0.0148658
0.130558,0.0759859,0.0224888,-0.0848589,0.04945,-0.0134478
0.141825,0.0828725,0.0243384,-0.0757137,0.0549484,-0.0120299
