parameter,value,se_sa,rse_sa
Cl_pop,61.2752330868849,2.23973766387742,3.65520872144476
V1_pop,237.052720860871,1713.54201728176,722.852710173049
Q_pop,1345.09816649577,5059.25021654281,376.124980507787
V2_pop,951.419446614393,1851.84940845237,194.640693444111
p_pop,2.44804176929848e-16,nan,nan
omega_Cl,0.128547284264598,0.0532061824364337,41.3903589957728
omega_V1,0.179712092613578,5.58394998945803,3107.16430277443
omega_Q,0.109813153704461,2.17820685938333,1983.5573297945
omega_V2,0.283466946548075,0.580537930861468,204.799161923809
a,0.149751979199721,0.0138858855713769,9.27258901390386
