simulations,OFV
500,964.888
1000,964.249
1500,964.727
2000,963.658
2500,963.745
3000,963.913
3500,964.108
4000,963.439
4500,963.987
5000,964.417
5500,964.511
6000,964.681
6500,964.834
7000,965.155
7500,965.211
8000,965.459
8500,965.636
9000,965.342
9500,965.382
10000,965.184
10500,965.01
11000,965.305
11500,965.354
12000,965.402
12500,965.446
13000,965.541
13500,965.571
14000,965.622
14500,965.622
15000,965.606
15500,965.724
16000,965.805
16500,965.682
17000,965.585
17500,965.66
18000,965.534
18500,965.571
19000,965.573
19500,965.62
20000,965.403
20500,965.365
21000,965.261
21500,965.17
22000,965.158
22500,965.17
23000,965.027
23500,964.981
24000,964.914
24500,964.934
25000,964.918
25500,964.935
26000,964.965
26500,964.959
27000,964.943
27500,964.934
28000,964.951
28500,964.917
29000,964.867
29500,964.96
30000,964.942
