standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-2.42033,0.00714286,-2.88967,0.00714286,-1.93532,0.00714286,All
-2.41363,0.0142857,-2.35347,0.0142857,-1.64868,0.0142857,All
-2.37683,0.0214286,-2.32364,0.0214286,-1.59587,0.0214286,All
-2.33119,0.0285714,-2.22755,0.0285714,-1.44202,0.0285714,All
-2.30495,0.0357143,-2.18842,0.0357143,-1.43903,0.0357143,All
-2.26506,0.0428571,-2.10286,0.0428571,-1.4293,0.0428571,All
-2.2315,0.05,-2.07317,0.05,-1.4169,0.05,All
-2.09711,0.0571429,-2.06652,0.0571429,-1.37354,0.0571429,All
-2.09422,0.0642857,-1.99773,0.0642857,-1.37288,0.0642857,All
-1.90526,0.0714286,-1.91565,0.0714286,-1.35455,0.0714286,All
-1.73315,0.0785714,-1.83286,0.0785714,-1.34761,0.0785714,All
-1.71655,0.0857143,-1.82587,0.0857143,-1.3082,0.0857143,All
-1.64033,0.0928571,-1.77296,0.0928571,-1.29788,0.0928571,All
-1.61901,0.1,-1.75276,0.1,-1.27068,0.1,All
-1.61373,0.107143,-1.73441,0.107143,-1.26839,0.107143,All
-1.58314,0.114286,-1.71895,0.114286,-1.26106,0.114286,All
-1.56622,0.121429,-1.68403,0.121429,-1.20831,0.121429,All
-1.47244,0.128571,-1.63557,0.128571,-1.20716,0.128571,All
-1.41049,0.135714,-1.5495,0.135714,-1.17382,0.135714,All
-1.34647,0.142857,-1.2617,0.142857,-1.14835,0.142857,All
-0.831318,0.15,-1.14323,0.15,-1.09471,0.15,All
-0.803149,0.157143,-0.957306,0.157143,-1.09393,0.157143,All
-0.797782,0.164286,-0.95431,0.164286,-1.08579,0.164286,All
-0.783295,0.171429,-0.834996,0.171429,-1.08535,0.171429,All
-0.781235,0.178571,-0.772293,0.178571,-1.07708,0.178571,All
-0.723095,0.185714,-0.716209,0.185714,-1.07638,0.185714,All
-0.675849,0.192857,-0.688436,0.192857,-1.07267,0.192857,All
-0.662911,0.2,-0.653051,0.2,-1.05363,0.2,All
-0.635927,0.207143,-0.643675,0.207143,-1.00444,0.207143,All
-0.598738,0.214286,-0.615909,0.214286,-0.952723,0.214286,All
-0.598021,0.221429,-0.606582,0.221429,-0.949475,0.221429,All
-0.546879,0.228571,-0.603184,0.228571,-0.941483,0.228571,All
-0.501338,0.235714,-0.555461,0.235714,-0.91184,0.235714,All
-0.415407,0.242857,-0.53523,0.242857,-0.897051,0.242857,All
-0.405242,0.25,-0.497977,0.25,-0.853354,0.25,All
-0.399742,0.257143,-0.431936,0.257143,-0.819284,0.257143,All
-0.37043,0.264286,-0.428467,0.264286,-0.805801,0.264286,All
-0.354122,0.271429,-0.406323,0.271429,-0.771976,0.271429,All
-0.329364,0.278571,-0.355708,0.278571,-0.73628,0.278571,All
-0.325663,0.285714,-0.308716,0.285714,-0.675248,0.285714,All
-0.315895,0.292857,-0.284762,0.292857,-0.640256,0.292857,All
-0.314805,0.3,-0.27402,0.3,-0.606056,0.3,All
-0.303424,0.307143,-0.257617,0.307143,-0.59333,0.307143,All
-0.290288,0.314286,-0.24984,0.314286,-0.582557,0.314286,All
-0.28221,0.321429,-0.232134,0.321429,-0.555467,0.321429,All
-0.26178,0.328571,-0.216959,0.328571,-0.502222,0.328571,All
-0.227842,0.335714,-0.212533,0.335714,-0.501088,0.335714,All
-0.223159,0.342857,-0.157433,0.342857,-0.446119,0.342857,All
-0.20957,0.35,-0.129408,0.35,-0.418815,0.35,All
-0.184012,0.357143,-0.124034,0.357143,-0.382785,0.357143,All
-0.161812,0.364286,-0.0962109,0.364286,-0.382445,0.364286,All
-0.135293,0.371429,-0.085666,0.371429,-0.37205,0.371429,All
-0.119062,0.378571,-0.0417779,0.378571,-0.331283,0.378571,All
-0.118241,0.385714,-0.00916401,0.385714,-0.329289,0.385714,All
-0.11816,0.392857,-0.00590583,0.392857,-0.31717,0.392857,All
-0.0991068,0.4,0.00881421,0.4,-0.300084,0.4,All
-0.0987415,0.407143,0.0299993,0.407143,-0.297315,0.407143,All
-0.0701943,0.414286,0.0302306,0.414286,-0.249545,0.414286,All
0.00136676,0.421429,0.0574077,0.421429,-0.191321,0.421429,All
0.015866,0.428571,0.0798991,0.428571,-0.174608,0.428571,All
0.0244745,0.435714,0.0808307,0.435714,-0.169483,0.435714,All
0.0262137,0.442857,0.083043,0.442857,-0.141208,0.442857,All
0.028391,0.45,0.086321,0.45,-0.123416,0.45,All
0.0394801,0.457143,0.167918,0.457143,-0.115359,0.457143,All
0.0527517,0.464286,0.178223,0.464286,-0.112902,0.464286,All
0.0529536,0.471429,0.179239,0.471429,-0.0568004,0.471429,All
0.0607437,0.478571,0.18515,0.478571,-0.0346612,0.478571,All
0.06648,0.485714,0.209598,0.485714,-0.0305588,0.485714,All
0.0701761,0.492857,0.21227,0.492857,-0.0196459,0.492857,All
0.0915587,0.5,0.216108,0.5,-0.00523652,0.5,All
0.0943569,0.507143,0.24865,0.507143,0.00453043,0.507143,All
0.0969107,0.514286,0.263054,0.514286,0.00624624,0.514286,All
0.103545,0.521429,0.269744,0.521429,0.0255934,0.521429,All
0.103924,0.528571,0.286333,0.528571,0.030618,0.528571,All
0.113079,0.535714,0.300136,0.535714,0.0742854,0.535714,All
0.117495,0.542857,0.302395,0.542857,0.118905,0.542857,All
0.120309,0.55,0.346,0.55,0.152362,0.55,All
0.140164,0.557143,0.350625,0.557143,0.181379,0.557143,All
0.160135,0.564286,0.366062,0.564286,0.189166,0.564286,All
0.190319,0.571429,0.376401,0.571429,0.204952,0.571429,All
0.199494,0.578571,0.382382,0.578571,0.21293,0.578571,All
0.220263,0.585714,0.388852,0.585714,0.225008,0.585714,All
0.235512,0.592857,0.391414,0.592857,0.241138,0.592857,All
0.244042,0.6,0.394896,0.6,0.267959,0.6,All
0.249927,0.607143,0.403995,0.607143,0.268136,0.607143,All
0.313966,0.614286,0.4102,0.614286,0.285376,0.614286,All
0.320299,0.621429,0.410726,0.621429,0.305706,0.621429,All
0.365748,0.628571,0.41235,0.628571,0.306706,0.628571,All
0.385382,0.635714,0.414169,0.635714,0.308204,0.635714,All
0.386568,0.642857,0.430804,0.642857,0.313521,0.642857,All
0.476126,0.65,0.433389,0.65,0.335177,0.65,All
0.486154,0.657143,0.448782,0.657143,0.338255,0.657143,All
0.509301,0.664286,0.457593,0.664286,0.398872,0.664286,All
0.511145,0.671429,0.458202,0.671429,0.420892,0.671429,All
0.519312,0.678571,0.466913,0.678571,0.449286,0.678571,All
0.528315,0.685714,0.467115,0.685714,0.452041,0.685714,All
0.568345,0.692857,0.477088,0.692857,0.465442,0.692857,All
0.581244,0.7,0.493814,0.7,0.502854,0.7,All
0.589117,0.707143,0.500169,0.707143,0.522368,0.707143,All
0.591242,0.714286,0.503769,0.714286,0.558155,0.714286,All
0.611035,0.721429,0.508304,0.721429,0.558279,0.721429,All
0.649341,0.728571,0.516345,0.728571,0.617524,0.728571,All
0.66468,0.735714,0.524077,0.735714,0.661285,0.735714,All
0.70224,0.742857,0.575002,0.742857,0.670599,0.742857,All
0.703705,0.75,0.586027,0.75,0.697843,0.75,All
