standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,split
-2.24134,0.194538,-2.68072,0.0185171,-1.76103,0.0665978,All
-1.88335,0.064846,-2.26284,0.12962,-1.41246,0.28859,All
-1.52535,0.172923,-1.84495,0.166654,-1.06388,0.399587,All
-1.16736,0,-1.42706,0.0555513,-0.715307,0.244192,All
-0.809373,0.194538,-1.00917,0.0740683,-0.366732,0.28859,All
-0.451382,0.345846,-0.591277,0.259239,-0.0181578,0.421786,All
-0.093391,0.518768,-0.173388,0.370342,0.330417,0.466184,All
0.2646,0.453922,0.244502,0.629581,0.678991,0.266391,All
0.622591,0.518768,0.662391,0.611064,1.02757,0.221993,All
0.980581,0.216153,1.08028,0.12962,1.37614,0.177594,All
1.33857,0.281,1.49817,0.0740683,1.72471,0.133196,All
1.69656,0.064846,1.91606,0.0740683,2.07329,0.133196,All
