standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,split
-2.21094,0.157232,-2.07666,0.147153,-1.88983,0.101169,All
-1.86644,0.157232,-1.70856,0.189197,-1.5074,0.182105,All
-1.52194,0.112308,-1.34046,0.0840874,-1.12497,0.323741,All
-1.17743,0.0224617,-0.972366,0.105109,-0.742532,0.141637,All
-0.832932,0.0898467,-0.604268,0.23124,-0.360098,0.384443,All
-0.488429,0.449233,-0.23617,0.273284,0.0223349,0.465378,All
-0.143927,0.426772,0.131928,0.630655,0.404768,0.384443,All
0.200575,0.516618,0.500025,0.588612,0.787201,0.303508,All
0.545078,0.494157,0.868123,0.504524,1.16963,0.26304,All
0.88958,0.247078,1.23622,0.126131,1.55207,0.141637,All
1.23408,0.336925,1.60432,0.0420437,1.9345,0.121403,All
1.57858,0.13477,1.97242,0.0210218,2.31693,0.0202338,All
