standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-2.38319,0.00714286,-2.26071,0.00714286,-2.08105,0.00714286,All
-2.27625,0.0142857,-2.23705,0.0142857,-1.92211,0.0142857,All
-2.21919,0.0214286,-2.12453,0.0214286,-1.75966,0.0214286,All
-2.20091,0.0285714,-2.0887,0.0285714,-1.74993,0.0285714,All
-2.18218,0.0357143,-2.04596,0.0357143,-1.71077,0.0357143,All
-2.15833,0.0428571,-1.99959,0.0428571,-1.68011,0.0428571,All
-2.0971,0.05,-1.97706,0.05,-1.66729,0.05,All
-2.03216,0.0571429,-1.88824,0.0571429,-1.57489,0.0571429,All
-1.91938,0.0642857,-1.85465,0.0642857,-1.56528,0.0642857,All
-1.88254,0.0714286,-1.76124,0.0714286,-1.55036,0.0714286,All
-1.87611,0.0785714,-1.72805,0.0785714,-1.53082,0.0785714,All
-1.77732,0.0857143,-1.67336,0.0857143,-1.38232,0.0857143,All
-1.75489,0.0928571,-1.67064,0.0928571,-1.37368,0.0928571,All
-1.70885,0.1,-1.59554,0.1,-1.33432,0.1,All
-1.55824,0.107143,-1.59459,0.107143,-1.31297,0.107143,All
-1.54017,0.114286,-1.54068,0.114286,-1.27336,0.114286,All
-1.49577,0.121429,-1.51455,0.121429,-1.26954,0.121429,All
-1.45717,0.128571,-1.46398,0.128571,-1.26266,0.128571,All
-1.3924,0.135714,-1.37596,0.135714,-1.26082,0.135714,All
-1.27711,0.142857,-1.15671,0.142857,-1.24072,0.142857,All
-0.796722,0.15,-0.947621,0.15,-1.14983,0.15,All
-0.788629,0.157143,-0.936731,0.157143,-1.13562,0.157143,All
-0.706157,0.164286,-0.906208,0.164286,-1.13239,0.164286,All
-0.696464,0.171429,-0.868283,0.171429,-1.12954,0.171429,All
-0.658154,0.178571,-0.836639,0.178571,-1.11713,0.178571,All
-0.634898,0.185714,-0.779999,0.185714,-1.11631,0.185714,All
-0.624795,0.192857,-0.774098,0.192857,-1.10855,0.192857,All
-0.612322,0.2,-0.711195,0.2,-1.10138,0.2,All
-0.610802,0.207143,-0.690527,0.207143,-1.01401,0.207143,All
-0.585842,0.214286,-0.632403,0.214286,-0.940364,0.214286,All
-0.546772,0.221429,-0.627496,0.221429,-0.851503,0.221429,All
-0.536612,0.228571,-0.601431,0.228571,-0.849149,0.228571,All
-0.519168,0.235714,-0.567873,0.235714,-0.799713,0.235714,All
-0.493778,0.242857,-0.443211,0.242857,-0.780456,0.242857,All
-0.489841,0.25,-0.437627,0.25,-0.693338,0.25,All
-0.489167,0.257143,-0.432557,0.257143,-0.665636,0.257143,All
-0.487505,0.264286,-0.394691,0.264286,-0.613811,0.264286,All
-0.436278,0.271429,-0.388145,0.271429,-0.546255,0.271429,All
-0.436077,0.278571,-0.336912,0.278571,-0.514947,0.278571,All
-0.380081,0.285714,-0.29656,0.285714,-0.482973,0.285714,All
-0.363506,0.292857,-0.242715,0.292857,-0.472778,0.292857,All
-0.339268,0.3,-0.242102,0.3,-0.469209,0.3,All
-0.338476,0.307143,-0.223359,0.307143,-0.468596,0.307143,All
-0.324603,0.314286,-0.0986479,0.314286,-0.422202,0.314286,All
-0.311691,0.321429,-0.0767728,0.321429,-0.40967,0.321429,All
-0.267912,0.328571,-0.0767089,0.328571,-0.401866,0.328571,All
-0.243092,0.335714,-0.07333,0.335714,-0.389712,0.335714,All
-0.156068,0.342857,-0.0714758,0.342857,-0.342415,0.342857,All
-0.150698,0.35,-0.0633221,0.35,-0.299148,0.35,All
-0.147677,0.357143,-0.0407181,0.357143,-0.262157,0.357143,All
-0.11396,0.364286,-0.0229612,0.364286,-0.244809,0.364286,All
-0.0985492,0.371429,-0.0138909,0.371429,-0.239595,0.371429,All
-0.0884241,0.378571,0.00966952,0.378571,-0.238674,0.378571,All
-0.0836469,0.385714,0.0218594,0.385714,-0.21368,0.385714,All
-0.039515,0.392857,0.0218603,0.392857,-0.183842,0.392857,All
-0.00579635,0.4,0.0346369,0.4,-0.175595,0.4,All
-0.000691159,0.407143,0.0650993,0.407143,-0.15177,0.407143,All
0.00202601,0.414286,0.0862731,0.414286,-0.138997,0.414286,All
0.00643976,0.421429,0.120006,0.421429,-0.135189,0.421429,All
0.00697083,0.428571,0.130143,0.428571,-0.132166,0.428571,All
0.00717421,0.435714,0.130551,0.435714,-0.125319,0.435714,All
0.0124005,0.442857,0.131071,0.442857,-0.122376,0.442857,All
0.0273169,0.45,0.144073,0.45,-0.112191,0.45,All
0.0310696,0.457143,0.16125,0.457143,-0.0984451,0.457143,All
0.0369928,0.464286,0.174944,0.464286,-0.0784946,0.464286,All
0.0432715,0.471429,0.181579,0.471429,-0.0726959,0.471429,All
0.0580536,0.478571,0.188816,0.478571,-0.0387127,0.478571,All
0.0735455,0.485714,0.211807,0.485714,-0.00531951,0.485714,All
0.0974493,0.492857,0.214971,0.492857,0.00048486,0.492857,All
0.108719,0.5,0.249539,0.5,0.0751335,0.5,All
0.115631,0.507143,0.253954,0.507143,0.0761857,0.507143,All
0.11843,0.514286,0.260196,0.514286,0.0943598,0.514286,All
0.11878,0.521429,0.262954,0.521429,0.149857,0.521429,All
0.134024,0.528571,0.264208,0.528571,0.156532,0.528571,All
0.136144,0.535714,0.275174,0.535714,0.178438,0.535714,All
0.142488,0.542857,0.293773,0.542857,0.178679,0.542857,All
0.166687,0.55,0.30861,0.55,0.18192,0.55,All
0.190443,0.557143,0.308674,0.557143,0.193295,0.557143,All
0.19491,0.564286,0.313683,0.564286,0.206619,0.564286,All
0.196453,0.571429,0.316874,0.571429,0.221504,0.571429,All
0.20229,0.578571,0.342948,0.578571,0.26364,0.578571,All
0.23823,0.585714,0.360784,0.585714,0.266459,0.585714,All
0.248637,0.592857,0.393844,0.592857,0.267916,0.592857,All
0.299223,0.6,0.407851,0.6,0.269962,0.6,All
0.309991,0.607143,0.407896,0.607143,0.287102,0.607143,All
0.366176,0.614286,0.457722,0.614286,0.311625,0.614286,All
0.399087,0.621429,0.469209,0.621429,0.321968,0.621429,All
0.405535,0.628571,0.475954,0.628571,0.326978,0.628571,All
0.419968,0.635714,0.48368,0.635714,0.383634,0.635714,All
0.428255,0.642857,0.485817,0.642857,0.404612,0.642857,All
0.429164,0.65,0.493116,0.65,0.424931,0.65,All
0.476852,0.657143,0.50556,0.657143,0.448093,0.657143,All
0.478242,0.664286,0.507679,0.664286,0.463538,0.664286,All
0.501691,0.671429,0.521708,0.671429,0.468318,0.671429,All
0.53523,0.678571,0.521942,0.678571,0.473815,0.678571,All
0.548215,0.685714,0.53064,0.685714,0.477817,0.685714,All
0.558268,0.692857,0.538089,0.692857,0.484687,0.692857,All
0.566156,0.7,0.551759,0.7,0.579957,0.7,All
0.618278,0.707143,0.553634,0.707143,0.625221,0.707143,All
0.624641,0.714286,0.565382,0.714286,0.630223,0.714286,All
0.626511,0.721429,0.568804,0.721429,0.679071,0.721429,All
0.633858,0.728571,0.57158,0.728571,0.737361,0.728571,All
0.666551,0.735714,0.582841,0.735714,0.769678,0.735714,All
0.66928,0.742857,0.585968,0.742857,0.776651,0.742857,All
0.690156,0.75,0.598317,0.75,0.787809,0.75,All
0.710684,0.757143,0.644097,0.757143,0.791398,0.757143,All
0.71495,0.764286,0.646291,0.764286,0.818034,0.764286,All
0.71614,0.771429,0.685944,0.771429,0.836144,0.771429,All
0.718934,0.778571,0.706255,0.778571,0.841535,0.778571,All
0.73988,0.785714,0.710544,0.785714,0.878639,0.785714,All
0.752559,0.792857,0.714844,0.792857,0.885178,0.792857,All
0.752955,0.8,0.716317,0.8,0.922442,0.8,All
0.77466,0.807143,0.741409,0.807143,0.94057,0.807143,All
0.885362,0.814286,0.778902,0.814286,0.98309,0.814286,All
0.890214,0.821429,0.795903,0.821429,1.02267,0.821429,All
0.951635,0.828571,0.802231,0.828571,1.03646,0.828571,All
1.00948,0.835714,0.807039,0.835714,1.04586,0.835714,All
1.01947,0.842857,0.80795,0.842857,1.06966,0.842857,All
1.06078,0.85,0.829033,0.85,1.08439,0.85,All
1.06675,0.857143,0.859654,0.857143,1.19654,0.857143,All
1.08897,0.864286,0.865969,0.864286,1.24025,0.864286,All
1.10722,0.871429,0.878613,0.871429,1.24631,0.871429,All
1.15072,0.878571,0.878671,0.878571,1.3336,0.878571,All
1.15395,0.885714,0.89266,0.885714,1.34073,0.885714,All
1.19319,0.892857,0.902016,0.892857,1.34507,0.892857,All
1.2156,0.9,0.922313,0.9,1.35855,0.9,All
1.21976,0.907143,0.960378,0.907143,1.42853,0.907143,All
1.26309,0.914286,0.969436,0.914286,1.44006,0.914286,All
1.30744,0.921429,0.994121,0.921429,1.45134,0.921429,All
1.3228,0.928571,1.00305,0.928571,1.51368,0.928571,All
1.33036,0.935714,1.03714,0.935714,1.55796,0.935714,All
1.33978,0.942857,1.0582,0.942857,1.65787,0.942857,All
1.35868,0.95,1.10234,0.95,1.69112,0.95,All
1.36176,0.957143,1.10783,0.957143,1.78987,0.957143,All
1.41969,0.964286,1.14939,0.964286,1.84881,0.964286,All
1.44329,0.971429,1.30635,0.971429,1.9527,0.971429,All
1.58681,0.978571,1.34422,0.978571,2.00354,0.978571,All
1.67758,0.985714,1.45113,0.985714,2.05106,0.985714,All
1.73125,0.992857,1.55989,0.992857,2.10368,0.992857,All
1.75084,1,2.15647,1,2.50815,1,All
4,1,4,1,4,1,All
