iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1
1,619.812,1,10.2275,11.1604,43.2233,60.344,0.3,1.5,1.5,1
2,586.54,1,10.7241,12.394,38.7308,61.2869,0.24,1.34164,1.40831,0.894427
3,557.429,1,10.566,10.6131,39.4197,59.4085,0.192,1.2,1.31883,0.8
4,534.189,1,10.4885,11.9607,37.8943,57.4502,0.156403,1.07331,1.3821,0.715542
5,507.875,1,10.4566,13.7215,36.6065,56.5505,0.142288,0.96,1.28525,0.64
6,472.987,1,10.3746,14.9493,36.4417,56.1365,0.123375,0.85865,1.23842,0.572433
7,461.185,1,10.2736,14.4374,37.0634,54.5741,0.118234,0.768,1.22762,0.512
8,445.605,1,10.3831,13.6362,37.1585,52.6186,0.112777,0.68692,1.22748,0.457947
9,431.199,1,10.3651,12.7562,38.1728,55.4395,0.107643,0.6144,1.25036,0.4096
10,422.717,1,10.3367,12.3249,38.2217,54.9,0.102643,0.549536,1.26266,0.366357
11,409.298,1,10.3389,12.3883,39.102,54.2517,0.100092,0.49152,1.17088,0.33386
12,398.173,1,10.2954,11.6833,39.9183,49.9016,0.0961812,0.439629,1.15327,0.303187
13,389.892,1,10.2987,11.7236,40.5148,48.6198,0.0945537,0.393216,1.11513,0.283983
14,387.348,1,10.311,11.8822,40.9672,49.2944,0.0955883,0.351703,1.144,0.254002
15,380.012,1,10.3455,11.7504,41.1608,48.7315,0.0939958,0.314573,1.1506,0.233684
16,382.296,1,10.2691,11.0987,41.6057,46.7441,0.0946252,0.281362,1.15373,0.228659
17,374.501,1,10.2671,10.9875,41.7273,46.1895,0.0926823,0.260758,1.10094,0.216155
18,371.95,1,10.2353,10.9214,41.6806,44.8786,0.0914759,0.265855,1.09486,0.205582
19,367.214,1,10.2149,10.9573,41.5798,44.2996,0.0898778,0.260883,1.07768,0.199907
20,369.908,1,10.2336,11.4848,40.9207,44.5057,0.0918774,0.265126,1.07188,0.19026
21,368.796,1,10.2232,11.3893,40.4897,44.8917,0.0921392,0.263779,1.1007,0.174081
22,374.696,1,10.2711,11.3065,41.3449,45.7424,0.0945682,0.258144,1.06262,0.189792
23,368.612,1,10.2786,11.4945,41.9011,46.7354,0.0929505,0.261501,1.00078,0.185737
24,373.079,1,10.2901,11.5629,41.4795,47.1084,0.0941684,0.261359,1.01769,0.193485
25,367.42,1,10.2786,11.9218,41.3369,46.7329,0.0935262,0.258508,1.03411,0.173058
26,369.484,1,10.2213,11.8632,40.4982,47.261,0.0917312,0.260191,1.01772,0.190499
27,368.343,1,10.2327,11.9183,41.0244,46.9942,0.0914772,0.256421,1.03755,0.190963
28,360.335,1,10.292,11.5125,41.7716,47.7575,0.0925599,0.258036,0.965964,0.170803
29,356.704,1,10.2133,10.9769,42.2676,48.6101,0.0909148,0.259412,0.929473,0.15277
30,356.065,1,10.1988,11.2031,42.5412,48.5559,0.0904776,0.262267,0.947596,0.143603
31,353.535,1,10.2859,11.2968,42.5475,50.0583,0.0919368,0.261196,0.94658,0.131883
32,356.083,1,10.2962,11.2024,42.4113,49.5022,0.0924234,0.259317,0.963,0.129863
33,361.854,1,10.2899,10.9798,42.1234,50.0207,0.0931443,0.264778,0.992285,0.139546
34,350.249,1,10.2773,11.1786,41.9811,49.4685,0.088334,0.260525,1.00751,0.135811
35,355.202,1,10.2729,11.5455,41.9173,50.0645,0.0896142,0.267042,0.993421,0.139554
36,353.443,1,10.2605,11.5063,41.9965,50.2562,0.0893939,0.265255,1.00377,0.136141
37,351.47,1,10.2466,10.8189,42.256,49.9815,0.0886785,0.262791,1.05368,0.130207
38,351.746,1,10.2318,10.8457,42.3149,50.5245,0.0905433,0.262906,1.03798,0.118792
39,351.629,1,10.2642,10.8607,42.2813,52.2673,0.0912538,0.260687,1.0327,0.115533
40,355.14,1,10.1901,10.1814,42.2702,52.8603,0.093768,0.259473,1.07349,0.103336
41,353.845,1,10.1346,9.62883,42.4381,51.6259,0.091667,0.252528,1.07513,0.10753
42,354.579,1,10.1508,9.31076,43.0919,51.1799,0.09055,0.256666,1.01692,0.122769
43,351.515,1,10.1966,9.20715,43.5126,51.8383,0.0894252,0.26176,1.08277,0.11815
44,348.982,1,10.1643,9.24119,44.2958,53.6862,0.0896862,0.2618,1.04702,0.110907
45,352.355,1,10.1666,9.13832,44.4817,54.6019,0.0910668,0.262553,1.04676,0.110618
46,346.915,1,10.1274,9.2341,44.4358,55.4443,0.0900582,0.267218,0.981893,0.103769
47,351.036,1,10.1794,9.10715,44.2693,54.4655,0.0939166,0.267138,0.959864,0.0981337
48,347.561,1,10.1635,9.05283,44.2431,56.0187,0.0956306,0.267161,0.896623,0.0877734
49,346.819,1,10.1776,9.66634,44.5574,57.0542,0.0934118,0.263714,0.931825,0.0842461
50,345.959,1,10.1677,9.95216,43.9548,57.777,0.0923414,0.266429,0.944176,0.085421
51,344.068,1,10.1653,9.58857,43.8009,58.0818,0.0919712,0.262664,0.972631,0.0832832
52,343.39,1,10.118,9.31555,43.7859,56.9433,0.0932593,0.264418,0.970157,0.0754044
53,345.724,1,10.1386,9.03811,44.1172,56.0408,0.0956475,0.260746,0.954999,0.0720971
54,341.189,1,10.1268,9.1848,43.6827,56.3348,0.0913674,0.262429,0.995821,0.0725945
55,345.288,1,10.1882,9.51146,43.5893,54.5788,0.0944035,0.252208,1.03411,0.07212
56,342.5,1,10.2163,9.75704,43.3568,54.6359,0.0939573,0.252673,1.05251,0.068068
57,334.69,1,10.2086,9.84596,43.2862,52.5032,0.0913606,0.252367,1.00978,0.065617
