id,outcome2,group
1,0,simulationGroup1
2,0,simulationGroup1
3,0,simulationGroup1
4,0,simulationGroup1
5,0,simulationGroup1
6,0,simulationGroup1
7,0,simulationGroup1
8,1,simulationGroup1
9,0,simulationGroup1
10,0,simulationGroup1
11,0,simulationGroup1
12,0,simulationGroup1
13,0,simulationGroup1
14,0,simulationGroup1
15,0,simulationGroup1
16,0,simulationGroup1
17,0,simulationGroup1
18,0,simulationGroup1
19,0,simulationGroup1
20,0,simulationGroup1
21,0,simulationGroup1
22,0,simulationGroup1
23,0,simulationGroup1
24,0,simulationGroup1
25,0,simulationGroup1
26,0,simulationGroup1
27,0,simulationGroup1
28,0,simulationGroup1
29,0,simulationGroup1
30,0,simulationGroup1
31,0,simulationGroup1
32,0,simulationGroup1
33,0,simulationGroup1
34,0,simulationGroup1
35,0,simulationGroup1
36,0,simulationGroup1
37,0,simulationGroup1
38,0,simulationGroup1
39,0,simulationGroup1
40,0,simulationGroup1
41,0,simulationGroup1
42,0,simulationGroup1
43,0,simulationGroup1
44,0,simulationGroup1
45,0,simulationGroup1
46,0,simulationGroup1
47,0,simulationGroup1
48,0,simulationGroup1
49,0,simulationGroup1
50,0,simulationGroup1
51,0,simulationGroup1
52,0,simulationGroup1
53,0,simulationGroup1
54,0,simulationGroup1
55,0,simulationGroup1
56,0,simulationGroup1
57,0,simulationGroup1
58,0,simulationGroup1
59,0,simulationGroup1
60,0,simulationGroup1
61,0,simulationGroup1
62,0,simulationGroup1
63,0,simulationGroup1
64,0,simulationGroup1
65,0,simulationGroup1
66,0,simulationGroup1
67,0,simulationGroup1
68,0,simulationGroup1
69,0,simulationGroup1
70,0,simulationGroup1
71,0,simulationGroup1
72,0,simulationGroup1
73,0,simulationGroup1
74,0,simulationGroup1
75,0,simulationGroup1
76,0,simulationGroup1
77,0,simulationGroup1
78,0,simulationGroup1
79,0,simulationGroup1
80,0,simulationGroup1
81,0,simulationGroup1
82,0,simulationGroup1
83,0,simulationGroup1
84,0,simulationGroup1
85,0,simulationGroup1
