id,outcome1,group
1,182.898,simulationGroup1
2,204.141,simulationGroup1
3,146.011,simulationGroup1
4,204.432,simulationGroup1
5,202.107,simulationGroup1
6,191.301,simulationGroup1
7,233.681,simulationGroup1
8,402.48,simulationGroup1
9,258.241,simulationGroup1
10,206.307,simulationGroup1
11,175.111,simulationGroup1
12,221.44,simulationGroup1
13,314.98,simulationGroup1
14,181.545,simulationGroup1
15,201.035,simulationGroup1
16,154.218,simulationGroup1
17,160.693,simulationGroup1
18,217.773,simulationGroup1
19,264.749,simulationGroup1
20,254.411,simulationGroup1
21,216.151,simulationGroup1
22,344.322,simulationGroup1
23,274.852,simulationGroup1
24,243.337,simulationGroup1
25,206.052,simulationGroup1
26,188.604,simulationGroup1
27,195.862,simulationGroup1
28,215.893,simulationGroup1
29,179.216,simulationGroup1
30,255.131,simulationGroup1
31,271.118,simulationGroup1
32,208.109,simulationGroup1
33,339.521,simulationGroup1
34,169.672,simulationGroup1
35,266.715,simulationGroup1
36,237.381,simulationGroup1
37,155.219,simulationGroup1
38,165.21,simulationGroup1
39,198.119,simulationGroup1
40,215.82,simulationGroup1
41,200.5,simulationGroup1
42,204.756,simulationGroup1
43,207.825,simulationGroup1
44,172.995,simulationGroup1
45,243.271,simulationGroup1
46,294.407,simulationGroup1
47,268.662,simulationGroup1
48,256.387,simulationGroup1
49,193.649,simulationGroup1
50,212.457,simulationGroup1
51,200.233,simulationGroup1
52,172.749,simulationGroup1
53,212.091,simulationGroup1
54,182.905,simulationGroup1
55,211.776,simulationGroup1
56,184.595,simulationGroup1
57,138.075,simulationGroup1
58,167.603,simulationGroup1
59,276.934,simulationGroup1
60,236.334,simulationGroup1
61,272.032,simulationGroup1
62,163.904,simulationGroup1
63,217.746,simulationGroup1
64,239.496,simulationGroup1
65,233.832,simulationGroup1
66,298.312,simulationGroup1
67,245.694,simulationGroup1
68,179.901,simulationGroup1
69,216.609,simulationGroup1
70,167.394,simulationGroup1
71,222.844,simulationGroup1
72,198.633,simulationGroup1
73,248.296,simulationGroup1
74,258.046,simulationGroup1
75,163.198,simulationGroup1
76,220.866,simulationGroup1
77,157.405,simulationGroup1
78,237.533,simulationGroup1
79,173.551,simulationGroup1
80,303.675,simulationGroup1
81,198.407,simulationGroup1
82,162.286,simulationGroup1
83,201.758,simulationGroup1
84,172.463,simulationGroup1
85,225.011,simulationGroup1
86,212.096,simulationGroup1
87,259.518,simulationGroup1
88,327.901,simulationGroup1
89,223.683,simulationGroup1
90,321.357,simulationGroup1
91,333.799,simulationGroup1
92,235.931,simulationGroup1
93,182.377,simulationGroup1
94,170.196,simulationGroup1
95,256.397,simulationGroup1
96,123.936,simulationGroup1
97,139.325,simulationGroup1
98,178.01,simulationGroup1
99,209.283,simulationGroup1
100,183.852,simulationGroup1
101,281.54,simulationGroup1
102,198.08,simulationGroup1
103,149.028,simulationGroup1
104,275.12,simulationGroup1
105,264.706,simulationGroup1
106,276.914,simulationGroup1
107,173.545,simulationGroup1
108,245.395,simulationGroup1
109,212.755,simulationGroup1
110,186.029,simulationGroup1
111,178.31,simulationGroup1
112,276.44,simulationGroup1
113,119.295,simulationGroup1
114,198.793,simulationGroup1
115,249.725,simulationGroup1
116,207.432,simulationGroup1
117,162.744,simulationGroup1
118,224.9,simulationGroup1
119,179.474,simulationGroup1
120,161.801,simulationGroup1
121,313.461,simulationGroup1
122,234.5,simulationGroup1
123,256.739,simulationGroup1
124,201.517,simulationGroup1
125,188.374,simulationGroup1
126,631.704,simulationGroup1
127,221.233,simulationGroup1
128,352.971,simulationGroup1
129,205.692,simulationGroup1
130,264.792,simulationGroup1
131,188.605,simulationGroup1
132,175.429,simulationGroup1
133,282.249,simulationGroup1
134,203.063,simulationGroup1
135,218.776,simulationGroup1
136,314.455,simulationGroup1
137,239.552,simulationGroup1
138,135.514,simulationGroup1
139,269.305,simulationGroup1
140,236.998,simulationGroup1
141,152.009,simulationGroup1
142,259.834,simulationGroup1
143,176.366,simulationGroup1
144,301.961,simulationGroup1
145,210.801,simulationGroup1
146,195.66,simulationGroup1
147,230.083,simulationGroup1
148,204.878,simulationGroup1
149,240.272,simulationGroup1
150,195.173,simulationGroup1
151,150.402,simulationGroup1
152,142.912,simulationGroup1
153,271.329,simulationGroup1
154,287.86,simulationGroup1
155,188.932,simulationGroup1
156,213.085,simulationGroup1
157,224.293,simulationGroup1
158,163.043,simulationGroup1
159,287.006,simulationGroup1
160,242.593,simulationGroup1
161,194.045,simulationGroup1
162,160.957,simulationGroup1
163,332.802,simulationGroup1
164,239.572,simulationGroup1
165,175.344,simulationGroup1
166,199.838,simulationGroup1
167,233.63,simulationGroup1
168,168.088,simulationGroup1
169,358.09,simulationGroup1
170,264.636,simulationGroup1
171,204.386,simulationGroup1
172,336.18,simulationGroup1
173,296.468,simulationGroup1
174,172.474,simulationGroup1
175,171.162,simulationGroup1
176,179.525,simulationGroup1
177,151.389,simulationGroup1
178,290.973,simulationGroup1
179,246.832,simulationGroup1
180,260.959,simulationGroup1
181,283.176,simulationGroup1
182,250.606,simulationGroup1
183,233.168,simulationGroup1
184,178.187,simulationGroup1
185,278.833,simulationGroup1
186,202.699,simulationGroup1
187,247.766,simulationGroup1
188,211.701,simulationGroup1
189,150.417,simulationGroup1
190,170.507,simulationGroup1
191,234.257,simulationGroup1
192,133.735,simulationGroup1
193,225.562,simulationGroup1
194,128.507,simulationGroup1
195,213.07,simulationGroup1
196,258.738,simulationGroup1
197,156.68,simulationGroup1
198,222.803,simulationGroup1
199,232.343,simulationGroup1
200,141.407,simulationGroup1
201,196.606,simulationGroup1
202,179.509,simulationGroup1
203,237.665,simulationGroup1
204,229.741,simulationGroup1
205,213.467,simulationGroup1
206,136.184,simulationGroup1
207,186.033,simulationGroup1
208,251.984,simulationGroup1
209,184.927,simulationGroup1
210,177.007,simulationGroup1
211,181.351,simulationGroup1
212,191.338,simulationGroup1
213,173.349,simulationGroup1
214,164.963,simulationGroup1
215,198.399,simulationGroup1
216,215.361,simulationGroup1
217,218.515,simulationGroup1
218,329.092,simulationGroup1
219,329.868,simulationGroup1
220,171.159,simulationGroup1
221,244.855,simulationGroup1
222,284.411,simulationGroup1
223,285.502,simulationGroup1
224,160.361,simulationGroup1
225,232.559,simulationGroup1
226,193.968,simulationGroup1
227,170.572,simulationGroup1
228,136.767,simulationGroup1
229,290.726,simulationGroup1
230,194.951,simulationGroup1
231,162.48,simulationGroup1
232,168.32,simulationGroup1
233,248.216,simulationGroup1
234,297.498,simulationGroup1
235,204.515,simulationGroup1
236,240.449,simulationGroup1
237,273.654,simulationGroup1
238,258.128,simulationGroup1
239,239.983,simulationGroup1
240,171.382,simulationGroup1
241,237.01,simulationGroup1
242,253.251,simulationGroup1
243,256.367,simulationGroup1
244,159.537,simulationGroup1
245,172.652,simulationGroup1
246,168.796,simulationGroup1
247,238.757,simulationGroup1
248,173.218,simulationGroup1
249,233.243,simulationGroup1
250,181.149,simulationGroup1
251,182.011,simulationGroup1
252,264.724,simulationGroup1
253,224.677,simulationGroup1
254,247.226,simulationGroup1
255,353.393,simulationGroup1
256,277.597,simulationGroup1
257,171.489,simulationGroup1
258,306.068,simulationGroup1
259,136.426,simulationGroup1
260,249.133,simulationGroup1
261,288.044,simulationGroup1
262,275.151,simulationGroup1
263,225.57,simulationGroup1
264,194.009,simulationGroup1
265,213.202,simulationGroup1
266,244.006,simulationGroup1
267,247.985,simulationGroup1
268,197.393,simulationGroup1
269,200.016,simulationGroup1
270,365.125,simulationGroup1
271,254.287,simulationGroup1
272,216.274,simulationGroup1
273,214.269,simulationGroup1
274,215.326,simulationGroup1
275,265.018,simulationGroup1
276,246.335,simulationGroup1
277,134.537,simulationGroup1
278,247.162,simulationGroup1
279,167.737,simulationGroup1
280,177.882,simulationGroup1
281,171.828,simulationGroup1
282,285.048,simulationGroup1
283,142.077,simulationGroup1
284,221.82,simulationGroup1
285,182.263,simulationGroup1
