iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,a1,a2
1,1906.12,1,52.1651,10.3504,1.5,1.5,3,3
2,1897.64,1,98.3961,6.53169,1.46202,1.46202,2.92404,2.92404
3,1884.4,1,197.978,5.41581,1.425,1.425,2.85,2.85
4,1882.93,1,372.844,5.44605,1.38892,1.38892,2.77784,2.77784
5,1868.44,1,319.545,4.88531,1.35375,1.35375,2.7075,2.7075
6,1855.54,1,356.893,4.70662,1.31947,1.31947,2.63894,2.63894
7,1843.32,1,388.424,5.44185,1.28606,1.28606,2.57212,2.57212
8,1842.1,1,521.318,3.99826,1.2535,1.2535,2.507,2.507
9,1818.72,1,357.03,4.73602,1.22176,1.22176,2.44352,2.44352
10,1817.68,1,411.211,6.07331,1.19082,1.19082,2.38165,2.38165
11,1801.84,1,385.958,6.57191,1.16067,1.16067,2.32134,2.32134
12,1790.56,1,322.979,6.20832,1.13128,1.13128,2.26257,2.26257
13,1777.83,1,320.063,6.56527,1.10264,1.10264,2.20528,2.20528
14,1767.1,1,269.026,8.02927,1.07472,1.07472,2.14944,2.14944
15,1752.97,1,303.883,7.27663,1.04751,1.04751,2.09501,2.09501
16,1741.66,1,355.254,7.16206,1.02098,1.02098,2.04197,2.04197
17,1732.57,1,337.795,6.47862,0.995131,0.995131,1.99026,1.99026
18,1731.59,1,416.785,7.20416,0.969933,0.969933,1.93987,1.93987
19,1709.58,1,337.35,8.421,0.945374,0.945374,1.89075,1.89075
20,1702.58,1,261.184,8.51569,0.921437,0.921437,1.84287,1.84287
21,1696.71,1,221.76,9.32273,0.903417,0.898105,1.79621,1.79621
22,1683.43,1,215.775,9.71432,0.927295,0.875365,1.75073,1.75073
23,1668.45,1,221.529,9.01701,0.903816,0.8532,1.7064,1.7064
24,1662.5,1,209.801,9.73639,0.880931,0.831597,1.66319,1.66319
25,1643.74,1,235.825,10.2241,0.858625,0.81054,1.62108,1.62108
26,1632.32,1,211.932,10.4951,0.836884,0.790017,1.58003,1.58003
27,1624.12,1,183.562,10.5392,0.815694,0.770013,1.54003,1.54003
28,1612.74,1,202.382,10.0659,0.79504,0.750516,1.50103,1.50103
29,1605.17,1,193.297,10.129,0.805153,0.731512,1.46302,1.46302
30,1601.77,1,199.335,10.082,0.869476,0.71299,1.42598,1.42598
31,1585.95,1,215.379,9.54633,0.84746,0.694937,1.38987,1.38987
32,1574.92,1,198.613,9.50658,0.826002,0.677341,1.35468,1.35468
33,1567.25,1,216.845,9.4156,0.805087,0.66019,1.32038,1.32038
34,1557.93,1,194.997,10.0344,0.784702,0.643474,1.28695,1.28695
35,1542.64,1,187.766,9.52945,0.764833,0.627181,1.25436,1.25436
36,1532.26,1,141.682,10.2646,0.745467,0.6113,1.2226,1.2226
37,1516.08,1,126.909,10.6824,0.726591,0.595821,1.19164,1.19164
38,1505.35,1,125.012,11.6084,0.708193,0.580735,1.16147,1.16147
39,1499.58,1,115.411,10.2772,0.690262,0.56603,1.13206,1.13206
40,1485.48,1,106.737,10.1772,0.672784,0.551698,1.1034,1.1034
41,1474.42,1,112.616,10.2772,0.655749,0.537729,1.07546,1.07546
42,1464.12,1,108.567,10.7017,0.639145,0.524113,1.04823,1.04823
43,1454.53,1,113.531,11.4459,0.622961,0.510842,1.02168,1.02168
44,1440.5,1,99.1642,11.284,0.607187,0.497908,0.995815,0.995815
45,1423.71,1,98.2069,11.0405,0.591813,0.4853,0.970601,0.970601
46,1425.93,1,91.8115,10.3192,0.576828,0.473012,0.946024,0.946024
47,1417.8,1,95.2087,10.0891,0.562222,0.461035,0.922071,0.922071
48,1399.7,1,83.6381,10.4023,0.547987,0.449362,0.898723,0.898723
49,1387.69,1,86.4397,10.4159,0.534111,0.437984,0.875967,0.875967
50,1382.79,1,86.274,10.5153,0.520587,0.426894,0.853787,0.853787
51,1360.58,1,80.0109,10.4757,0.507406,0.416084,0.832169,0.832169
52,1347.38,1,73.6656,10.2985,0.494558,0.405549,0.811098,0.811098
53,1338.76,1,70.597,10.3131,0.482035,0.39528,0.79056,0.79056
54,1322.71,1,66.4615,10.0278,0.46983,0.385271,0.770543,0.770543
55,1317.48,1,69.0629,10.2526,0.457934,0.375516,0.751032,0.751032
56,1306.87,1,69.3897,10.5724,0.446339,0.366008,0.732016,0.732016
57,1302.97,1,76.3913,10.6877,0.435037,0.35674,0.713481,0.713481
58,1290.92,1,78.1659,10.7425,0.424022,0.347707,0.695415,0.695415
59,1285.78,1,80.3953,10.9882,0.413285,0.338903,0.677807,0.677807
60,1274.29,1,83.2737,11.106,0.402821,0.330322,0.660644,0.660644
61,1258.79,1,81.1373,10.9669,0.392621,0.321958,0.643916,0.643916
62,1258.92,1,79.8948,10.6962,0.384635,0.313806,0.627612,0.627612
63,1240.46,1,73.9104,10.6515,0.374896,0.30586,0.61172,0.61172
64,1229.27,1,72.8755,10.6033,0.365403,0.298116,0.596231,0.596231
65,1226.5,1,74.3566,10.8673,0.356151,0.290567,0.581134,0.581134
66,1203.66,1,69.05,10.6902,0.347133,0.28321,0.56642,0.56642
67,1198.42,1,71.5306,10.5039,0.338344,0.276039,0.552078,0.552078
68,1189.13,1,67.6753,10.3854,0.329777,0.269049,0.538099,0.538099
69,1185.92,1,64.3992,10.4777,0.321426,0.262237,0.524474,0.524474
70,1172.05,1,64.1076,10.3184,0.313288,0.255597,0.511194,0.511194
71,1167.1,1,63.6255,10.4533,0.305355,0.249125,0.49825,0.49825
72,1156.51,1,67.1849,10.4539,0.297623,0.242817,0.485634,0.485634
73,1143.89,1,64.7937,10.4703,0.290087,0.236669,0.473338,0.473338
74,1133.29,1,64.471,10.5499,0.282742,0.230676,0.461352,0.461352
75,1126.57,1,66.4465,10.6595,0.275583,0.224835,0.449671,0.449671
76,1117.53,1,68.0479,10.6272,0.268605,0.219142,0.438285,0.438285
77,1116.07,1,66.1604,10.5309,0.261804,0.213594,0.427187,0.427187
78,1110.76,1,65.9401,10.741,0.255175,0.208185,0.416371,0.416371
79,1093.65,1,67.711,10.5065,0.248714,0.202914,0.405828,0.405828
80,1083.41,1,66.5441,10.7462,0.242416,0.197776,0.395552,0.395552
81,1083.09,1,67.0814,10.8838,0.236278,0.194783,0.385536,0.385536
82,1082.8,1,67.9289,10.496,0.230524,0.19217,0.375774,0.375774
83,1068.15,1,67.3495,10.6722,0.224687,0.191026,0.36626,0.36626
84,1057.61,1,69.0448,10.6361,0.218998,0.200143,0.356986,0.356986
85,1052.06,1,69.6461,10.7943,0.213452,0.204071,0.347947,0.347947
86,1058.84,1,66.2928,10.5441,0.208048,0.211402,0.339136,0.339136
87,1039.63,1,66.356,10.501,0.20278,0.20605,0.330549,0.330549
88,1033.82,1,64.5965,10.4649,0.197645,0.200832,0.32218,0.32218
89,1034.38,1,66.8619,10.7443,0.192641,0.195747,0.314022,0.314022
90,1019.99,1,66.3007,10.5871,0.187763,0.201514,0.306071,0.306071
91,1020.36,1,67.5199,10.5464,0.183009,0.196411,0.298321,0.298321
92,1011.7,1,65.9054,10.6773,0.178375,0.216176,0.290767,0.290767
