simulations,OFV
500,952.584
1000,953.652
1500,954.118
2000,954.665
2500,954.891
3000,954.378
3500,953.614
4000,953.492
4500,953.754
5000,953.671
5500,953.704
6000,953.621
6500,953.187
7000,953.326
7500,952.861
8000,952.977
8500,953.193
9000,952.89
9500,952.669
10000,952.402
10500,952.482
11000,952.389
11500,952.418
12000,952.222
12500,951.41
13000,950.961
13500,950.937
14000,951.025
14500,950.641
15000,950.537
15500,950.642
16000,950.723
16500,950.739
17000,950.9
17500,950.999
18000,950.953
18500,951.079
19000,951.075
19500,951.156
20000,951.087
20500,951.037
21000,950.976
21500,950.958
22000,951.004
22500,951.075
23000,950.797
23500,950.606
24000,950.643
24500,950.665
25000,950.714
25500,950.528
26000,950.58
26500,950.541
27000,950.56
27500,950.531
28000,950.41
28500,950.422
29000,950.479
29500,950.499
30000,950.56
