iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,omega_Cl,omega_Q,omega_V1,omega_V2
1,660.485,1,10.2275,11.1604,43.2233,60.344,3.3422,1.5,1.5,1.5,1.5
2,644.644,1,8.97083,19.2121,43.1772,84.8996,2.98935,1.34164,1.34164,1.34164,1.47978
3,633.365,1,9.1209,18.6119,42.5159,83.399,2.71755,1.2,1.3744,1.2,1.47879
4,620.578,1,8.9222,18.3333,45.8118,98.9408,2.62424,1.07331,1.43843,1.07331,1.40896
5,594.5,1,9.3208,14.6158,48.2373,102.317,2.46083,0.96,1.28657,0.96,1.26022
6,586.711,1,9.52369,13.339,47.2647,95.4066,2.47419,0.85865,1.19417,0.85865,1.20119
7,578.766,1,9.71016,14.7341,50.9081,93.1427,2.47218,0.768,1.18344,0.768,1.18119
8,562.537,1,9.66236,15.246,51.5175,89.6912,2.40558,0.68692,1.0585,0.68692,1.19334
9,568.415,1,9.5658,13.0837,54.0346,98.2046,2.516,0.6144,1.08188,0.6144,1.13251
10,565.173,1,9.88084,13.3401,53.727,87.6139,2.56405,0.549536,0.96766,0.549536,1.2342
11,555.77,1,10.0644,12.1454,55.3457,95.5015,2.48389,0.49152,0.944201,0.49152,1.21953
12,538.542,1,9.92167,11.5453,54.2794,96.2126,2.41313,0.439629,0.900557,0.439629,1.09078
13,536.852,1,9.97794,11.8981,54.1129,98.397,2.40736,0.393216,0.962601,0.393216,0.996053
14,524.381,1,10.2967,11.0787,54.7288,93.8713,2.37017,0.351703,0.998172,0.351703,0.890897
15,514.226,1,10.3129,11.9859,55.6121,94.6273,2.34159,0.314573,0.892792,0.314573,0.851743
16,510.763,1,10.3672,12.6443,56.2485,90.2791,2.39579,0.283864,0.843429,0.281362,0.825817
17,500.586,1,10.1885,11.0466,55.4036,92.9976,2.30287,0.278267,0.804215,0.251658,0.849174
18,497.526,1,10.5322,10.1545,54.5842,74.9062,2.23754,0.262181,0.754833,0.22509,1.10816
19,496.562,1,10.4017,10.6975,56.1016,65.9327,2.32166,0.266594,0.711117,0.201327,0.99117
20,494.567,1,10.4528,11.0789,57.2695,66.9569,2.31381,0.261646,0.695056,0.180072,0.92888
21,480.347,1,10.5895,13.2022,55.7745,62.7674,2.2705,0.234023,0.621677,0.171076,0.923768
22,466.936,1,10.5643,11.7062,56.018,73.0865,2.18712,0.25711,0.556045,0.153015,0.855934
23,463.587,1,10.6243,11.7365,54.8915,70.2507,2.19604,0.24798,0.497341,0.152096,0.780034
24,457.293,1,10.5916,11.9346,55.4359,74.0656,2.12533,0.247876,0.506292,0.147587,0.775147
25,456.877,1,10.5874,11.613,55.529,71.915,2.12434,0.245246,0.491117,0.149067,0.790368
26,454.049,1,10.5677,11.716,56.4596,80.8278,2.08918,0.247087,0.476893,0.1492,0.818098
27,463.059,1,10.7926,12.1942,55.8785,76.1854,2.20859,0.254921,0.494799,0.140558,0.764484
28,466.654,1,10.7754,11.6725,55.7281,68.1101,2.22084,0.269204,0.472677,0.134175,0.869036
29,464.967,1,10.5669,11.4605,55.1925,72.2876,2.23996,0.246516,0.470266,0.138254,0.821839
30,463.706,1,10.5877,11.4591,55.6556,75.4624,2.24487,0.251404,0.460241,0.135277,0.792475
31,463.241,1,10.5337,9.60978,56.5079,86.7988,2.24029,0.264191,0.447198,0.123534,0.847696
32,462.398,1,10.4091,9.98633,56.7745,73.6773,2.29109,0.243089,0.443647,0.112031,0.852026
33,470.728,1,10.6001,9.93771,55.8119,74.9741,2.35521,0.260108,0.401011,0.11708,0.939316
34,467.633,1,10.4974,10.2382,56.295,74.6477,2.32568,0.287103,0.443532,0.107544,0.84015
35,465.256,1,10.5986,10.8138,56.4482,78.1597,2.36427,0.284256,0.416386,0.0985147,0.788108
36,465.848,1,10.6711,11.6639,56.2522,67.5807,2.39657,0.268845,0.395636,0.105996,0.758531
37,466.837,1,10.6043,11.4572,56.287,72.1177,2.34906,0.258919,0.499097,0.109076,0.72103
38,462.873,1,10.5976,11.367,55.7989,61.9533,2.29604,0.251625,0.446406,0.107301,0.868376
39,452.495,1,10.5795,11.5113,55.3984,66.0386,2.2884,0.248929,0.399278,0.0959731,0.848967
40,458.339,1,10.3554,11.9537,55.6834,65.6156,2.28137,0.240333,0.426552,0.0944231,0.947168
41,466.33,1,10.4606,11.5088,55.5721,70.7772,2.3263,0.243357,0.479223,0.0953165,0.959869
42,455.229,1,10.718,11.256,56.0102,66.8747,2.32341,0.2624,0.42863,0.0852537,0.87345
43,448.944,1,10.7839,11.2091,55.4442,58.2884,2.29704,0.263525,0.402229,0.0762532,0.859473
44,450.631,1,10.6358,11.1206,55.7398,68.3828,2.3096,0.263183,0.370923,0.0693391,0.945353
45,451.087,1,10.4565,11.7534,55.0681,73.6223,2.39524,0.256007,0.34785,0.0620187,1.0287
46,445.25,1,10.3891,11.4599,55.0359,72.7904,2.38548,0.228979,0.311126,0.0599808,1.05297
47,439.963,1,10.6488,11.9345,54.6912,62.7009,2.29728,0.245164,0.285941,0.0589082,1.09818
48,440.895,1,10.5215,12.2665,54.7429,63.0853,2.28039,0.245333,0.312026,0.0553999,1.16294
49,440.038,1,10.5758,12.6826,54.9508,62.4803,2.32652,0.251579,0.288563,0.0504258,1.13898
50,440.126,1,10.5398,12.7413,55.0046,57.6901,2.35073,0.254266,0.290689,0.0506331,1.04101
51,439.219,1,10.5468,12.4659,55.6702,55.7654,2.36526,0.254115,0.26,0.052421,1.10121
52,430.316,1,10.6165,12.8024,55.8368,47.9794,2.30563,0.252277,0.246867,0.0468868,1.07696
53,435.848,1,10.625,13.1179,55.2443,47.7861,2.37462,0.254445,0.268405,0.0454007,1.00624
54,436.977,1,10.736,12.4422,55.1569,49.2851,2.43547,0.268635,0.258378,0.0446956,0.90001
55,423.705,1,10.6163,13.303,55.6338,57.7739,2.39998,0.245549,0.231101,0.0407967,0.827312
56,423.269,1,10.7633,13.1446,55.7337,50.6976,2.37428,0.24664,0.239058,0.044188,0.764895
57,414.333,1,10.7439,13.6772,55.708,54.8657,2.28271,0.246352,0.240681,0.0414933,0.770947
58,411.181,1,10.7145,12.8591,55.5146,48.0505,2.25557,0.2525,0.215272,0.0387246,0.907929
59,414.78,1,10.5588,12.811,55.4182,54.5944,2.26976,0.243463,0.227376,0.0394592,0.917376
60,407.365,1,10.6831,13.0169,55.6441,42.5246,2.24871,0.252922,0.203371,0.0366737,0.882045
61,406.792,1,10.7406,12.9093,55.4929,43.4401,2.26847,0.253455,0.215791,0.0332734,0.831064
62,403.221,1,10.8987,13.4848,55.1847,42.5224,2.27026,0.259925,0.210327,0.0299427,0.808899
