simulations,OFV
500,967.219
1000,967.733
1500,967.713
2000,966.979
2500,968.6
3000,969.211
3500,968.719
4000,968.709
4500,968.903
5000,969.184
5500,969.392
6000,968.947
6500,968.833
7000,968.446
7500,968.535
8000,968.82
8500,969.155
9000,969.081
9500,968.736
10000,968.314
10500,968.462
11000,968.526
11500,968.416
12000,967.969
12500,967.931
13000,967.87
13500,967.841
14000,967.78
14500,967.833
15000,967.818
15500,967.765
16000,967.795
16500,967.818
17000,967.908
17500,967.674
18000,967.767
18500,967.889
19000,967.834
19500,967.74
20000,967.783
20500,967.692
21000,967.728
21500,967.797
22000,967.784
22500,967.787
23000,967.82
23500,967.796
24000,967.9
24500,967.984
25000,968.127
25500,968.167
26000,968.222
26500,968.229
27000,968.165
27500,968.197
28000,968.338
28500,968.356
29000,968.414
29500,968.497
30000,968.559
