iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
53,1450.01,1,8.92102,4.95282,61.112,180.59,0.79056,0.79056,0,0.406582,1.88766,0.639256,0.950653
54,1453.83,1,9.06074,3.68246,56.4246,172.956,0.770543,0.770543,0,0.396287,1.84053,0.62307,1.0043
55,1423.72,1,9.19116,5.16376,61.3685,201.098,0.751032,0.751032,0,0.386252,1.79393,0.607294,1.00886
56,1415.6,1,8.60449,3.72887,60.0454,239.663,0.732016,0.732016,0,0.376472,1.7485,0.591917,0.983314
57,1406.79,1,9.30538,4.3726,65.5841,248.33,0.713481,0.713481,0,0.36694,1.70423,0.576929,0.958415
58,1395.43,1,8.81486,3.30861,62.9591,255.209,0.695415,0.695415,0,0.357649,1.66108,0.562321,1.16107
59,1380.97,1,8.57368,3.0344,60.7445,293.047,0.677807,0.677807,0,0.348593,1.61902,0.548082,1.13167
60,1376.5,1,8.82841,3.27948,57.8142,234.534,0.660644,0.660644,0,0.339766,1.57802,0.534205,1.10302
61,1361.39,1,8.98132,3.84347,62.2601,274.644,0.643916,0.643916,0,0.331163,1.53807,0.520678,1.10011
62,1348.11,1,9.10804,4.46196,58.2221,256.171,0.627612,0.627612,0,0.322778,1.49912,0.507494,1.07225
63,1337.09,1,8.71248,4.72227,57.5946,257.994,0.61172,0.61172,0,0.314605,1.46116,0.494644,1.0451
64,1334.74,1,8.9031,4.44754,58.5906,271.689,0.596231,0.596231,0,0.306639,1.42417,0.48212,1.19439
65,1314.02,1,8.65114,4.81772,58.9424,329.359,0.581134,0.581134,0,0.298875,1.38811,0.469912,1.19194
66,1306.4,1,8.72434,5.83163,55.3645,273.343,0.56642,0.56642,0,0.291307,1.35296,0.458014,1.18916
67,1283.92,1,8.34968,5.76373,58.3666,302.607,0.552078,0.552078,0,0.283931,1.3187,0.446417,1.15905
68,1282.81,1,8.88929,5.67731,60.8517,295.117,0.538099,0.538099,0,0.276742,1.28531,0.435113,1.1297
69,1275.18,1,8.59651,5.56819,57.9976,284.689,0.524474,0.524474,0,0.269734,1.31107,0.424096,1.1011
70,1260.69,1,8.37335,5.93215,60.6059,347.05,0.511194,0.511194,0,0.267283,1.27787,0.413357,1.09116
