Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
2.52925,0.185191,13.6385,0.0433261,2.62268,0.147743,All
2.90531,0.0205768,16.1389,0.0278525,5.45095,0.123119,All
3.28137,0.164614,18.6393,0.0649891,8.27922,0.0492477,All
3.65743,0.0411535,21.1397,0.0990311,11.1075,0.0218879,All
4.03349,0,23.6401,0.105221,13.9358,0.00547197,All
4.40955,0.144037,26.1406,0.0711786,16.764,0.0109439,All
4.78561,0.411535,28.641,0.00928416,19.5923,0.0164159,All
5.16167,0.390958,31.1414,0.00309472,22.4206,0.00273598,All
5.53773,0.164614,33.6418,0.00618944,25.2488,0,All
5.91379,0.576149,36.1422,0,28.0771,0,All
6.28985,0.514419,38.6427,0,30.9054,0,All
6.66591,0.267498,41.1431,0.00309472,33.7336,0.00547197,All
