Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,split
1.56437,2.18686e-07,9.26134e-09,8.38433,3.85495e-05,1.64783e-05,0.96611,0.0377876,0.00950464,All
1.69571,3.07401e-06,1.56772e-07,8.83847,9.50168e-05,4.51483e-05,1.31138,0.0705889,0.0282075,All
1.82705,2.69922e-05,1.65081e-06,9.29262,0.000212524,0.000111939,1.65665,0.100046,0.0578419,All
1.95838,0.000161198,1.17901e-05,9.74676,0.000436436,0.000254192,2.00192,0.122245,0.0964452,All
2.08972,0.000699657,6.11038e-05,10.2009,0.000831046,0.000534091,2.34719,0.136677,0.141358,All
2.22106,0.00232637,0.000242482,10.6551,0.00147969,0.0010474,2.69246,0.144341,0.190045,All
2.35239,0.00618227,0.000769431,11.1092,0.00248136,0.00193148,3.03773,0.146678,0.240417,All
2.48373,0.0135927,0.00202265,11.5633,0.00394346,0.0033709,3.38299,0.145093,0.290882,All
2.61507,0.0254432,0.00453594,12.0175,0.00597138,0.00559901,3.72826,0.140775,0.340296,All
2.7464,0.0415307,0.00889344,12.4716,0.00865605,0.00889419,4.07353,0.134661,0.387886,All
2.87774,0.0603468,0.0155658,12.9258,0.0120615,0.0135705,4.4188,0.127459,0.43316,All
3.00908,0.0795052,0.0247599,13.3799,0.016214,0.0199628,4.76407,0.119689,0.475837,All
3.14042,0.0966227,0.036359,13.8341,0.0210949,0.028408,5.10934,0.111718,0.515787,All
3.27175,0.11021,0.0499835,14.2882,0.0266376,0.0392235,5.45461,0.103803,0.552989,All
3.40309,0.120177,0.0651478,14.7423,0.0327295,0.0526859,5.79988,0.0961157,0.587494,All
3.53443,0.127782,0.0814463,15.1965,0.0392188,0.0690116,6.14515,0.0887649,0.6194,All
3.66576,0.135129,0.0987014,15.6506,0.0459236,0.0883406,6.49042,0.0818162,0.648836,All
3.7971,0.144449,0.117028,16.1048,0.0526447,0.110726,6.83569,0.0753036,0.675947,All
3.92844,0.157432,0.136806,16.5589,0.0591784,0.136129,7.18096,0.0692387,0.700887,All
4.05977,0.174811,0.158576,17.0131,0.0653288,0.164419,7.52623,0.0636184,0.72381,All
4.19111,0.196237,0.182903,17.4672,0.0709192,0.195381,7.87149,0.0584296,0.744868,All
4.32245,0.220449,0.210245,17.9214,0.0757999,0.228726,8.21676,0.0536526,0.764206,All
4.45378,0.245608,0.240851,18.3755,0.0798551,0.264104,8.56203,0.0492644,0.781962,All
4.58512,0.269693,0.274713,18.8296,0.0830052,0.301121,8.9073,0.0452398,0.798267,All
4.71646,0.290854,0.311564,19.2838,0.0852078,0.339353,9.25257,0.041553,0.813241,All
4.8478,0.307663,0.350921,19.7379,0.0864555,0.378369,9.59784,0.0381785,0.826996,All
4.97913,0.319241,0.392149,20.1921,0.0867729,0.417739,9.94311,0.0350915,0.839637,All
5.11047,0.325262,0.434533,20.6462,0.0862112,0.457051,10.2884,0.0322686,0.851259,All
5.24181,0.32588,0.47735,21.1004,0.0848434,0.495921,10.6336,0.0296875,0.861948,All
5.37314,0.321609,0.519919,21.5545,0.0827582,0.534004,10.9789,0.0273275,0.871785,All
5.50448,0.313175,0.561645,22.0087,0.0800547,0.570996,11.3242,0.0251694,0.880842,All
5.63582,0.301401,0.602036,22.4628,0.0768369,0.606639,11.6695,0.0231955,0.889186,All
5.76715,0.2871,0.640705,22.9169,0.0732099,0.640724,12.0147,0.0213894,0.896879,All
5.89849,0.271012,0.677371,23.3711,0.0692756,0.673089,12.36,0.0197364,0.903974,All
6.02983,0.253766,0.711842,23.8252,0.06513,0.703615,12.7053,0.0182227,0.910523,All
6.16117,0.235877,0.744001,24.2794,0.0608611,0.732227,13.0505,0.016836,0.916572,All
6.2925,0.217748,0.773791,24.7335,0.0565473,0.758887,13.3958,0.0155649,0.922163,All
6.42384,0.19969,0.801201,25.1877,0.0522567,0.783592,13.7411,0.0143992,0.927332,All
6.55518,0.181943,0.826258,25.6418,0.0480471,0.806364,14.0863,0.0133295,0.932117,All
6.68651,0.164695,0.849015,26.096,0.0439655,0.827252,14.4316,0.0123473,0.936547,All
6.81785,0.148096,0.869547,26.5501,0.0400494,0.846322,14.7769,0.0114449,0.940652,All
6.94919,0.132268,0.887949,27.0042,0.036327,0.863658,15.1221,0.0106153,0.944459,All
7.08052,0.117313,0.904329,27.4584,0.0328183,0.87935,15.4674,0.00985219,0.94799,All
7.21186,0.103311,0.918806,27.9125,0.0295361,0.8935,15.8127,0.00914975,0.951269,All
7.3432,0.0903239,0.93151,28.3667,0.0264869,0.906213,16.158,0.00850275,0.954315,All
7.47453,0.0783928,0.942578,28.8208,0.0236722,0.917594,16.5032,0.00790643,0.957146,All
7.60587,0.0675379,0.952149,29.275,0.0210888,0.927749,16.8485,0.00735647,0.95978,All
7.73721,0.0577585,0.960366,29.7291,0.0187305,0.936782,17.1938,0.00684895,0.962231,All
7.86855,0.0490341,0.967367,30.1833,0.0165883,0.944794,17.539,0.00638028,0.964514,All
7.99988,0.0413263,0.97329,30.6374,0.0146514,0.951881,17.8843,0.00594722,0.966641,All
8.13122,0.034582,0.978265,31.0915,0.0129074,0.958131,18.2296,0.00554681,0.968624,All
8.26256,0.028736,0.982413,31.5457,0.0113434,0.963631,18.5748,0.00517635,0.970475,All
8.39389,0.023715,0.985849,31.9998,0.00994611,0.96846,18.9201,0.0048334,0.972202,All
8.52523,0.0194409,0.988675,32.454,0.00870195,0.972689,19.2654,0.00451571,0.973815,All
8.65657,0.015834,0.990985,32.9081,0.00759776,0.976385,19.6106,0.00422124,0.975323,All
8.7879,0.0128153,0.99286,33.3623,0.00662076,0.979609,19.9559,0.00394813,0.976733,All
8.91924,0.0103091,0.994373,33.8164,0.00575875,0.982416,20.3012,0.00369468,0.978051,All
9.05058,0.00824434,0.995587,34.2706,0.00500023,0.984855,20.6465,0.00345934,0.979286,All
9.18192,0.0065558,0.996556,34.7247,0.00433444,0.986971,20.9917,0.00324068,0.980442,All
9.31325,0.00518467,0.997323,35.1788,0.00375142,0.988804,21.337,0.00303741,0.981526,All
9.44459,0.00407879,0.997929,35.633,0.00324202,0.99039,21.6823,0.00284833,0.982541,All
9.57593,0.00319261,0.998404,36.0871,0.00279786,0.991759,22.0275,0.00267236,0.983494,All
9.70726,0.00248686,0.998775,36.5413,0.00241135,0.99294,22.3728,0.00250849,0.984388,All
9.8386,0.00192811,0.999064,36.9954,0.00207563,0.993957,22.7181,0.00235581,0.985227,All
