Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,split
1.56437,0,8.38433,0,0.96611,0,All
2.34122,0.00714286,12.3883,0.00714286,1.20855,0.00714286,All
2.40144,0.0142857,12.7861,0.0142857,1.29711,0.0142857,All
2.44331,0.0214286,12.9461,0.0214286,1.67136,0.0214286,All
2.4644,0.0285714,13.1441,0.0285714,1.8017,0.0285714,All
2.47856,0.0357143,13.2238,0.0357143,1.81505,0.0357143,All
2.50026,0.0428571,13.5192,0.0428571,1.86981,0.0428571,All
2.52945,0.05,13.6187,0.05,1.87538,0.05,All
2.61311,0.0571429,13.7069,0.0571429,1.93595,0.0571429,All
2.63578,0.0642857,13.8288,0.0642857,1.95271,0.0642857,All
2.7202,0.0714286,13.9598,0.0714286,2.00699,0.0714286,All
3.1351,0.0785714,14.079,0.0785714,2.03972,0.0785714,All
3.20856,0.0857143,14.2012,0.0857143,2.05378,0.0857143,All
3.34337,0.0928571,14.2861,0.0928571,2.06755,0.0928571,All
3.37793,0.1,14.3627,0.1,2.06865,0.1,All
3.38796,0.107143,14.9952,0.107143,2.06961,0.107143,All
3.39067,0.114286,15.0173,0.114286,2.07508,0.114286,All
3.42625,0.121429,15.2177,0.121429,2.13248,0.121429,All
3.43058,0.128571,15.5678,0.128571,2.13994,0.128571,All
3.51888,0.135714,16.3775,0.135714,2.15936,0.135714,All
3.56436,0.142857,16.6117,0.142857,2.16525,0.142857,All
4.35795,0.15,16.6746,0.15,2.17199,0.15,All
4.3791,0.157143,16.8515,0.157143,2.23943,0.157143,All
4.44277,0.164286,17.2826,0.164286,2.30713,0.164286,All
4.49317,0.171429,17.6012,0.171429,2.33632,0.171429,All
4.52039,0.178571,17.6983,0.178571,2.34456,0.178571,All
4.52047,0.185714,17.8564,0.185714,2.35533,0.185714,All
4.52137,0.192857,17.8664,0.192857,2.37409,0.192857,All
4.60754,0.2,18.0783,0.2,2.37915,0.2,All
4.63234,0.207143,18.1263,0.207143,2.38675,0.207143,All
4.73276,0.214286,18.1503,0.214286,2.46457,0.214286,All
4.76866,0.221429,18.1988,0.221429,2.49878,0.221429,All
4.7695,0.228571,18.2346,0.228571,2.52845,0.228571,All
4.78715,0.235714,18.3454,0.235714,2.6425,0.235714,All
4.78722,0.242857,18.3531,0.242857,2.66628,0.242857,All
4.80569,0.25,18.7552,0.25,2.76428,0.25,All
4.81381,0.257143,18.771,0.257143,2.79123,0.257143,All
4.81635,0.264286,19.0024,0.264286,2.89397,0.264286,All
