iteration,E_fi,sd_fi,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,0.977185,0.0837159,10.658,0.0463042,44.7884,0.0429876,18.515,0.430784,52.6645,0.17088
2,0.977449,0.0740112,10.6666,0.039612,44.7103,0.0375921,17.7603,0.39345,52.8886,0.149553
3,0.97275,0.0716125,10.6492,0.0384247,44.7518,0.0358474,17.5669,0.371355,52.5281,0.146842
4,0.970508,0.0709553,10.6444,0.0379281,44.7834,0.035535,17.8071,0.366959,52.3656,0.141947
5,0.971753,0.0696609,10.6408,0.0372676,44.8538,0.0353533,18.2136,0.360233,52.2864,0.140922
6,0.971556,0.0684025,10.6472,0.0378593,44.8586,0.0351869,18.4942,0.355515,52.3257,0.14053
7,0.971464,0.068109,10.6498,0.0377569,44.8676,0.0351396,18.5831,0.358724,52.3113,0.137559
8,0.970856,0.0672487,10.6453,0.0371273,44.9053,0.0352141,18.3288,0.360568,52.3917,0.13511
9,0.969733,0.0667564,10.6317,0.0368841,44.8849,0.0358102,18.1675,0.359143,52.397,0.132548
10,0.969087,0.0671548,10.6232,0.037455,44.8618,0.0363739,18.1158,0.360231,52.3086,0.130506
11,0.969659,0.0676266,10.6168,0.0368424,44.8514,0.0363016,18.1092,0.35957,52.1739,0.12802
12,0.969512,0.0687818,10.6159,0.0370249,44.8406,0.0363471,17.9796,0.356048,52.2961,0.127114
13,0.969824,0.0681653,10.6161,0.0369299,44.8241,0.0366294,17.9539,0.352282,52.2669,0.127081
14,0.970792,0.0682178,10.6182,0.0368606,44.8167,0.0365501,17.9445,0.350421,52.2715,0.127217
15,0.971977,0.068447,10.6174,0.0367033,44.8189,0.0359527,17.885,0.352758,52.3651,0.128621
16,0.97198,0.0690215,10.614,0.0366025,44.8256,0.0356458,17.7774,0.348801,52.3565,0.129698
17,0.97287,0.0690695,10.6109,0.0369522,44.8172,0.0356255,17.7446,0.352485,52.3134,0.129515
18,0.973271,0.0688717,10.6114,0.0369625,44.801,0.035675,17.6935,0.353366,52.2539,0.129745
19,0.974028,0.069217,10.6116,0.037202,44.7981,0.035635,17.6113,0.353071,52.1766,0.129906
20,0.974329,0.0690468,10.61,0.037327,44.7941,0.0355947,17.5623,0.353244,52.1087,0.129313
21,0.974499,0.0683662,10.6085,0.0374475,44.7936,0.0355471,17.5661,0.356042,52.0374,0.129814
22,0.974417,0.0677996,10.6082,0.0373964,44.7873,0.0354699,17.6799,0.359968,52.0613,0.130395
23,0.974165,0.0675591,10.6096,0.0373555,44.773,0.0354923,17.7325,0.361543,52.1031,0.131022
24,0.973827,0.0676499,10.6099,0.0376477,44.7662,0.0354551,17.7037,0.362761,52.1648,0.131235
25,0.974121,0.0678396,10.6108,0.037659,44.7581,0.035438,17.7401,0.365176,52.2178,0.132004
26,0.974221,0.06782,10.6123,0.0375451,44.7571,0.0353335,17.77,0.3658,52.2842,0.13222
27,0.974065,0.0676223,10.6098,0.0374793,44.7526,0.0353403,17.7626,0.364098,52.3103,0.132086
28,0.973759,0.0675809,10.6105,0.0374647,44.7589,0.03512,17.7529,0.363894,52.3159,0.132238
29,0.973925,0.0680682,10.6114,0.0376384,44.7647,0.0350086,17.7337,0.366411,52.2705,0.132162
30,0.973858,0.0684793,10.6147,0.0378457,44.7731,0.0349955,17.7235,0.368313,52.2253,0.131896
31,0.97374,0.0685334,10.6132,0.0378786,44.7885,0.0348509,17.6714,0.368094,52.178,0.131462
32,0.974174,0.0685674,10.6146,0.0379996,44.7974,0.0347696,17.6151,0.368435,52.176,0.131224
33,0.97429,0.0684195,10.6128,0.0380498,44.8011,0.0346584,17.621,0.367587,52.1765,0.131157
34,0.974226,0.0681504,10.61,0.0380176,44.8034,0.0345949,17.649,0.367553,52.1404,0.131534
35,0.97452,0.0683095,10.6103,0.0379388,44.8031,0.0344179,17.6997,0.367171,52.1484,0.132169
36,0.974665,0.0682915,10.613,0.0380418,44.8148,0.0344824,17.7117,0.366821,52.1486,0.13257
37,0.974954,0.0680801,10.6142,0.0381682,44.8123,0.0344167,17.6935,0.367931,52.1365,0.132532
38,0.974977,0.0679197,10.6148,0.0381043,44.8125,0.0344162,17.6647,0.366659,52.1377,0.133005
39,0.974886,0.0679578,10.6158,0.0380677,44.822,0.0343839,17.6429,0.365997,52.1257,0.133739
40,0.974889,0.0679399,10.6168,0.0381714,44.8299,0.0344281,17.6178,0.36884,52.0962,0.133799
41,0.974889,0.0677632,10.6168,0.0381249,44.8288,0.0343838,17.5832,0.368014,52.0805,0.133836
42,0.974873,0.0678617,10.6166,0.0381185,44.8309,0.034444,17.5655,0.36711,52.1022,0.133574
43,0.974958,0.0679785,10.6165,0.0381011,44.8364,0.034401,17.5863,0.367794,52.1255,0.133648
44,0.974693,0.0681427,10.6153,0.0382291,44.8457,0.0344196,17.5776,0.36686,52.1321,0.133288
45,0.974862,0.0682515,10.6149,0.0382871,44.8509,0.0344681,17.5617,0.367051,52.1653,0.133282
46,0.974797,0.0683584,10.6146,0.038266,44.8536,0.0344772,17.5586,0.367751,52.154,0.133225
47,0.974691,0.0686017,10.6129,0.0383409,44.8577,0.0344466,17.5522,0.366738,52.1677,0.133303
48,0.974474,0.0684721,10.6138,0.0383972,44.8583,0.0344285,17.5695,0.36627,52.201,0.133437
49,0.97441,0.0685487,10.615,0.0383342,44.8595,0.0343667,17.5921,0.366319,52.2215,0.133276
50,0.974291,0.0683915,10.6163,0.0385236,44.8585,0.034367,17.5706,0.365707,52.2171,0.133089
51,0.974528,0.0684238,10.6196,0.0385632,44.863,0.0343582,17.5994,0.366627,52.2132,0.132734
52,0.974767,0.0685632,10.6216,0.0385656,44.8676,0.0342977,17.6307,0.367568,52.2177,0.132561
53,0.975162,0.068669,10.6235,0.0385718,44.8658,0.0342959,17.6292,0.36677,52.2186,0.132587
54,0.975301,0.0688027,10.6248,0.0386094,44.8681,0.0343442,17.6102,0.36516,52.1876,0.132644
55,0.975262,0.069035,10.6242,0.0386102,44.8669,0.0343688,17.652,0.363799,52.1937,0.132803
56,0.97521,0.0690666,10.6236,0.0386344,44.8668,0.0343269,17.6525,0.363016,52.1997,0.132611
57,0.975128,0.068818,10.623,0.0385339,44.8629,0.0343339,17.6644,0.362633,52.2084,0.132619
58,0.975051,0.068722,10.6221,0.0386448,44.8593,0.0343213,17.6539,0.362345,52.1977,0.132531
59,0.974937,0.0686312,10.621,0.0387332,44.8617,0.0343166,17.6208,0.362129,52.1728,0.132634
60,0.974912,0.0687219,10.6198,0.0389121,44.8582,0.0343797,17.6502,0.362455,52.1666,0.132708
61,0.975011,0.0686951,10.6212,0.0389516,44.8562,0.0344013,17.6713,0.362591,52.1449,0.132682
62,0.975157,0.0687051,10.6211,0.0389459,44.8571,0.0344292,17.6656,0.361737,52.1537,0.132438
63,0.975106,0.0686375,10.6205,0.0389763,44.8513,0.0345723,17.6727,0.361321,52.1472,0.132189
64,0.974989,0.0686421,10.6204,0.0388683,44.8511,0.0345565,17.6671,0.360648,52.1535,0.132382
65,0.97505,0.0685029,10.6208,0.0388143,44.8517,0.0345878,17.6552,0.360267,52.1797,0.132654
66,0.975227,0.068375,10.6209,0.0388085,44.8504,0.0346171,17.6516,0.359927,52.1793,0.132657
67,0.975557,0.0684093,10.6217,0.0387806,44.8546,0.0346578,17.6441,0.360553,52.1928,0.133027
68,0.97569,0.0683388,10.6225,0.0387928,44.8544,0.0346028,17.6325,0.36063,52.1831,0.133223
69,0.975975,0.068478,10.6234,0.0387543,44.854,0.0346562,17.6058,0.359593,52.187,0.133512
