iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2,E_bias,sd_bias
1,5.34505,0.0348802,22.7784,0.117251,6.47003,0.384118,27.323,0.236132,-0.821196,0.794416
2,5.34414,0.0293918,22.7907,0.104155,6.45407,0.328764,27.1282,0.204792,-0.790542,0.699399
3,5.34447,0.0299329,22.7958,0.100779,6.41362,0.299987,26.8772,0.194338,-0.810283,0.666216
4,5.33671,0.0285599,22.7529,0.0957678,6.42836,0.282571,26.908,0.187474,-0.804631,0.644223
5,5.33604,0.0284062,22.7693,0.0931159,6.43309,0.271459,27.0593,0.192833,-0.793118,0.646758
6,5.33578,0.0286769,22.7845,0.0925271,6.45537,0.264366,27.0503,0.190382,-0.811729,0.635638
7,5.33564,0.0281085,22.7555,0.0924569,6.43704,0.267381,26.936,0.186602,-0.823698,0.646123
8,5.33853,0.0277696,22.7551,0.092752,6.4537,0.26904,26.8648,0.189756,-0.818148,0.643769
9,5.34036,0.0275208,22.7821,0.094092,6.44388,0.278428,26.8027,0.190741,-0.808597,0.645685
10,5.34356,0.0280255,22.8117,0.0945127,6.42806,0.284085,26.7995,0.191456,-0.808329,0.643221
11,5.34501,0.0277744,22.8461,0.0939019,6.42797,0.282076,26.8646,0.191144,-0.800104,0.63952
12,5.34606,0.0280391,22.8859,0.094956,6.40706,0.284162,26.9231,0.189989,-0.795954,0.633434
13,5.3464,0.0283638,22.9061,0.0954671,6.38654,0.286717,26.9662,0.189506,-0.795105,0.623821
14,5.3462,0.0283531,22.916,0.0955633,6.36994,0.287775,27.023,0.188161,-0.79583,0.620835
15,5.3463,0.0281174,22.905,0.0959695,6.3611,0.286542,27.0318,0.18784,-0.79711,0.625931
16,5.34548,0.0280171,22.912,0.0969438,6.36372,0.286948,27.0391,0.188487,-0.804726,0.625882
17,5.34324,0.0283028,22.9002,0.0982846,6.36781,0.288892,27.063,0.190908,-0.818473,0.628047
18,5.34141,0.0284338,22.8904,0.0988771,6.36918,0.290669,27.046,0.191567,-0.825437,0.62832
19,5.33944,0.0285504,22.8769,0.0996119,6.36894,0.292581,26.9953,0.190866,-0.83028,0.628737
20,5.33927,0.0286311,22.8612,0.0999316,6.3626,0.293145,26.9991,0.191853,-0.829538,0.627991
21,5.33824,0.0285153,22.8603,0.100745,6.35874,0.291704,27.0193,0.192958,-0.822252,0.628897
22,5.33713,0.0285493,22.8655,0.100687,6.34978,0.29114,27.0509,0.193614,-0.821931,0.62708
23,5.33708,0.0284215,22.8629,0.100807,6.34512,0.29022,27.0749,0.193439,-0.814719,0.626226
24,5.33627,0.0283991,22.8733,0.100573,6.34234,0.290151,27.1317,0.193362,-0.812516,0.624896
25,5.3364,0.0282005,22.895,0.100661,6.33784,0.289786,27.181,0.193752,-0.811843,0.626587
26,5.3366,0.0280726,22.9102,0.100707,6.32375,0.288414,27.1957,0.193975,-0.812518,0.625392
27,5.33673,0.0279168,22.9106,0.100665,6.30801,0.288123,27.1955,0.194049,-0.808286,0.622616
28,5.33663,0.0279172,22.9064,0.101125,6.30801,0.289175,27.1823,0.194889,-0.809735,0.621891
29,5.33635,0.0280451,22.9014,0.101431,6.31058,0.289842,27.164,0.19591,-0.808578,0.623361
30,5.33612,0.0279219,22.9042,0.101472,6.31509,0.289391,27.1538,0.196317,-0.809578,0.623291
31,5.33689,0.0279222,22.8952,0.101413,6.32719,0.288631,27.114,0.195645,-0.808881,0.621047
32,5.33831,0.0281764,22.8827,0.102024,6.3396,0.289426,27.07,0.195276,-0.802809,0.621076
33,5.33841,0.0283191,22.8613,0.102344,6.34959,0.29066,27.0467,0.19554,-0.799122,0.622941
34,5.33774,0.0283492,22.8413,0.102697,6.35207,0.290443,27.0246,0.196606,-0.800119,0.620634
35,5.33791,0.0285259,22.8425,0.102453,6.35061,0.290122,27.0239,0.197165,-0.802109,0.622242
36,5.33825,0.0287077,22.8435,0.102359,6.3545,0.289189,27.0251,0.197666,-0.804273,0.621057
37,5.33927,0.0287533,22.8467,0.102056,6.36266,0.289374,27.0061,0.198217,-0.804509,0.621677
38,5.34006,0.0287315,22.8453,0.101725,6.36567,0.2888,26.9962,0.198006,-0.805247,0.623359
39,5.3405,0.028633,22.843,0.101564,6.36813,0.288984,26.9641,0.198273,-0.806299,0.628379
40,5.34074,0.0286294,22.8384,0.101464,6.36543,0.288904,26.944,0.199316,-0.80533,0.628933
41,5.34133,0.0286038,22.8362,0.101424,6.36508,0.288402,26.9139,0.199627,-0.805808,0.62913
42,5.34149,0.0285553,22.8351,0.101214,6.35577,0.28824,26.906,0.200073,-0.806548,0.629144
43,5.34181,0.0285933,22.8381,0.100951,6.35578,0.287507,26.9242,0.200292,-0.804636,0.630686
44,5.34137,0.0286285,22.8262,0.100986,6.36186,0.286539,26.9033,0.200277,-0.805983,0.631101
45,5.34111,0.0286398,22.8143,0.100999,6.3696,0.286514,26.8979,0.200549,-0.803857,0.630354
46,5.34112,0.0287014,22.8065,0.100957,6.37445,0.286535,26.9008,0.201212,-0.801047,0.628479
47,5.34129,0.0288498,22.7951,0.101009,6.39203,0.287282,26.9091,0.201456,-0.799479,0.627678
48,5.34168,0.0288326,22.79,0.101094,6.4025,0.287906,26.9022,0.200976,-0.798059,0.62871
49,5.34191,0.0287534,22.7828,0.101188,6.40435,0.28837,26.876,0.200754,-0.795573,0.626735
50,5.34202,0.0286871,22.7777,0.101189,6.40846,0.288865,26.8682,0.200519,-0.794897,0.624868
51,5.34201,0.0287541,22.7812,0.101059,6.41642,0.289287,26.8771,0.199661,-0.794706,0.623548
52,5.34206,0.0287815,22.785,0.100939,6.42253,0.289494,26.8965,0.199559,-0.795045,0.623158
53,5.34198,0.0287281,22.788,0.100894,6.42234,0.289715,26.9065,0.199555,-0.796015,0.622439
54,5.34184,0.0287224,22.798,0.100807,6.42024,0.289643,26.9077,0.199373,-0.797328,0.620981
55,5.34182,0.0287128,22.802,0.100729,6.41926,0.289795,26.9257,0.198968,-0.795735,0.622988
56,5.34216,0.0286884,22.8063,0.100655,6.41623,0.289417,26.9513,0.19851,-0.792359,0.62303
57,5.34253,0.0286624,22.8066,0.100621,6.41309,0.289388,26.9588,0.198297,-0.785981,0.62692
58,5.34257,0.0286435,22.81,0.100687,6.41043,0.289654,26.9507,0.198418,-0.783205,0.628412
59,5.34253,0.028577,22.809,0.100739,6.41165,0.290105,26.9433,0.198366,-0.782094,0.629137
60,5.34238,0.0285786,22.8069,0.100953,6.40852,0.290462,26.9331,0.198039,-0.779245,0.62933
61,5.34245,0.0285606,22.8035,0.100925,6.40556,0.290722,26.93,0.197891,-0.777939,0.628519
62,5.34266,0.0286168,22.7998,0.100983,6.40541,0.291093,26.9133,0.197747,-0.776665,0.628324
63,5.34274,0.0285981,22.7942,0.101312,6.40583,0.292495,26.8983,0.197699,-0.77688,0.627635
64,5.34276,0.0285809,22.7916,0.101443,6.40698,0.293715,26.8856,0.197962,-0.774601,0.627008
65,5.34288,0.0285759,22.7895,0.101466,6.40943,0.294773,26.8789,0.197979,-0.77502,0.628245
66,5.34334,0.0285834,22.7942,0.1016,6.41101,0.294772,26.8714,0.197644,-0.775708,0.627871
67,5.34346,0.0285464,22.7925,0.101743,6.41122,0.294946,26.868,0.198432,-0.77686,0.627769
68,5.34363,0.0285146,22.7937,0.101881,6.41015,0.295172,26.8605,0.198542,-0.776406,0.628901
69,5.34404,0.0285,22.7906,0.101757,6.40734,0.295009,26.8432,0.198378,-0.773867,0.629399
70,5.34409,0.0285398,22.7915,0.101736,6.40676,0.295192,26.8238,0.198335,-0.772241,0.63045
71,5.34442,0.0285774,22.7932,0.101747,6.40899,0.295583,26.8099,0.198265,-0.772456,0.633142
72,5.34476,0.0285941,22.7965,0.101575,6.40855,0.295608,26.8051,0.198334,-0.770959,0.635602
73,5.34519,0.0286362,22.7982,0.101499,6.40859,0.294785,26.7997,0.198604,-0.769664,0.635635
74,5.34551,0.0286724,22.7994,0.101363,6.40913,0.294033,26.7824,0.198966,-0.769766,0.637538
75,5.34559,0.0286947,22.7995,0.10133,6.40577,0.293896,26.7884,0.199165,-0.76918,0.636955
76,5.34587,0.0286777,22.8041,0.101319,6.40351,0.293501,26.8033,0.199313,-0.769738,0.636515
77,5.34597,0.0286349,22.8057,0.10134,6.40765,0.293332,26.8271,0.19958,-0.770116,0.63491
78,5.34619,0.0286357,22.805,0.10126,6.41095,0.293185,26.8442,0.199567,-0.770135,0.634608
79,5.34601,0.0286395,22.8104,0.10118,6.40797,0.292647,26.8639,0.199848,-0.771172,0.634388
80,5.34525,0.0286834,22.8151,0.101078,6.40264,0.29238,26.8824,0.200066,-0.772704,0.634402
81,5.34491,0.0287005,22.8218,0.10091,6.39804,0.291733,26.896,0.199923,-0.775236,0.633656
82,5.34463,0.0287286,22.8286,0.100833,6.39321,0.291124,26.9144,0.199975,-0.77624,0.633302
83,5.34459,0.0287893,22.8392,0.100674,6.38829,0.290533,26.9364,0.200023,-0.77673,0.632558
84,5.34473,0.0287978,22.8441,0.100649,6.38543,0.291,26.9487,0.200019,-0.777545,0.632141
85,5.34481,0.0288127,22.8507,0.100617,6.37941,0.290695,26.9622,0.199779,-0.777207,0.630749
86,5.34475,0.0287741,22.8515,0.100508,6.37563,0.290812,26.9667,0.199475,-0.776905,0.630477
87,5.3446,0.028743,22.8513,0.100427,6.3749,0.290675,26.9641,0.19934,-0.777899,0.631965
88,5.34428,0.0286905,22.85,0.100366,6.37518,0.291092,26.9554,0.199145,-0.779462,0.63221
89,5.34422,0.0286581,22.8487,0.100282,6.37263,0.29091,26.9582,0.199297,-0.780151,0.633319
90,5.34396,0.0287194,22.8473,0.100152,6.37194,0.290869,26.9533,0.199397,-0.781037,0.63387
91,5.34378,0.0287961,22.844,0.100106,6.37413,0.291229,26.9408,0.199588,-0.78257,0.634946
92,5.34377,0.0289071,22.84,0.10016,6.37649,0.291599,26.9244,0.199889,-0.78356,0.636346
