simulations,OFV
500,945.268
1000,945.594
1500,944.923
2000,944.361
2500,945.506
3000,945.941
3500,945.344
4000,945.633
4500,946.199
5000,946.197
5500,946.226
6000,946.151
6500,945.995
7000,945.987
7500,945.991
8000,946.149
8500,946.388
9000,946.047
9500,945.795
10000,945.689
10500,945.687
11000,945.819
11500,945.833
12000,945.735
12500,945.525
13000,945.411
13500,945.424
14000,945.404
14500,945.422
15000,945.451
15500,945.499
16000,945.547
16500,945.191
17000,945.188
17500,945.203
18000,945.122
18500,945.235
19000,945.147
19500,945.082
20000,944.999
20500,945.051
21000,944.883
21500,944.925
22000,945.054
22500,945.05
23000,944.849
23500,944.726
24000,944.742
24500,944.763
25000,944.809
25500,944.771
26000,944.702
26500,944.639
27000,944.569
27500,944.602
28000,944.707
28500,944.724
29000,944.802
29500,944.832
30000,944.911
