parameter,value,se_lin,rse_lin
Cl_pop,5.17784071626476,0.350819113788163,6.77539408823762
V1_pop,20.1460767718859,1.5999604683349,7.94179674013584
Q_pop,6.59917859124466,1.30336974059879,19.7504844364723
V2_pop,23.3546182825385,3.07761772146965,13.1777693141347
omega_Cl,0.252043093067015,0.0481678041617311,19.1109399490364
omega_V1,0.26711523574458,0.0607046107441523,22.7260008493859
omega_Q,0.651372099023629,0.153680653319867,23.5933736723182
omega_V2,0.32511426660545,0.12972333925301,39.9008448960006
corr_V2_V1,0.998601159463659,0.239564063002561,23.9899644349731
a1,0.302333177098425,0.0221894660367633,7.33940821504331
a2,0.0644709714881598,0.0064600064786421,10.0200234765013
