iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
1,1232.41,1,10.2275,11.1604,43.2233,60.344,3,3,0.8,1.5,1.5,1.5,1.5,1.5
2,1206.45,1,7.7197,13.4399,41.2076,115.997,3.4771,3.04919,0.945798,1.34164,1.34164,1.34164,1.38783,1.34164
3,1169.6,1,7.61049,14.6601,41.6199,119.088,3.27198,2.82291,0.951355,1.2,1.20024,1.2,1.39233,1.2
4,1154.13,1,7.77462,16.1437,39.3116,105.98,3.22616,2.69995,0.942304,1.07331,1.23111,1.07331,1.50894,1.07331
5,1106.98,1,7.4875,14.6246,42.016,115.009,2.88556,2.56765,0.921319,0.96,1.20323,0.96,1.44779,0.96
6,1080.41,1,7.50542,15.3449,42.9457,115.662,2.72067,2.46732,0.918698,0.85865,1.0762,0.85865,1.46703,0.85865
7,1070.69,1,7.7243,13.5174,43.307,106.976,2.66206,2.49298,0.909524,0.768,1.04002,0.768,1.43285,0.768
8,1057.61,1,7.90396,13.2313,43.4977,109.271,2.55376,2.53982,0.912289,0.68692,1.04564,0.68692,1.3632,0.68692
9,1021.83,1,7.79623,14.4918,43.9405,115.111,2.33013,2.43513,0.902495,0.6144,0.935248,0.6144,1.3933,0.6144
10,1013.88,1,7.75326,14.7143,44.9314,121.04,2.19773,2.60028,0.91168,0.575003,0.850993,0.549536,1.37338,0.549536
11,1005.74,1,7.69843,14.0985,45.6747,121.579,2.15826,2.60058,0.914267,0.597588,0.790826,0.49152,1.45262,0.49152
12,991.198,1,7.68863,13.593,45.608,115.75,2.13016,2.52038,0.9124,0.590651,0.74127,0.439629,1.53039,0.439629
13,990.113,1,8.06212,13.1836,47.2495,112.768,2.11884,2.62408,0.906951,0.528294,0.764262,0.393216,1.47097,0.393216
14,977.442,1,8.17165,12.938,46.6626,105.112,2.06013,2.61457,0.905379,0.512213,0.683577,0.351703,1.49911,0.351703
15,964.261,1,8.35432,13.0814,47.5251,109.529,2.01577,2.65567,0.900898,0.473117,0.653132,0.314573,1.34084,0.314573
16,954.248,1,8.17666,13.3472,47.5542,118.866,2.03683,2.53224,0.91208,0.450752,0.632756,0.281362,1.4072,0.281362
17,939.301,1,8.21454,12.6678,48.6377,133.385,2.00652,2.50174,0.911129,0.409786,0.565954,0.251658,1.38944,0.251658
18,935.684,1,8.20818,11.8348,48.2102,128.924,1.99633,2.49563,0.907025,0.413467,0.520654,0.226667,1.41914,0.227948
19,927.849,1,8.24466,11.7693,47.9803,124.56,1.95799,2.49614,0.914306,0.404711,0.477106,0.219127,1.42715,0.225386
20,926.155,1,8.35477,11.915,48.7212,129.24,1.98036,2.48701,0.918181,0.383044,0.488705,0.213747,1.37132,0.221485
21,922.167,1,8.37199,11.8188,49.1017,138.11,1.92747,2.56393,0.913553,0.376325,0.438046,0.216007,1.38981,0.20807
22,919.818,1,8.30976,11.6759,49.0808,144.691,1.99127,2.47346,0.918755,0.371752,0.4306,0.217068,1.32497,0.210457
23,916.193,1,8.41621,11.7902,49.0465,139.331,1.92055,2.48138,0.917716,0.357098,0.442714,0.214689,1.40621,0.223587
24,914.969,1,8.27096,12.4439,49.3308,161.447,1.96167,2.45235,0.90276,0.354854,0.415738,0.194683,1.42836,0.233437
25,911.444,1,8.28481,12.2897,49.1402,152.972,1.97706,2.42805,0.908657,0.364716,0.405225,0.192148,1.37259,0.219832
26,911.771,1,8.42358,12.3285,48.1924,138.744,1.94429,2.44726,0.922498,0.359703,0.469353,0.187948,1.32596,0.218911
27,914.25,1,8.49414,12.5704,48.1054,131.772,2.00246,2.44823,0.911629,0.331303,0.419802,0.202164,1.35212,0.21743
28,905.823,1,8.56361,12.8245,49.0453,142.113,1.99601,2.43413,0.9052,0.323592,0.395338,0.197014,1.23436,0.207473
29,910.403,1,8.50243,11.8848,49.1296,130.793,2.05042,2.44938,0.901953,0.318677,0.380356,0.182567,1.28348,0.213238
30,906.281,1,8.6433,11.5715,48.8809,124.855,2.05312,2.43436,0.913358,0.288751,0.342027,0.190686,1.35502,0.21176
31,914.076,1,8.7232,11.4257,48.7986,112.475,2.10084,2.47324,0.920679,0.297003,0.360859,0.170555,1.43865,0.21346
32,909.443,1,8.81008,11.6602,48.9007,106.749,2.11438,2.47439,0.92221,0.290947,0.325245,0.166338,1.3228,0.212366
33,909.182,1,8.93963,11.9906,48.9482,96.1567,2.1124,2.42081,0.91417,0.29583,0.341145,0.175358,1.4758,0.196158
34,910.24,1,8.99298,12.0311,48.0687,96.6108,2.05338,2.46412,0.90978,0.298982,0.351554,0.173502,1.44922,0.216492
35,905.651,1,9.07709,12.929,47.9213,91.7079,2.07744,2.44379,0.916496,0.299715,0.323564,0.176397,1.40091,0.198047
36,906.248,1,9.03906,12.6761,48.159,97.7026,2.15123,2.37487,0.914579,0.284715,0.335359,0.177591,1.37112,0.199723
37,899.82,1,8.97416,13.2348,48.3146,105.652,2.0716,2.37465,0.915988,0.292589,0.321691,0.179971,1.37097,0.205975
38,905.517,1,9.02545,12.999,48.3382,95.3225,2.03887,2.45609,0.915803,0.298021,0.364534,0.173144,1.36723,0.20178
39,899.514,1,8.92895,12.2591,48.015,107.279,1.98728,2.43192,0.90611,0.314594,0.347907,0.179811,1.30023,0.208806
40,904.153,1,8.90013,12.3183,48.0724,108.676,1.96575,2.49338,0.896235,0.30973,0.345083,0.173734,1.43285,0.215201
41,910.766,1,8.8783,13.1587,48.365,110.373,2.00285,2.51879,0.912167,0.304752,0.362545,0.189447,1.34657,0.211113
42,916.552,1,8.83728,13.3223,47.2285,114.198,2.07066,2.49215,0.912926,0.316301,0.370332,0.189507,1.34259,0.210156
43,923.971,1,8.74932,13.2985,46.5404,109.833,2.098,2.57395,0.911227,0.305632,0.372665,0.190074,1.33707,0.206554
