iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
1,795.559,1,5.2,0.62,21.22,4.99,28.28,1.5,1.5,1,0.62,0.3
2,781.158,1,6.1625,1.25224,30.7412,6.05158,42.42,1.46202,1.46202,1.03693,0.62,0.285
3,774.91,1,5.97857,0.947695,29.8539,6.6317,50.1086,1.425,1.425,1.2193,0.62,0.27075
4,776.106,1,5.52975,1.40415,32.1688,6.60425,77.042,1.38892,1.38892,1.18842,0.62,0.257212
5,759.594,1,5.57366,0.765651,28.8996,7.18241,87.6353,1.35375,1.35375,1.15833,0.62,0.244352
6,747.932,1,5.74412,0.907891,34.3175,9.8349,78.0502,1.31947,1.31947,1.18846,0.62,0.232134
7,738.291,1,5.85094,1.16096,28.5014,9.73701,54.6351,1.28606,1.28606,1.18134,0.62,0.220528
8,721.92,1,5.6498,0.653626,24.9369,9.01151,54.1229,1.2535,1.2535,1.15836,0.62,0.209501
9,723.138,1,5.86712,0.836908,27.3925,10.0125,53.7847,1.22176,1.22176,1.12903,0.62,0.199026
10,709.055,1,6.12717,1.55129,22.8285,12.099,37.6493,1.19082,1.19082,1.10045,0.62,0.189075
11,683.217,1,5.97564,0.799024,20.3488,12.0239,38.414,1.16067,1.16067,1.07258,0.62,0.179621
12,672.504,1,5.89176,0.890473,17.3914,11.3647,38.6541,1.13128,1.13128,1.04542,0.62,0.17064
13,668.317,1,5.95749,0.691314,16.5027,13.934,35.3625,1.10264,1.10264,1.04811,0.62,0.162108
14,657.959,1,5.68453,0.941872,14.65,14.5439,31.025,1.07472,1.07472,1.02157,0.62,0.154003
15,635.284,1,5.72898,0.69714,14.9026,14.2644,29.0375,1.04751,1.04751,0.995705,0.62,0.146302
16,625.801,1,5.46645,0.193356,16.5874,17.3974,25.5893,1.02098,1.02098,0.970493,0.62,0.138987
17,609.544,1,5.53977,0.446559,14.1436,16.2675,23.4702,0.995131,0.995131,0.94592,0.62,0.132038
18,609.775,1,5.50727,0.502484,13.4783,17.8697,24.2036,0.969933,0.969933,0.921969,0.62,0.125436
19,591.505,1,5.48229,0.534201,13.6783,17.9521,23.5607,0.945374,0.945374,0.898624,0.62,0.119164
20,579.488,1,5.67625,0.758166,14.3256,16.4148,23.708,0.921437,0.921437,0.87587,0.62,0.113206
21,568.823,1,5.49734,0.596162,13.918,16.603,24.4303,0.898105,0.898105,0.853693,0.62,0.107546
22,567.471,1,5.53239,0.682161,14.5714,15.9698,24.7739,0.875365,0.875365,0.832077,0.62,0.102168
23,558.473,1,5.52732,0.648365,15.0004,15.5816,24.2319,0.8532,0.8532,0.888584,0.62,0.0970601
24,542.8,1,5.48824,0.585264,14.5709,16.1941,24.6106,0.831597,0.831597,0.866085,0.62,0.0922071
25,529.966,1,5.69775,0.678375,14.0901,17.7667,24.7836,0.81054,0.81054,0.844155,0.62,0.0875967
26,522.495,1,5.51487,0.499845,12.909,18.3243,25.3257,0.790017,0.790017,0.822781,0.62,0.0832169
27,514.417,1,5.7218,0.820436,12.5692,23.1141,24.3464,0.770013,0.770013,0.801947,0.62,0.079056
28,506.404,1,5.67257,0.808763,12.3667,20.9898,24.2608,0.750516,0.750516,0.781642,0.62,0.0751032
29,499.602,1,5.86929,1.16593,13.283,22.9547,23.3794,0.731512,0.731512,0.76185,0.62,0.0713481
30,485.738,1,5.73053,0.875602,13.2002,23.0785,22.9776,0.71299,0.71299,0.742559,0.62,0.0677807
31,475.499,1,5.78626,1.03207,12.5488,23.9659,22.6904,0.694937,0.694937,0.723757,0.62,0.0643916
32,465.018,1,5.68856,0.885804,12.7282,24.1773,23.2133,0.677341,0.677341,0.720094,0.62,0.061172
33,452.429,1,5.66915,0.773697,12.3283,23.1007,23.703,0.66019,0.66019,0.70186,0.62,0.0581134
