iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,646.786,1,10.2275,11.1604,43.2233,60.344,0.3,1,1,1,1
2,619.639,1,8.72901,14.991,36.5007,68.426,0.24,0.894427,0.954382,0.894427,0.929816
3,582.278,1,8.59449,16.716,38.1584,72.9479,0.192,0.8,1.02996,0.8,0.831653
4,557.932,1,8.54024,16.2949,41.1712,77.8989,0.1536,0.715542,0.962982,0.715542,0.763898
5,522.375,1,8.3947,13.968,42.1359,77.8013,0.125224,0.64,0.964104,0.64,0.806964
6,481.267,1,8.40416,13.3711,39.1282,66.718,0.105509,0.572433,0.862321,0.572433,0.743847
7,444.802,1,8.80093,13.8947,38.8049,68.0961,0.092225,0.512,0.871035,0.512,0.710261
8,415.249,1,8.78315,13.6276,38.6962,63.6443,0.0821434,0.457947,0.779077,0.457947,0.688024
9,388.25,1,8.78476,13.3984,39.357,65.5524,0.0733803,0.4096,0.768364,0.4096,0.654787
10,381.218,1,8.79555,13.4275,37.9724,65.726,0.0704771,0.366357,0.805921,0.367836,0.618889
11,370.807,1,8.79318,13.6174,37.3429,66.3942,0.0674904,0.32768,0.793626,0.36816,0.582468
12,358.529,1,8.83125,13.9214,38.0763,63.546,0.0657144,0.318839,0.768761,0.329292,0.547067
13,353.118,1,8.80371,13.7566,38.5739,67.8866,0.0634124,0.329429,0.777504,0.328432,0.512486
14,351.737,1,8.76516,14.1008,38.3527,63.8964,0.0628501,0.332817,0.804754,0.304075,0.52512
15,339.833,1,8.81011,14.433,37.8435,65.6326,0.0588922,0.335122,0.822651,0.320659,0.512564
16,326.049,1,8.87635,14.275,38.4356,63.2018,0.0566286,0.331625,0.775072,0.308996,0.458451
17,319.347,1,8.89991,15.0571,37.7817,62.8145,0.0558111,0.32685,0.736777,0.310123,0.417178
18,312.39,1,8.91396,15.9843,36.3472,60.6709,0.0536097,0.319812,0.795697,0.28226,0.437347
19,305.456,1,8.88951,16.0029,35.9225,60.5559,0.0516588,0.316285,0.818065,0.275147,0.436757
