parameter,value,se_lin,rse_lin
Cl_pop,5.258042883168,0.293882352881821,5.58919657773417
beta_Cl_logtCLCRMLMIN,0.609338835068514,0.240792066541124,39.5169407697524
V1_pop,20.9078053837878,1.80743827159954,8.64480149122227
Q_pop,6.23054440247589,1.23811051111837,19.8716264765944
V2_pop,18.1819108443054,1.97020753712259,10.8360862287457
omega_Cl,0.20568298190561,0.0395857435831968,19.2459984858461
omega_V1,0.286965723227446,0.0647877684630312,22.5768317325066
omega_Q,0.551633440259462,0.175738547994976,31.8578489208916
omega_V2,0.230903279316468,0.125829417746969,54.4944264626542
corr_V2_V1,0.998957586055741,0.348742641012034,34.9106554552532
a1,0.299290133100527,0.0219916695411752,7.34794338635563
a2,0.0692511473511057,0.00698144312334009,10.081339285173
