pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.66653,0.0235368,-3.93612,0.0155086,-2.49345,0.0234613,All
-2.1797,0,-3.84074,0.0243707,-2.00505,0,All
-1.69288,0.0941472,-3.74536,0.0243707,-1.51666,0.117306,All
-1.20605,0.188294,-3.64999,0.0310172,-1.02827,0.304997,All
-0.719222,0.635493,-3.55461,0.0132931,-0.539875,0.703839,All
-0.232396,0.353052,-3.45923,0,-0.0514819,0.351919,All
0.254431,0.517809,-3.36385,0.00221551,0.436911,0.375381,All
0.741257,0.188294,-3.26848,0,0.925304,0.18769,All
1.22808,0.164758,-3.1731,0,1.4137,0.0938452,All
1.71491,0.0941472,-3.07772,0.00443103,1.90209,0.0938452,All
,,-2.98235,0.0376638,,,All
,,-2.88697,0.0797585,,,All
,,-2.79159,0.081974,,,All
,,-2.69621,0.0753275,,,All
,,-2.60084,0.0288017,,,All
,,-2.50546,0.0221551,,,All
,,-2.41008,0.00221551,,,All
,,-2.31471,0,,,All
,,-2.21933,0.00443103,,,All
,,-2.12395,0.0376638,,,All
,,-2.02857,0.101914,,,All
,,-1.9332,0.0930516,,,All
,,-1.83782,0.0708965,,,All
,,-1.74244,0.0199396,,,All
,,-1.64707,0.00443103,,,All
,,-1.55169,0,,,All
,,-1.45631,0.00221551,,,All
,,-1.36093,0.00443103,,,All
,,-1.26556,0.0420948,,,All
,,-1.17018,0.0620344,,,All
,,-1.0748,0.150655,,,All
,,-0.979426,0.290232,,,All
,,-0.884049,0.374422,,,All
,,-0.788671,0.358913,,,All
,,-0.693294,0.398793,,,All
,,-0.597917,0.425379,,,All
,,-0.50254,0.471905,,,All
,,-0.407163,0.598189,,,All
,,-0.311786,0.691241,,,All
,,-0.216408,0.58268,,,All
,,-0.121031,0.551663,,,All
,,-0.025654,0.536155,,,All
,,0.0697231,0.443103,,,All
,,0.1651,0.378853,,,All
,,0.260477,0.42981,,,All
,,0.355855,0.358913,,,All
,,0.451232,0.363344,,,All
,,0.546609,0.374422,,,All
,,0.641986,0.305741,,,All
,,0.737363,0.254784,,,All
,,0.83274,0.232629,,,All
,,0.928118,0.135146,,,All
,,1.02349,0.1285,,,All
,,1.11887,0.0797585,,,All
,,1.21425,0.0487413,,,All
,,1.30963,0.077543,,,All
,,1.405,0.112991,,,All
,,1.50038,0.130715,,,All
,,1.59576,0.135146,,,All
,,1.69113,0.0664654,,,All
,,1.78651,0.0753275,,,All
,,1.88189,0.0420948,,,All
,,1.97727,0.0243707,,,All
,,2.07264,0.00664654,,,All
,,2.16802,0.0110776,,,All
,,2.2634,0.0243707,,,All
,,2.35878,0.0221551,,,All
,,2.45415,0.0265862,,,All
,,2.54953,0.0221551,,,All
,,2.64491,0.00664654,,,All
