iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,b
1,791.29,1,5.13,0,20.91,5.39,26.12,1.5,1.5,1,0.3
2,785.381,1,2.72993,0.614,25.0451,5.95187,29.385,1.46202,1.46202,0.99454,0.285
3,774.467,1,2.77551,0.63778,21.8617,7.46257,33.5173,1.425,1.425,1.09215,0.27075
4,774.418,1,1.55499,1.13957,25.792,7.50518,51.1138,1.38892,1.38892,1.15476,0.257212
5,764.65,1,1.33008,1.28288,24.3948,7.09277,54.9474,1.35375,1.35375,1.13156,0.244352
6,746.212,1,1.46657,1.17175,32.7064,7.87569,57.0079,1.31947,1.31947,1.1029,0.232134
7,730.73,1,2.47671,0.691845,26.1621,9.40629,47.7441,1.28606,1.28606,1.07498,0.220528
8,712.048,1,2.50957,0.742934,25.2177,8.84456,43.5665,1.2535,1.2535,1.04776,0.209501
9,707.833,1,2.71374,0.698696,25.8078,11.3682,37.3038,1.22176,1.22176,1.10799,0.199026
10,697.225,1,2.74559,0.640098,20.099,12.0875,37.4204,1.19082,1.19082,1.0974,0.189075
11,687.714,1,2.12734,0.858313,16.3621,13.4068,38.0051,1.16067,1.16067,1.06961,0.179621
12,677.276,1,2.13034,0.880304,16.7711,11.2986,44.5372,1.13128,1.13128,1.04253,0.17064
13,670.573,1,2.71787,0.634784,15.4317,12.4627,39.5268,1.10264,1.10264,1.14308,0.162108
14,666.868,1,3.02311,0.51347,13.4729,14.3581,36.9328,1.07472,1.07472,1.22616,0.154003
15,653.147,1,2.88972,0.585894,9.93262,16.2274,34.0475,1.04751,1.04751,1.19512,0.146302
16,651.761,1,2.24804,0.794741,10.5579,21.9609,34.1538,1.02098,1.02098,1.27933,0.138987
17,629.2,1,2.14294,0.864459,8.72694,25.1288,34.1538,0.995131,0.995131,1.24694,0.132038
18,620.986,1,2.98934,0.566755,7.76732,26.5976,32.8731,0.969933,0.969933,1.21537,0.125436
19,612.172,1,2.92174,0.584464,7.72926,24.4125,32.1026,0.945374,0.945374,1.18459,0.119164
20,598.157,1,2.40751,0.740707,7.20883,23.0392,32.7045,0.921437,0.921437,1.1546,0.113206
21,589.133,1,2.70883,0.646035,6.13739,24.1147,32.5001,0.898105,0.926423,1.12536,0.107546
22,585.107,1,2.76082,0.621491,5.7511,29.3225,31.6369,0.875365,1.00538,1.09687,0.102168
23,571.838,1,2.86657,0.584495,6.08196,31.4628,29.8573,0.8532,1.02259,1.06909,0.0970601
24,558.576,1,2.62396,0.660726,6.07407,26.0541,29.6823,0.831597,1.03911,1.04202,0.0922071
25,551.418,1,2.56661,0.690365,5.68469,30.719,30.6331,0.81054,1.0933,1.01564,0.0875967
26,541.392,1,2.19108,0.820888,5.43296,29.2053,30.4057,0.790017,1.09966,0.989923,0.0832169
27,528.975,1,2.55892,0.693065,5.84011,33.248,30.382,0.770013,1.07182,0.964857,0.079056
28,521.214,1,2.5562,0.689187,5.47379,34.6636,30.1684,0.750516,1.04468,0.940426,0.0751032
29,507.913,1,2.50795,0.70614,5.63165,32.5836,29.6734,0.731512,1.01823,0.916614,0.0713481
30,509.329,1,2.74927,0.619351,5.90412,36.0006,28.9664,0.71299,0.992447,0.893405,0.0677807
31,493.108,1,2.76514,0.613762,5.66405,35.1818,28.7853,0.694937,0.967318,0.870784,0.0643916
32,489.85,1,2.71837,0.621862,5.88615,33.5642,28.1556,0.677341,0.942825,0.848735,0.061172
33,477.945,1,2.69049,0.6391,5.66803,31.0835,28.7935,0.66019,0.926086,0.827244,0.0581134
34,474.656,1,2.65388,0.648714,6.26301,29.905,28.6811,0.643474,0.917042,0.806298,0.0552078
35,467.005,1,2.68732,0.631998,6.19891,31.1376,27.9808,0.627181,0.960072,0.785882,0.0524474
36,455.102,1,2.75939,0.617547,6.04642,31.2445,28.6476,0.6113,0.9747,0.765983,0.049825
37,449.394,1,2.75578,0.622595,5.98749,32.1823,29.028,0.595821,0.95002,0.746588,0.0473338
38,440.785,1,2.97265,0.558515,5.62288,31.7245,29.1981,0.580735,0.953234,0.727684,0.0449671
39,428.891,1,2.71922,0.634704,6.10377,31.2629,28.97,0.56603,0.929097,0.709259,0.0427187
40,428.239,1,2.75904,0.618644,5.92817,30.7187,28.789,0.551698,0.905572,0.6913,0.0405828
41,420.728,1,2.6642,0.650003,6.71567,30.0451,28.058,0.537729,0.900063,0.673796,0.0385536
42,426.099,1,2.80181,0.604197,7.13175,28.7926,27.51,0.524113,0.894806,0.656735,0.0396709
43,407.41,1,2.83703,0.590322,7.49148,29.011,26.6288,0.510842,0.872149,0.640106,0.0376873
44,407.956,1,2.87301,0.57939,7.51225,26.0193,26.608,0.497908,0.859181,0.623898,0.0371383
45,407.219,1,2.89426,0.575777,8.13618,26.2846,26,0.4853,0.841965,0.608101,0.0373555
46,409.071,1,2.75429,0.61796,7.83516,26.1151,26.2437,0.473012,0.876781,0.592703,0.0375621
47,407.964,1,2.77533,0.613442,7.70064,25.5683,26.2488,0.461035,0.903267,0.577696,0.0376895
48,411.399,1,2.76267,0.617333,7.20102,26.5443,26.2283,0.449362,1.00756,0.563068,0.037719
49,407.984,1,2.76031,0.624838,7.56709,27.0683,26.1976,0.437984,0.982044,0.548811,0.0379249
50,402.86,1,2.69144,0.642264,7.67421,26.9148,26.1976,0.426894,0.957178,0.534915,0.0370925
51,404.455,1,2.69539,0.642017,7.98389,28.0932,26.2999,0.416084,0.932942,0.52137,0.0371345
52,405.764,1,2.72857,0.626137,7.78541,27.1439,26.1921,0.405549,0.909319,0.508169,0.0378507
53,413.121,1,2.62514,0.663886,7.60943,27.2079,26.0897,0.39528,0.988818,0.495302,0.0386849
54,410.318,1,2.66907,0.648066,8.06365,25.0218,25.998,0.385271,0.96378,0.48276,0.0390203
55,399.986,1,2.82358,0.594077,8.68858,22.8118,25.6984,0.375516,0.939377,0.496357,0.0370988
56,399.279,1,2.76609,0.614709,9.02683,22.8625,25.4224,0.366008,0.915591,0.501985,0.037106
57,391.8,1,2.79047,0.603771,8.68518,21.8413,25.045,0.35674,0.934572,0.489275,0.0352507
58,389.603,1,2.93374,0.559574,8.71647,22.4309,24.9472,0.347707,0.910908,0.476886,0.0356205
59,386.533,1,2.8155,0.598881,9.01971,22.2872,25.0836,0.338903,0.887843,0.464811,0.0355248
60,377.696,1,2.8507,0.590475,9.17418,21.1746,24.9954,0.330322,0.865362,0.476622,0.0337486
61,376.919,1,2.79437,0.602205,9.57777,19.8911,24.4682,0.321958,0.843451,0.466917,0.0335294
62,369.979,1,2.80378,0.601,8.68509,19.6674,24.5494,0.313806,0.94058,0.455095,0.0324452
63,371.101,1,2.791,0.60312,9.13915,19.4055,24.4919,0.30586,0.940573,0.477429,0.032056
64,372.657,1,2.75685,0.616238,9.32782,19.5275,24.7311,0.298116,0.937541,0.490294,0.0322462
65,378.256,1,2.87469,0.584012,9.32965,19.54,25.1755,0.290567,0.931655,0.47788,0.0337093
66,376.813,1,2.77162,0.613778,8.97691,20.962,25.4311,0.28321,0.945497,0.46578,0.0333713
67,374.474,1,2.77866,0.61152,9.16211,20.0649,25.4063,0.276039,0.921557,0.530412,0.0328898
68,372.634,1,2.85541,0.587464,9.32106,20.8264,25.2177,0.269049,0.898222,0.568337,0.0323674
69,374.922,1,2.77157,0.611571,9.25617,21.3318,25.0798,0.262237,0.875479,0.553947,0.0328513
70,377.848,1,2.85594,0.583252,9.21603,19.86,24.8545,0.255597,0.879138,0.53992,0.0335202
71,379.163,1,2.93753,0.557879,9.15463,20.1915,24.9322,0.249125,0.923498,0.526249,0.0336424
72,379.543,1,2.93024,0.568005,9.3927,19.4637,25.1367,0.242817,0.900115,0.512924,0.0341783
73,370.748,1,2.81766,0.594341,9.70482,19.3515,24.7636,0.236669,0.877324,0.499937,0.0334664
74,374.359,1,2.74796,0.621572,9.38739,19.3694,24.841,0.230676,0.855109,0.487278,0.0338762
75,379.734,1,2.87453,0.583772,9.68106,20.6316,24.5984,0.224835,0.833457,0.52152,0.0345018
76,377.883,1,2.917,0.575301,10.3035,20.5702,24.5599,0.219142,0.812354,0.512018,0.0345793
77,379.994,1,2.82543,0.598534,10.5924,19.0274,24.4256,0.214088,0.791784,0.499053,0.0355098
78,376.435,1,2.80424,0.60946,10.5714,18.7719,24.6069,0.209293,0.796768,0.486417,0.0347579
79,370.819,1,2.77846,0.614723,10.0477,18.8247,24.6886,0.206433,0.79055,0.48115,0.033565
80,369.794,1,2.86681,0.588974,10.1664,18.345,24.7754,0.209371,0.824802,0.473756,0.0332344
81,367.256,1,2.91959,0.575259,10.9864,18.4899,24.4464,0.209199,0.803917,0.475761,0.0330875
82,365.731,1,2.81309,0.600298,10.6673,18.5264,24.093,0.205838,0.783562,0.489312,0.0327435
83,370.731,1,2.76579,0.609941,10.861,17.7973,24.0648,0.215873,0.782482,0.505807,0.0330663
84,366.794,1,2.82544,0.589106,10.6731,18.6372,24.093,0.214666,0.76267,0.494529,0.0330327
85,370.609,1,2.85967,0.578502,9.79622,19.0975,23.9518,0.20923,0.804432,0.499373,0.033211
86,375.671,1,2.80984,0.594859,9.83569,19.1356,24.0641,0.210738,0.851659,0.486729,0.0339501
87,377.859,1,2.69733,0.630937,9.97383,17.613,24.285,0.22341,0.899432,0.504236,0.0334629
88,375.456,1,2.85108,0.580735,9.6493,18.7295,23.8771,0.22008,0.909641,0.506871,0.0330685
89,373.677,1,2.88547,0.573477,10.0264,18.9869,23.9983,0.214507,0.886608,0.518894,0.0332424
90,370.695,1,2.87246,0.574523,10.3323,18.8403,23.853,0.209076,0.864158,0.519451,0.0328377
91,372.367,1,2.78679,0.603637,10.4896,18.1477,24.0161,0.216475,0.842278,0.56847,0.0324776
92,372.031,1,2.85022,0.580395,9.98831,18.4179,23.7628,0.210994,0.820951,0.554076,0.0330096
93,372.728,1,2.79629,0.594562,10.4945,18.0435,23.5215,0.216808,0.800164,0.540046,0.033375
94,370.35,1,2.79239,0.598524,11.1223,17.8816,23.6363,0.213386,0.779903,0.545443,0.0327474
95,370.097,1,2.77571,0.60448,11.1729,17.3648,23.6086,0.218106,0.780423,0.531632,0.0329243
96,367.502,1,2.86901,0.582892,11.636,18.7249,23.9268,0.212583,0.760662,0.518171,0.0331903
97,376.38,1,2.81907,0.604983,11.8272,19.2386,23.6978,0.21058,0.741402,0.555922,0.0341427
98,372.643,1,2.86197,0.595495,12.4119,17.7923,23.7441,0.205288,0.722629,0.541845,0.0349602
99,372.439,1,2.81883,0.598144,11.1678,17.3096,23.7255,0.213482,0.747215,0.528125,0.0339972
100,367.906,1,2.8264,0.599805,11.396,18.3711,23.6746,0.213234,0.738415,0.53511,0.0327729
101,367.933,1,2.86863,0.589073,11.6055,18.4491,23.8133,0.207835,0.743802,0.525972,0.0329979
102,367.067,1,2.82791,0.596815,11.5386,17.2429,23.9156,0.217433,0.738442,0.512654,0.0328384
103,367.209,1,2.78169,0.614359,11.5165,17.013,23.8175,0.211928,0.719744,0.499673,0.0339458
104,372.345,1,2.79894,0.608174,11.3813,16.509,23.8036,0.211595,0.715532,0.532099,0.0337733
105,374.78,1,2.87366,0.581019,11.9848,16.369,23.2131,0.206237,0.697414,0.518626,0.0351029
106,368.806,1,2.84623,0.589716,12.2791,16.1866,22.932,0.209386,0.679755,0.505494,0.0342113
107,373.126,1,2.94832,0.558383,12.2939,16.7077,23.0843,0.204084,0.662543,0.492695,0.0353032
108,371.151,1,2.754,0.613514,11.9858,16.7431,22.8769,0.21002,0.670368,0.480219,0.0348823
109,372.604,1,2.80008,0.602442,11.8229,17.2106,23.0556,0.221436,0.655245,0.46806,0.0346417
110,364.555,1,2.90369,0.573047,12.7887,17.1226,22.7134,0.215829,0.638654,0.456208,0.0344509
111,364.72,1,2.91434,0.569179,12.6081,17.3728,22.7977,0.213637,0.622483,0.462908,0.0337331
112,372.478,1,2.89635,0.575566,12.7077,17.8023,22.4459,0.213294,0.651628,0.515133,0.0343477
113,359.541,1,2.91348,0.569749,12.9142,16.6108,22.31,0.209513,0.635129,0.50209,0.0328996
114,359.46,1,2.87019,0.576143,12.6561,17.0315,22.31,0.21931,0.619047,0.489376,0.0324727
115,366.098,1,2.79756,0.594568,12.3919,16.5971,22.0006,0.223302,0.668805,0.496791,0.0329179
116,364.923,1,2.8786,0.565096,12.3371,15.8233,21.8631,0.217648,0.660915,0.484212,0.0332358
117,368.8,1,2.95488,0.549867,13.6102,15.0179,21.9144,0.212426,0.64418,0.496261,0.0342437
118,370.951,1,2.91895,0.566971,13.6253,15.3476,22.0342,0.207048,0.627869,0.544929,0.0342638
119,368.003,1,2.89873,0.582651,14.3833,15.0226,21.819,0.202884,0.611971,0.5637,0.0341515
120,365.849,1,2.84267,0.595256,14.6061,15.5008,21.7253,0.205761,0.596476,0.549427,0.0338666
121,363.556,1,2.87575,0.575335,13.7291,15.7331,21.878,0.213049,0.581373,0.535515,0.0331725
122,365.516,1,2.81316,0.593961,13.5603,15.7073,21.5191,0.215332,0.593812,0.521956,0.0336095
