simulations,OFV
500,949.113
1000,950.065
1500,949.127
2000,949.23
2500,950.267
3000,950.4
3500,950.062
4000,950.183
4500,950.714
5000,950.509
5500,950.543
6000,950.602
6500,950.63
7000,950.433
7500,950.606
8000,950.757
8500,950.998
9000,950.779
9500,950.535
10000,950.311
10500,950.206
11000,950.336
11500,950.288
12000,950.215
12500,950.255
13000,950.196
13500,950.266
14000,950.226
14500,950.159
15000,950.152
15500,950.007
16000,950.002
16500,949.946
17000,949.935
17500,949.998
18000,950.001
18500,950.131
19000,950.124
19500,950.096
20000,950.027
20500,950.033
21000,949.847
21500,949.868
22000,949.994
22500,949.91
23000,949.796
23500,949.773
24000,949.817
24500,949.669
25000,949.737
25500,949.746
26000,949.695
26500,949.627
27000,949.566
27500,949.571
28000,949.658
28500,949.672
29000,949.726
29500,949.77
30000,949.835
