Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
3.75346,0.000256367,6.15491e-05,27.6023,2.87935e-16,2.22045e-16,0.355411,0.00224428,0.000198421,25.3125,4.54119e-08,2.65767e-08,All
3.99593,0.000588593,0.000159349,28.0272,2.65061e-15,4.996e-16,1.2047,0.0280742,0.0122941,26.1064,1.56189e-07,9.83193e-08,All
4.23839,0.00122068,0.000371094,28.4521,2.19308e-14,4.44089e-15,2.05398,0.0500466,0.0462781,26.9003,4.90421e-07,3.3188e-07,All
4.48086,0.00231939,0.000788911,28.877,1.6378e-13,3.4639e-14,2.90327,0.0613619,0.0942335,27.6942,1.41545e-06,1.02932e-06,All
4.72332,0.00408499,0.00154969,29.3018,1.10844e-12,2.46136e-13,3.75255,0.0654311,0.148464,28.4881,3.77848e-06,2.95172e-06,All
4.96579,0.00673354,0.00284123,29.7267,6.82452e-12,1.59217e-12,4.60184,0.0653149,0.204199,29.2819,9.38132e-06,7.87097e-06,All
5.20825,0.0104723,0.00490319,30.1516,3.83632e-11,9.40859e-12,5.45112,0.0629408,0.258774,30.0758,2.17742e-05,1.96182e-05,All
5.45071,0.015472,0.00802163,30.5765,1.97579e-10,5.09655e-11,6.30041,0.0594402,0.310794,30.8697,4.74633e-05,4.59213e-05,All
5.69318,0.0218413,0.0125169,31.0014,9.35355e-10,2.53921e-10,7.14969,0.0554627,0.359605,31.6636,9.75754e-05,0.000101383,All
5.93564,0.0296069,0.0187262,31.4263,4.083e-09,1.16728e-09,7.99898,0.051376,0.404972,32.4574,0.000189916,0.000211943,All
6.17811,0.0387033,0.026982,31.8511,1.64833e-08,4.96616e-09,8.84826,0.0473834,0.446898,33.2513,0.000351197,0.000421069,All
6.42057,0.0489724,0.0375896,32.276,6.17166e-08,1.96111e-08,9.69755,0.043592,0.485514,34.0452,0.000619034,0.000797647,All
6.66304,0.0601736,0.0508057,32.7009,2.14897e-07,7.20811e-08,10.5468,0.0400525,0.521014,34.8391,0.00104314,0.00144519,All
6.9055,0.0720007,0.0668202,33.1258,6.97674e-07,2.47249e-07,11.3961,0.0367833,0.553622,35.633,0.0016851,0.00251146,All
7.14797,0.084105,0.0857434,33.5507,2.11709e-06,7.93499e-07,12.2454,0.033784,0.583569,36.4268,0.00261613,0.00419716,All
7.39043,0.0961198,0.107598,33.9756,6.01884e-06,2.38846e-06,13.0947,0.0310438,0.61108,37.2207,0.00391253,0.00676194,All
7.6329,0.107685,0.132318,34.4005,1.60677e-05,6.7588e-06,13.944,0.0285466,0.636368,38.0146,0.00564885,0.0105258,All
7.87536,0.118466,0.159754,34.8253,4.03642e-05,1.8021e-05,14.7933,0.0262741,0.659632,38.8085,0.00788925,0.0158645,All
8.11783,0.128174,0.189679,35.2502,9.56173e-05,4.53722e-05,15.6425,0.0242073,0.681055,39.6023,0.010678,0.0231974,All
8.36029,0.136576,0.221804,35.6751,0.000214009,0.000108096,16.4918,0.0223277,0.700803,40.3962,0.0140307,0.0329681,All
8.60276,0.143501,0.255789,36.1,0.000453422,0.000244186,17.3411,0.0206177,0.719028,41.1901,0.0179265,0.0456188,All
8.84522,0.148841,0.291263,36.5249,0.000911036,0.000524043,18.1904,0.0190611,0.735867,41.984,0.0223046,0.061559,All
9.08768,0.152553,0.327835,36.9498,0.00173894,0.00107047,19.0397,0.0176429,0.751444,42.7779,0.0270633,0.081134,All
9.33015,0.154646,0.365109,37.3746,0.00315844,0.00208515,19.889,0.0163496,0.76587,43.5717,0.0320644,0.104593,All
9.57261,0.155181,0.402701,37.7995,0.00546755,0.00388006,20.7383,0.0151689,0.779246,44.3656,0.037141,0.132065,All
9.81508,0.154257,0.440243,38.2244,0.00903467,0.00690925,21.5875,0.0140897,0.791664,45.1595,0.0421084,0.163535,All
10.0575,0.152005,0.477397,38.6493,0.0142715,0.0117939,22.4368,0.0131023,0.803205,45.9534,0.0467773,0.198843,All
10.3,0.148576,0.51386,39.0742,0.0215814,0.0193307,23.2861,0.0121978,0.813943,46.7472,0.0509669,0.237679,All
10.5425,0.144133,0.549364,39.4991,0.0312847,0.0304729,24.1354,0.0113681,0.823945,47.5411,0.0545181,0.279597,All
10.7849,0.138846,0.583686,39.9239,0.0435306,0.0462767,24.9847,0.0106061,0.833271,48.335,0.0573031,0.324038,All
11.0274,0.132881,0.61664,40.3488,0.0582121,0.0678102,25.834,0.00990554,0.841977,49.1289,0.059233,0.370354,All
11.2699,0.1264,0.648082,40.7737,0.0749054,0.09603,26.6833,0.00926063,0.850112,49.9228,0.0602615,0.417846,All
11.5123,0.119554,0.677905,41.1986,0.0928537,0.131642,27.5325,0.00866627,0.857722,50.7166,0.060385,0.465795,All
11.7548,0.112481,0.706039,41.6235,0.111009,0.174964,28.3818,0.00811786,0.864846,51.5105,0.0596397,0.513493,All
11.9973,0.105302,0.732442,42.0484,0.128133,0.225828,29.2311,0.00761127,0.871522,52.3044,0.058096,0.560276,All
12.2397,0.0981249,0.757103,42.4732,0.142941,0.283519,30.0804,0.00714278,0.877785,53.0983,0.0558513,0.605549,All
12.4822,0.0910412,0.780033,42.8981,0.154269,0.3468,30.9297,0.00670907,0.883664,53.8921,0.0530217,0.6488,All
12.7247,0.0841261,0.801265,43.323,0.161232,0.413992,31.779,0.00630712,0.88919,54.686,0.0497336,0.689613,All
12.9671,0.0774408,0.820847,43.7479,0.163334,0.483119,32.6282,0.00593421,0.894386,55.4799,0.046116,0.727677,All
13.2096,0.0710328,0.838841,44.1728,0.160526,0.55209,33.4775,0.0055879,0.899277,56.2738,0.0422939,0.76278,All
13.452,0.0649372,0.855318,44.5977,0.153191,0.618886,34.3268,0.00526596,0.903884,57.0677,0.0383826,0.794806,All
13.6945,0.0591785,0.870358,45.0225,0.142071,0.681729,35.1761,0.0049664,0.908228,57.8615,0.034484,0.823726,All
13.937,0.0537717,0.884044,45.4474,0.128148,0.739215,36.0254,0.00468739,0.912326,58.6554,0.0306841,0.849584,All
14.1794,0.0487238,0.896463,45.8723,0.11251,0.790383,36.8747,0.00442728,0.916195,59.4493,0.0270521,0.872489,All
14.4219,0.0440352,0.907701,46.2972,0.096222,0.834731,37.724,0.00418458,0.919851,60.2432,0.0236399,0.892595,All
14.6644,0.0397006,0.917845,46.7221,0.0802186,0.87219,38.5732,0.00395792,0.923307,61.037,0.0204837,0.910091,All
14.9068,0.0357106,0.926981,47.147,0.0652379,0.903044,39.4225,0.00374606,0.926578,61.8309,0.0176053,0.925192,All
15.1493,0.0320524,0.935189,47.5719,0.0517899,0.927845,40.2718,0.00354787,0.929674,62.6248,0.0150139,0.93812,All
15.3918,0.0287106,0.94255,47.9967,0.0401603,0.947312,41.1211,0.00336231,0.932608,63.4187,0.0127085,0.949106,All
15.6342,0.0256683,0.949136,48.4216,0.0304392,0.962243,41.9704,0.00318845,0.935388,64.2125,0.0106803,0.958372,All
15.8767,0.0229073,0.95502,48.8465,0.0225642,0.973441,42.8197,0.00302541,0.938026,65.0064,0.00891422,0.966133,All
16.1192,0.0204088,0.960266,49.2714,0.0163689,0.981656,43.669,0.00287242,0.94053,65.8003,0.00739118,0.97259,All
16.3616,0.018154,0.964936,49.6963,0.0116273,0.987556,44.5182,0.00272873,0.942908,66.5942,0.0060896,0.977927,All
16.6041,0.0161243,0.969087,50.1212,0.00809178,0.991707,45.3675,0.0025937,0.945168,67.3881,0.00498676,0.982311,All
16.8466,0.0143015,0.972772,50.546,0.00552015,0.994569,46.2168,0.00246671,0.947316,68.1819,0.00405983,0.985891,All
17.089,0.0126681,0.976038,50.9709,0.0036934,0.996503,47.0661,0.0023472,0.94936,68.9758,0.00328666,0.988798,All
17.3315,0.0112074,0.978929,51.3958,0.00242489,0.997786,47.9154,0.00223465,0.951305,69.7697,0.0026464,0.991145,All
17.5739,0.00990356,0.981485,51.8207,0.00156301,0.998621,48.7647,0.00212859,0.953157,70.5636,0.00211984,0.99303,All
17.8164,0.00874189,0.983743,52.2456,0.000989567,0.999155,49.614,0.00202859,0.954922,71.3574,0.00168959,0.994536,All
18.0589,0.00770859,0.985735,52.6705,0.000615662,0.99949,50.4632,0.00193423,0.956604,72.1513,0.00134022,0.995734,All
18.3013,0.0067909,0.987491,53.0953,0.000376572,0.999697,51.3125,0.00184514,0.958209,72.9452,0.0010582,0.996682,All
18.5438,0.00597707,0.989036,53.5202,0.000226545,0.999823,52.1618,0.00176098,0.95974,73.7391,0.00083183,0.997429,All
18.7863,0.00525633,0.990396,53.9451,0.000134104,0.999898,53.0111,0.00168143,0.961201,74.533,0.000651099,0.998015,All
19.0287,0.00461885,0.991592,54.37,7.81435e-05,0.999942,53.8604,0.00160619,0.962597,75.3268,0.000507547,0.998472,All
19.2712,0.00405568,0.992642,54.7949,4.48413e-05,0.999968,54.7097,0.00153499,0.963931,76.1207,0.000394086,0.998828,All
19.5137,0.00355871,0.993564,55.2198,2.53494e-05,0.999982,55.5589,0.00146758,0.965206,76.9146,0.000304829,0.999104,All
19.7561,0.00312062,0.994373,55.6446,1.41228e-05,0.99999,56.4082,0.00140372,0.966425,77.7085,0.000234928,0.999317,All
19.9986,0.00273481,0.995082,56.0695,7.75717e-06,0.999995,57.2575,0.00134319,0.967591,78.5023,0.00018042,0.999481,All
20.2411,0.00239536,0.995703,56.4944,4.20207e-06,0.999997,58.1068,0.00128579,0.968707,79.2962,0.000138091,0.999607,All
20.4835,0.00209694,0.996247,56.9193,2.24571e-06,0.999999,58.9561,0.00123133,0.969776,80.0901,0.000105349,0.999703,All
20.726,0.0018348,0.996723,57.3442,1.18446e-06,0.999999,59.8054,0.00117964,0.970799,80.884,8.01188e-05,0.999776,All
20.9685,0.00160471,0.997139,57.7691,6.16738e-07,1,60.6547,0.00113054,0.97178,81.6779,6.07474e-05,0.999832,All
21.2109,0.00140289,0.997503,58.194,3.17129e-07,1,61.5039,0.00108389,0.97272,82.4717,4.59262e-05,0.999874,All
21.4534,0.00122597,0.997821,58.6188,1.61087e-07,1,62.3532,0.00103954,0.973622,83.2656,3.46241e-05,0.999906,All
