iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,687.78,1,5.10855,4.95684,22.0859,76.9381,0.3,1.5,1.5,1.5,1.5
2,661.008,1,9.45227,8.67375,36.091,92.3519,0.24,1.34164,1.44082,1.34164,1.34164
3,617.906,1,9.33788,7.74726,43.1558,87.7792,0.192,1.2,1.48524,1.2,1.20224
4,576.568,1,9.40079,7.87839,42.2123,92.4059,0.155173,1.07331,1.32844,1.07331,1.07532
5,546.058,1,9.29771,8.58791,40.8356,93.3817,0.135083,0.96,1.18819,0.96,0.973014
6,525.535,1,9.18742,8.59083,43.0176,104.882,0.127138,0.85865,1.06275,0.85865,0.973033
7,491.336,1,9.24399,8.94381,44.3909,114.01,0.114093,0.768,0.961729,0.768,0.929838
8,486.521,1,9.10847,9.01174,44.7153,119.823,0.115489,0.68692,0.915533,0.68692,0.883162
9,478.28,1,9.0916,8.50606,44.6669,115.515,0.114459,0.6144,0.852888,0.6144,0.840392
10,461.264,1,9.18444,8.66693,46.7512,114.06,0.107789,0.549536,0.821346,0.549536,0.880316
11,453.257,1,9.21205,9.20545,45.9842,112.271,0.105518,0.49152,0.811025,0.49152,0.864904
12,441.039,1,9.30745,9.43883,46.2685,105.016,0.101363,0.439629,0.808157,0.439629,0.870595
13,437.225,1,9.2425,9.28032,45.3619,105.289,0.101677,0.393216,0.779253,0.393216,0.845311
14,428.225,1,9.20734,8.87295,45.0967,108.501,0.0971271,0.357443,0.82452,0.351703,0.799259
15,425.124,1,9.2392,9.12097,45.2622,106.539,0.0975071,0.34971,0.813267,0.314573,0.848942
16,427.939,1,9.28486,9.77801,45.5929,98.1997,0.0996664,0.341873,0.829267,0.281362,0.909185
17,422.627,1,9.25797,9.60236,45.8665,99.6591,0.0984359,0.343867,0.80838,0.251658,0.905151
18,418.213,1,9.21426,8.22961,46.607,106.592,0.0987643,0.340953,0.801039,0.22509,0.872501
19,404.04,1,9.32552,7.92152,47.0319,105.782,0.0937833,0.329545,0.793311,0.201327,0.817452
20,408.487,1,9.32871,8.2181,46.5834,103.128,0.0961879,0.323431,0.756863,0.180072,0.861783
21,395.207,1,9.34298,8.52825,46.7981,110.725,0.0942968,0.306949,0.676959,0.169961,0.871897
22,386.691,1,9.34414,8.33929,46.836,110.813,0.0907233,0.302076,0.664764,0.164449,0.808781
23,386.74,1,9.40212,8.27292,47.0872,115.89,0.0923047,0.296131,0.681695,0.16636,0.732847
24,393.259,1,9.31723,8.44487,46.3255,116.716,0.0929554,0.311705,0.7538,0.15813,0.716851
25,390.62,1,9.23239,8.41751,47.146,122.774,0.0927609,0.310038,0.70864,0.162331,0.694248
26,387.469,1,9.23502,8.22731,46.8606,127.996,0.0931992,0.303808,0.68283,0.161851,0.681191
27,388.932,1,9.21167,7.78707,47.3914,134.265,0.0928143,0.304371,0.708646,0.168225,0.65588
28,385.178,1,9.37326,8.08401,47.2881,123.633,0.0934322,0.291999,0.710735,0.153431,0.657592
29,391.517,1,9.43884,8.29881,46.7967,118.022,0.0965512,0.29031,0.676283,0.155724,0.664453
30,387.71,1,9.47088,8.66037,46.3036,120.872,0.0965901,0.286891,0.689029,0.151023,0.61986
31,381.962,1,9.52519,8.29884,47.5309,117.755,0.0938788,0.276038,0.685306,0.157122,0.592893
32,382.189,1,9.45624,7.84029,48.0879,118.275,0.0960352,0.27931,0.680141,0.141086,0.574702
33,376.763,1,9.43747,7.66273,48.2817,121.63,0.0932084,0.278209,0.672347,0.141548,0.559993
34,377.007,1,9.4535,8.06727,47.3779,121.099,0.0917891,0.276746,0.683644,0.152781,0.55414
35,385.615,1,9.43161,7.90655,47.3541,126.062,0.0970787,0.281209,0.66682,0.152264,0.554166
36,385.743,1,9.46971,8.00107,46.4366,125.605,0.0997026,0.279802,0.668769,0.151692,0.495661
37,389.01,1,9.5723,8.16521,46.6971,121.51,0.101991,0.285288,0.705432,0.141673,0.480677
38,394.59,1,9.54818,8.27487,46.6255,118.202,0.103877,0.280952,0.700576,0.135975,0.497629
39,379.542,1,9.58199,8.54844,46.7742,115.313,0.0983982,0.283466,0.694403,0.127013,0.470861
40,380.348,1,9.6704,8.68286,46.8584,117.93,0.100342,0.286785,0.660856,0.130515,0.45297
41,378.073,1,9.68375,8.67808,46.1512,112.057,0.100269,0.284786,0.657744,0.118747,0.453566
42,375.511,1,9.68808,8.55182,46.3914,107.712,0.0972882,0.284015,0.679366,0.115294,0.466959
43,370.326,1,9.74467,8.30783,46.5047,105.004,0.0962981,0.272842,0.680059,0.120085,0.451811
44,375.737,1,9.76537,8.34824,46.6478,103.05,0.0966118,0.269423,0.717421,0.128698,0.433636
45,378.386,1,9.82832,8.1735,46.5716,100.161,0.0994416,0.263658,0.746685,0.127495,0.423942
46,373.589,1,9.84931,8.34322,47.1067,96.8553,0.0955375,0.268301,0.748294,0.13032,0.424412
47,375.187,1,9.83389,8.33704,47.6218,90.4825,0.0971626,0.270599,0.717767,0.121651,0.446512
48,383.32,1,9.78447,8.06265,47.7123,90.5636,0.101217,0.272153,0.733334,0.113975,0.468552
49,381.133,1,9.79433,7.90394,47.3111,92.7189,0.102026,0.271861,0.711021,0.109729,0.470452
50,373.528,1,9.72196,7.84312,47.0559,94.5888,0.100121,0.266619,0.692778,0.105668,0.424605
51,365.958,1,9.79592,8.00862,46.8404,93.1875,0.0967556,0.26728,0.723993,0.102564,0.397932
52,367.662,1,9.80669,8.11535,47.053,95.6702,0.0955163,0.260216,0.721009,0.106162,0.435748
53,371.966,1,9.81408,8.13259,47.1186,98.2315,0.0976197,0.258418,0.761789,0.102396,0.45277
54,366.178,1,9.82302,8.41701,47.4543,101.848,0.0929591,0.258794,0.741875,0.115176,0.472124
55,369.929,1,9.83187,8.1613,47.3137,100.227,0.0944558,0.257433,0.752498,0.117837,0.482292
56,376.865,1,9.7618,8.09815,46.7162,98.5766,0.0947837,0.256149,0.803561,0.121218,0.502464
57,367.774,1,9.74746,7.9987,47.1548,98.0199,0.0943699,0.264868,0.789839,0.108421,0.477384
58,367.069,1,9.76676,8.0254,46.8153,102.623,0.0944718,0.266165,0.760676,0.108163,0.459183
59,371.67,1,9.77996,7.90438,46.9088,102.336,0.0970508,0.266794,0.752801,0.109555,0.442545
60,370.542,1,9.76168,8.36799,46.9526,107.458,0.0968257,0.261581,0.755767,0.107172,0.455979
61,371.058,1,9.71827,8.70197,46.2136,108.601,0.0946511,0.271555,0.79031,0.107089,0.466035
62,371.315,1,9.70592,8.71848,45.9554,107.982,0.0947205,0.274277,0.810041,0.107262,0.460432
63,372.193,1,9.60942,8.14837,46.0598,108.015,0.0948152,0.272918,0.828291,0.103356,0.462648
64,370.906,1,9.70051,8.14577,46.3223,106.248,0.0967658,0.267719,0.819457,0.0998205,0.456851
65,370.359,1,9.69017,8.07695,46.2073,103.174,0.0981609,0.2791,0.751777,0.089912,0.462815
66,363.193,1,9.76824,8.33925,45.9149,104.667,0.0989237,0.273747,0.73471,0.0830323,0.427869
67,369.069,1,9.77113,8.3911,45.7632,101.452,0.0978906,0.272688,0.760357,0.0864922,0.438845
68,361.57,1,9.76195,8.27664,46.0874,96.6682,0.0938253,0.266217,0.813571,0.0851101,0.435791
69,367.288,1,9.78231,8.4009,45.4465,93.6962,0.0966704,0.271136,0.811672,0.086583,0.433893
70,370.548,1,9.81166,8.401,45.6939,93.7674,0.0998004,0.267891,0.826921,0.0821436,0.432249
71,367.556,1,9.87666,8.32588,45.7287,88.3983,0.099055,0.266256,0.847669,0.0753412,0.454576
72,366.6,1,9.87914,8.75756,45.9692,88.8142,0.0973413,0.263768,0.832986,0.0734591,0.48238
