iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1517.03,1,10.3539,0,40.7043,12.5628,48.0097,1.5,1.5,1.5,1.2,0.998761,1,1
2,1492.22,1,9.28618,0.469433,72.3592,21.0538,77.2206,1.46202,1.46202,1.46202,1.16962,0.998761,0.974679,0.974679
3,1485.28,1,9.64333,0.549254,65.0684,19.4162,71.4558,1.425,1.425,1.425,1.14,0.998761,0.95,0.95
4,1468.4,1,8.34591,0.735891,62.699,23.7109,69.6248,1.38892,1.38892,1.38892,1.11113,0.998761,0.925945,0.925945
5,1463.55,1,8.13509,1.0157,71.4744,22.146,76.3194,1.35375,1.35375,1.35375,1.083,0.998761,0.9025,0.9025
6,1457.86,1,8.28218,1.16499,70.7694,23.162,76.3084,1.31947,1.31947,1.33305,1.05558,0.998761,0.879648,0.879648
7,1447.27,1,8.1561,1.08659,79.5125,25.0158,83.1854,1.28606,1.28606,1.34783,1.02885,0.998761,0.857375,0.857375
8,1419.87,1,9.17869,0.656196,66.5156,26.5379,72.0739,1.2535,1.2535,1.3137,1.0028,0.998761,0.835666,0.835666
9,1415.04,1,9.85281,0.587617,73.8708,22.561,78.7439,1.22176,1.22176,1.29254,0.977407,0.998761,0.814506,0.814506
10,1393.63,1,10.9743,0.346919,62.2691,19.8456,68.6542,1.19082,1.19082,1.25981,0.952659,0.998761,0.793882,0.793882
11,1392.02,1,10.4918,0.495923,73.3004,20.3568,77.446,1.16067,1.16067,1.22791,0.928537,0.998761,0.773781,0.773781
12,1375.59,1,10.1189,0.335877,64.4868,20.284,69.6271,1.13128,1.13128,1.19682,0.905026,0.998761,0.754188,0.754188
13,1363.26,1,10.4958,0.428681,52.932,29.2738,59.051,1.10264,1.10264,1.24313,0.88211,0.998761,0.735092,0.735092
14,1355.07,1,10.2485,0.48035,56.471,24.2592,62.2405,1.07472,1.07472,1.33911,0.859775,0.998761,0.716479,0.716479
15,1349.41,1,10.2307,0.723122,55.73,23.1593,61.8984,1.04751,1.04751,1.50247,0.838005,0.998761,0.698337,0.698337
16,1344.61,1,9.989,0.739373,52.8505,24.3438,59.0435,1.02098,1.02098,1.54607,0.816786,0.998761,0.680655,0.680655
17,1327.46,1,9.9829,0.537464,50.6494,26.0209,57.8398,0.995131,0.995131,1.50692,0.796105,0.998761,0.66342,0.66342
18,1320.59,1,10.7223,0.514135,57.3968,28.6894,63.9744,0.969933,0.969933,1.49464,0.775947,0.998761,0.646622,0.646622
19,1303.42,1,10.1669,0.420123,48.4945,29.453,55.644,0.945374,0.945374,1.72544,0.756299,0.998761,0.630249,0.630249
20,1295.4,1,10.5391,0.528807,46.3128,33.7751,53.696,0.921437,0.921437,1.68175,0.737149,0.998761,0.614291,0.614291
21,1287.84,1,10.8286,0.312526,45.1236,36.9625,53.2446,0.898105,0.898105,1.63916,0.718484,0.998761,0.598737,0.598737
22,1274.88,1,10.5589,0.298536,49.9099,23.1209,57.8602,0.875365,0.875365,1.59766,0.700292,0.998761,0.583577,0.583577
23,1262.84,1,10.1353,0.544369,51.2761,18.8809,59.4832,0.8532,0.8532,1.60512,0.68256,0.998761,0.5688,0.5688
24,1242.26,1,10.5638,0.614454,52.3195,16.7909,59.9797,0.831597,0.831597,1.56448,0.665277,0.998761,0.554398,0.554398
25,1237.73,1,10.594,0.575974,54.3507,14.2213,61.3934,0.81054,0.81054,1.52486,0.648432,0.998761,0.54036,0.54036
26,1224.87,1,10.7485,0.353803,55.8823,15.7207,63.1687,0.790017,0.790017,1.48625,0.632013,0.998761,0.526678,0.526678
27,1221.2,1,10.6794,0.368221,58.9583,17.0125,65.6248,0.770013,0.770013,1.44862,0.61601,0.998761,0.513342,0.513342
28,1196.21,1,10.8006,0.572497,54.5944,18.9938,61.1691,0.750516,0.750516,1.41194,0.600413,0.998761,0.500344,0.500344
29,1189.98,1,10.6545,0.442345,52.5819,18.4573,59.0858,0.731512,0.731512,1.45605,0.58521,0.998761,0.487675,0.487675
30,1177.17,1,10.96,0.461567,51.5016,16.1498,58.2856,0.71299,0.71299,1.41918,0.570392,0.998761,0.475327,0.475327
31,1170.44,1,10.8938,0.444922,55.3216,13.1266,61.5126,0.694937,0.694937,1.38325,0.555949,0.998761,0.463291,0.463291
32,1153.56,1,10.6265,0.570195,48.6588,10.9707,55.4223,0.677341,0.677341,1.34822,0.541873,0.998761,0.45156,0.45156
33,1147.66,1,10.5866,0.569947,49.313,10.6294,55.8276,0.66019,0.66019,1.31409,0.528152,0.998761,0.440127,0.440127
34,1139.56,1,10.3814,0.742863,50.5551,12.2366,56.8638,0.643474,0.643474,1.28081,0.514779,0.998761,0.428982,0.428982
35,1124.43,1,10.6754,0.570989,48.6411,14.569,55.2588,0.627181,0.627181,1.28904,0.501744,0.998761,0.41812,0.41812
36,1113.81,1,10.6799,0.597615,49.9367,17.8025,56.5171,0.6113,0.6113,1.2564,0.48904,0.998761,0.407533,0.407533
37,1115.24,1,10.6891,0.588158,47.7932,15.9019,54.375,0.595821,0.595821,1.22459,0.476657,0.998761,0.397214,0.397214
38,1095.54,1,10.8507,0.461467,50.1439,15.0006,56.4529,0.580735,0.580735,1.19358,0.464588,0.998761,0.387157,0.387157
39,1076.1,1,11.0331,0.573168,49.8594,18.0579,56.4146,0.56603,0.56603,1.16336,0.452824,0.998761,0.377354,0.377354
40,1074.11,1,10.8923,0.354352,48.3862,17.3758,54.9596,0.551698,0.551698,1.24881,0.441359,0.998761,0.367799,0.367799
41,1064.97,1,10.9195,0.397222,46.1544,18.7022,52.8074,0.537729,0.537729,1.21719,0.430183,0.998761,0.358486,0.358486
42,1056.97,1,10.8952,0.524909,45.2961,19.9839,52.1359,0.524113,0.524113,1.18637,0.419291,0.998761,0.349409,0.349409
43,1046.71,1,10.8192,0.502703,47.9109,21.7467,54.3472,0.510842,0.510842,1.26245,0.408674,0.998761,0.340562,0.340562
44,1036.21,1,10.8736,0.514351,46.1024,19.4416,52.9181,0.497908,0.497908,1.23048,0.398326,0.998761,0.331938,0.331938
45,1028.78,1,10.957,0.47093,45.3171,19.3726,51.9965,0.4853,0.4853,1.19932,0.38824,0.998761,0.323534,0.323534
46,1011.82,1,10.7798,0.533491,45.9573,14.8757,52.7047,0.473012,0.473012,1.16896,0.37841,0.998761,0.315341,0.315341
47,1002.58,1,10.9578,0.56702,46.711,15.3659,53.4449,0.461035,0.461035,1.13936,0.368828,0.998761,0.307357,0.307357
48,1001.98,1,10.9148,0.555207,47.0088,13.3425,53.6226,0.449362,0.449362,1.11051,0.359489,0.998761,0.299574,0.299574
49,992.19,1,10.6802,0.625187,47.1079,12.1591,53.6528,0.437984,0.437984,1.08239,0.350387,0.998761,0.291989,0.291989
50,990.586,1,10.7366,0.551925,45.9932,13.1047,52.7787,0.426894,0.426894,1.05498,0.341515,0.998761,0.284596,0.284596
51,977.563,1,10.7671,0.485421,45.2484,12.0415,51.9203,0.416084,0.416084,1.02827,0.332867,0.998761,0.27739,0.27739
52,965.243,1,10.7161,0.490841,45.1863,13.4553,51.7678,0.405549,0.405549,1.00223,0.324439,0.998761,0.270366,0.270366
53,957.748,1,10.6954,0.510653,44.129,14.4597,50.8864,0.39528,0.39528,0.976857,0.316224,0.998761,0.26352,0.26352
54,949.693,1,10.8993,0.518477,43.097,15.1801,50.0258,0.385271,0.385271,0.952123,0.308217,0.998761,0.256848,0.256848
55,939.372,1,10.9029,0.414453,43.8111,14.74,50.9281,0.375516,0.375516,0.928015,0.300413,0.998761,0.250344,0.250344
56,930.93,1,10.8303,0.493267,43.3872,15.9192,50.6329,0.366008,0.366008,0.904517,0.292806,0.998761,0.244005,0.244005
57,926.464,1,10.8682,0.429166,44.5561,14.3632,51.6753,0.35674,0.35674,0.881614,0.285392,0.998761,0.237827,0.237827
58,913.564,1,10.7673,0.48378,44.8629,12.5738,51.9291,0.347707,0.347707,0.859291,0.278166,0.998761,0.231805,0.231805
59,918.632,1,10.7411,0.462139,46.1014,13.4115,53.0955,0.338903,0.338903,0.837533,0.271123,0.998761,0.225936,0.225936
60,909.28,1,10.7806,0.459715,44.9128,15.7319,51.978,0.330322,0.330322,0.816326,0.264258,0.998761,0.220215,0.220215
61,894.821,1,10.8471,0.46679,45.204,15.4891,52.4408,0.321958,0.321958,0.795657,0.257567,0.998761,0.214639,0.214639
62,896.237,1,10.9161,0.497016,44.8458,16.8236,52.1259,0.313806,0.316784,0.77551,0.255967,0.998761,0.209204,0.209204
63,895.359,1,10.9177,0.499733,43.3956,15.4851,50.7175,0.30586,0.308762,0.755874,0.249485,0.998761,0.203907,0.203907
64,881.62,1,10.857,0.49966,43.306,14.8271,50.6555,0.298116,0.300944,0.741399,0.243168,0.998761,0.198744,0.198744
