Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,split
1.65816,0,8.67353,0,0.957594,0,All
2.30983,0.00714286,12.544,0.00714286,1.38142,0.00714286,All
2.39972,0.0142857,12.9785,0.0142857,1.53424,0.0142857,All
2.4395,0.0214286,13.3519,0.0214286,1.55884,0.0214286,All
2.44471,0.0285714,13.3683,0.0285714,1.62882,0.0285714,All
2.4672,0.0357143,13.3756,0.0357143,1.70933,0.0357143,All
2.46903,0.0428571,13.6942,0.0428571,1.74613,0.0428571,All
2.47114,0.05,13.8582,0.05,1.88911,0.05,All
2.54985,0.0571429,13.8914,0.0571429,1.90661,0.0571429,All
2.55556,0.0642857,14.2469,0.0642857,1.9226,0.0642857,All
2.61167,0.0714286,14.405,0.0714286,2.04542,0.0714286,All
3.15678,0.0785714,14.4796,0.0785714,2.04641,0.0785714,All
3.27805,0.0857143,14.7976,0.0857143,2.04793,0.0857143,All
3.31902,0.0928571,15.0589,0.0928571,2.08815,0.0928571,All
3.34796,0.1,15.9633,0.1,2.09649,0.1,All
3.36303,0.107143,16.239,0.107143,2.1054,0.107143,All
3.39233,0.114286,16.3283,0.114286,2.11218,0.114286,All
3.42495,0.121429,16.9719,0.121429,2.22393,0.121429,All
3.45571,0.128571,16.9937,0.128571,2.23392,0.128571,All
3.57139,0.135714,17.3726,0.135714,2.25332,0.135714,All
3.71998,0.142857,17.5209,0.142857,2.26113,0.142857,All
4.25611,0.15,17.8187,0.15,2.26557,0.15,All
4.29813,0.157143,18.0127,0.157143,2.2753,0.157143,All
4.32514,0.164286,18.1413,0.164286,2.27771,0.164286,All
4.46959,0.171429,18.2361,0.171429,2.39499,0.171429,All
4.4713,0.178571,18.2516,0.178571,2.42393,0.178571,All
4.47722,0.185714,18.2598,0.185714,2.50038,0.185714,All
4.48542,0.192857,18.396,0.192857,2.50938,0.192857,All
4.53105,0.2,18.8027,0.2,2.52613,0.2,All
4.60433,0.207143,19.1008,0.207143,2.53385,0.207143,All
4.71545,0.214286,19.1779,0.214286,2.53523,0.214286,All
4.74254,0.221429,19.3266,0.221429,2.56492,0.221429,All
4.76604,0.228571,19.3539,0.228571,2.58743,0.228571,All
4.86039,0.235714,19.3671,0.235714,2.61425,0.235714,All
4.87721,0.242857,19.4206,0.242857,2.66868,0.242857,All
4.89293,0.25,19.5842,0.25,2.73531,0.25,All
4.92007,0.257143,19.6477,0.257143,2.79975,0.257143,All
4.92619,0.264286,19.7658,0.264286,3.22809,0.264286,All
4.93915,0.271429,19.8967,0.271429,3.26382,0.271429,All
4.95283,0.278571,19.9704,0.278571,3.29502,0.278571,All
4.95823,0.285714,20.0556,0.285714,3.31531,0.285714,All
4.9641,0.292857,20.1548,0.292857,3.54319,0.292857,All
4.97233,0.3,20.2702,0.3,3.60707,0.3,All
4.97256,0.307143,20.3553,0.307143,3.64571,0.307143,All
4.97796,0.314286,20.3849,0.314286,3.71231,0.314286,All
4.98118,0.321429,20.451,0.321429,3.7207,0.321429,All
4.98528,0.328571,20.5343,0.328571,3.78792,0.328571,All
4.98622,0.335714,20.7216,0.335714,3.81091,0.335714,All
4.9931,0.342857,20.9626,0.342857,3.81376,0.342857,All
5.01407,0.35,21.0028,0.35,3.82113,0.35,All
5.01693,0.357143,21.0508,0.357143,3.95425,0.357143,All
5.02608,0.364286,21.0744,0.364286,3.95551,0.364286,All
5.03632,0.371429,21.1018,0.371429,3.96412,0.371429,All
5.04187,0.378571,21.1081,0.378571,3.97298,0.378571,All
5.05898,0.385714,21.1103,0.385714,4.0414,0.385714,All
5.06195,0.392857,21.3388,0.392857,4.04835,0.392857,All
5.07145,0.4,21.3392,0.4,4.06412,0.4,All
5.09571,0.407143,21.3447,0.407143,4.112,0.407143,All
5.10168,0.414286,21.3624,0.414286,4.11889,0.414286,All
5.12841,0.421429,21.4977,0.421429,4.1685,0.421429,All
5.15686,0.428571,21.5116,0.428571,4.23725,0.428571,All
5.16552,0.435714,21.5647,0.435714,4.23776,0.435714,All
5.18823,0.442857,21.5976,0.442857,4.33134,0.442857,All
5.19375,0.45,21.7015,0.45,4.60197,0.45,All
5.20341,0.457143,21.7396,0.457143,4.67399,0.457143,All
5.20879,0.464286,21.7408,0.464286,4.68795,0.464286,All
5.28945,0.471429,21.7421,0.471429,4.76327,0.471429,All
5.29438,0.478571,21.7437,0.478571,4.80794,0.478571,All
5.39305,0.485714,21.869,0.485714,4.82163,0.485714,All
5.48654,0.492857,21.8997,0.492857,4.8477,0.492857,All
5.51568,0.5,21.9283,0.5,4.85436,0.5,All
5.63819,0.507143,22.2613,0.507143,4.86001,0.507143,All
5.64214,0.514286,22.3721,0.514286,4.99556,0.514286,All
5.65208,0.521429,22.4233,0.521429,5.08822,0.521429,All
5.6907,0.528571,22.4615,0.528571,5.11668,0.528571,All
5.72858,0.535714,22.5526,0.535714,5.14731,0.535714,All
5.73296,0.542857,22.6757,0.542857,5.15475,0.542857,All
5.73882,0.55,22.6791,0.55,5.25596,0.55,All
5.77829,0.557143,22.7476,0.557143,5.28453,0.557143,All
5.80779,0.564286,22.748,0.564286,5.34888,0.564286,All
5.83056,0.571429,22.8689,0.571429,5.37123,0.571429,All
5.83354,0.578571,22.8726,0.578571,5.37758,0.578571,All
5.84928,0.585714,22.9203,0.585714,5.49091,0.585714,All
5.85409,0.592857,22.9892,0.592857,5.56562,0.592857,All
5.86156,0.6,23.0942,0.6,5.63679,0.6,All
5.86309,0.607143,23.1021,0.607143,5.70105,0.607143,All
5.86571,0.614286,23.1949,0.614286,5.70537,0.614286,All
5.87955,0.621429,23.1957,0.621429,5.78355,0.621429,All
5.88234,0.628571,23.2214,0.628571,5.94206,0.628571,All
5.91089,0.635714,23.2234,0.635714,6.11215,0.635714,All
5.9574,0.642857,23.3556,0.642857,6.28068,0.642857,All
5.96606,0.65,23.388,0.65,6.29491,0.65,All
5.97544,0.657143,23.4226,0.657143,6.34271,0.657143,All
5.99432,0.664286,23.453,0.664286,6.4918,0.664286,All
6.00253,0.671429,23.5685,0.671429,6.57349,0.671429,All
6.01498,0.678571,23.5819,0.678571,6.59979,0.678571,All
6.01793,0.685714,23.752,0.685714,6.65776,0.685714,All
6.01808,0.692857,23.8879,0.692857,6.73881,0.692857,All
6.03322,0.7,23.9616,0.7,6.83134,0.7,All
6.04111,0.707143,24.1944,0.707143,6.95197,0.707143,All
6.07513,0.714286,24.2739,0.714286,7.05069,0.714286,All
6.08984,0.721429,24.2817,0.721429,7.09874,0.721429,All
6.0921,0.728571,24.346,0.728571,7.1827,0.728571,All
6.11911,0.735714,24.4475,0.735714,7.21916,0.735714,All
6.1383,0.742857,24.5734,0.742857,7.55486,0.742857,All
6.18412,0.75,24.5982,0.75,7.58577,0.75,All
6.20163,0.757143,24.71,0.757143,7.71803,0.757143,All
