Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
2.50325,0.200027,13.4805,0.0413146,2.35232,0.159401,All
2.89011,0,15.3535,0.0206573,4.29412,0.147446,All
3.27696,0.160021,17.2265,0.0330517,6.23591,0.0996255,All
3.66381,0.0400053,19.0994,0.0661033,8.17771,0.0637603,All
4.05067,0,20.9724,0.123944,10.1195,0.0278951,All
4.43752,0.180024,22.8454,0.111549,12.0613,0.00797004,All
4.82437,0.420056,24.7183,0.0950235,14.0031,0.0159401,All
5.21123,0.360048,26.5913,0.0413146,15.9449,0.0159401,All
5.59808,0.200027,28.4643,0.0206573,17.8867,0.00398502,All
5.98493,0.520069,30.3372,0.00413146,19.8285,0.00797004,All
6.37179,0.500066,32.2102,0.00826291,21.7703,0.00398502,All
6.75864,0.220029,34.0832,0.0123944,23.7121,0.00398502,All
