Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,split
1.65816,3.82165e-05,3.16005e-06,8.67353,3.11398e-05,1.33121e-05,0.957594,0.0358343,0.00851447,All
1.80523,0.000166554,1.62547e-05,9.13154,7.763e-05,3.682e-05,1.19724,0.0597775,0.019937,All
1.95229,0.000572733,6.54609e-05,9.58955,0.000175717,9.22244e-05,1.43689,0.0837084,0.0371609,All
2.09935,0.00162341,0.000215903,10.0476,0.000365265,0.000211652,1.67655,0.105104,0.0598525,All
2.24642,0.00392279,0.000603781,10.5056,0.000704049,0.000449501,1.9162,0.122713,0.0872324,All
2.39348,0.00829658,0.00147119,10.9636,0.00126875,0.00089098,2.15585,0.136174,0.118336,All
2.54054,0.0156837,0.00319185,11.4216,0.00215281,0.0016604,2.3955,0.145648,0.152182,All
2.68761,0.0269518,0.0062749,11.8796,0.0034606,0.00292768,2.63515,0.151563,0.187861,All
2.83467,0.0426888,0.0113389,12.3376,0.00529817,0.00491132,2.8748,0.154457,0.224585,All
2.98173,0.0630334,0.0190576,12.7956,0.00776165,0.0078766,3.11445,0.154874,0.261694,All
3.1288,0.0875954,0.0300863,13.2536,0.0109247,0.0121282,3.3541,0.153325,0.298659,All
3.27586,0.115481,0.0449853,13.7117,0.0148272,0.017997,3.59375,0.150257,0.335062,All
3.42292,0.145411,0.064153,14.1697,0.0194666,0.025823,3.8334,0.146053,0.370587,All
3.56999,0.175891,0.0877815,14.6277,0.0247934,0.0359341,4.07305,0.14103,0.405,All
3.71705,0.2054,0.115839,15.0857,0.0307109,0.0486247,4.3127,0.135448,0.438138,All
3.86411,0.232556,0.148079,15.5437,0.0370806,0.0641352,4.55235,0.129512,0.469892,All
4.01118,0.256231,0.184069,16.0017,0.0437301,0.0826342,4.792,0.123387,0.500198,All
4.15824,0.275619,0.223233,16.4597,0.0504649,0.104206,5.03165,0.117199,0.529026,All
