Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6
Cl_pop,5.6539,5.66426,5.71588,5.61171,5.56497,5.86185
beta_Cl_logtWTKG,0.75906,0.756204,0.753044,0.758318,0.763385,0.758451
beta_Cl_tCLCRMLMIN,0.613005,0.608997,0.601809,0.609629,0.616616,0.589293
V1_pop,40.2667,41.5654,40.6716,42.3247,41.1626,23.2615
Q_pop,12.5459,11.3712,12.0863,10.3736,11.5257,41.2169
V2_pop,50.0095,53.5946,47.7053,65.8063,70.6458,55.3031
omega_Cl,0.185011,0.182907,0.184326,0.183637,0.185251,0.185581
omega_V1,0.286058,0.24429,0.307583,0.288932,0.310819,0.359702
omega_Q,0.702013,0.686203,0.651951,0.645947,0.772941,0.833368
omega_V2,0.232728,0.198115,0.255191,0.263359,0.327415,0.243616
corr_V2_V1,0.999,0.998913,0.998973,0.998883,0.998886,0.99807
a1,0.304563,0.302917,0.3051,0.305358,0.304219,0.305902
a2,0.0625244,0.0642866,0.0617159,0.0626561,0.0621955,0.0713072
-2LL,932.354,933.233,930.468,934.241,938.894,960.974
