pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
18.5252,0.0190022,56.4893,0.00358555,2.7556,12.5107,All
46.8662,0.00606454,83.7793,0.00468879,2.76842,12.5107,All
75.2072,0.00242581,111.069,0.0023641,2.78124,4.4681,All
103.548,0.00363872,138.359,0.00472819,2.79407,8.93619,All
131.889,0.00283012,165.649,0.0023641,2.80689,6.25533,All
160.23,0.00363872,192.939,0.00157606,2.81971,13.4043,All
188.571,0,220.229,0.0024035,2.83253,5.36171,All
216.912,0.000404302,247.519,0.00153666,2.84536,6.25533,All
245.253,0.000404302,274.809,0.00197008,2.85818,6.25533,All
273.594,0.000404302,302.099,0.00197008,2.871,9.82981,All
,,329.389,0.000788032,,,All
,,356.679,0.000788032,,,All
,,383.969,0.000788032,,,All
,,411.259,0.00193068,,,All
,,438.549,0.00122145,,,All
,,465.839,0.00157606,,,All
,,493.129,0.000788032,,,All
,,520.419,0.00118205,,,All
,,547.709,0.000394016,,,All
,,574.999,0,,,All
,,602.289,0,,,All
,,629.579,0,,,All
,,656.869,0,,,All
,,684.159,0.000394016,,,All
,,711.449,0,,,All
,,738.739,0,,,All
,,766.029,0.000394016,,,All
,,793.319,0,,,All
,,820.608,0,,,All
,,847.898,0,,,All
,,875.188,0.000394016,,,All
