iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
70,855.263,1,10.0738,9.55167,48.2604,63.9168,0.0989967,0.177135,0.949959,0.2569,0.565081,0.255597,0.936203,0.264455
71,849.699,1,10.0009,9.8031,48.1598,66.397,0.0957286,0.173486,0.956037,0.259317,0.573967,0.249125,0.927612,0.264214
72,842.744,1,10.0442,10.2618,47.8024,74.6339,0.0960898,0.172736,0.960286,0.25275,0.559434,0.242817,0.904124,0.257524
73,850.906,1,9.98938,11.0176,47.5778,74.1185,0.099689,0.170987,0.951418,0.256625,0.545268,0.236669,0.881231,0.266904
74,844.601,1,9.98951,11.0893,47.4567,73.0684,0.0992441,0.171157,0.942853,0.260295,0.531462,0.230676,0.874029,0.260146
75,847.42,1,10.0741,11.0009,48.624,70.4965,0.103989,0.167894,0.937734,0.25874,0.526143,0.224835,0.853996,0.258539
76,842.634,1,9.95729,10.7264,48.427,72.4013,0.102881,0.162224,0.945091,0.255125,0.551313,0.219142,0.88462,0.251993
77,842.031,1,9.96445,10.1362,48.392,74.9845,0.10085,0.16356,0.955796,0.248665,0.537353,0.213594,0.915096,0.249223
78,838.063,1,9.99752,10.6874,48.4033,80.704,0.099598,0.16555,0.951028,0.251137,0.532343,0.208185,0.906593,0.246733
79,850.939,1,9.96955,10.3992,48.2886,72.7202,0.099505,0.171421,0.969191,0.244778,0.544904,0.202914,0.972538,0.261475
80,848.157,1,10.0601,10.4313,49.1559,69.0494,0.103326,0.170794,0.966118,0.241261,0.531106,0.197776,0.981955,0.254854
81,844.261,1,10.004,9.78302,49.8306,69.4872,0.105245,0.162254,0.973239,0.254785,0.517658,0.192768,1.04364,0.272489
82,852.207,1,9.94875,10.6686,49.4337,70.9774,0.102322,0.167443,0.975823,0.25322,0.504551,0.198449,1.12276,0.26559
83,844.813,1,9.98332,10.4401,48.7495,58.2402,0.100481,0.166502,0.961191,0.246808,0.491775,0.193424,1.09967,0.258865
84,843.693,1,9.95398,10.5841,48.339,60.7118,0.0986144,0.169842,0.950973,0.252768,0.479323,0.188527,1.08521,0.25231
85,847.213,1,9.90799,10.1138,47.2926,61.4392,0.0985099,0.173096,0.944331,0.246368,0.467187,0.189105,1.07406,0.253726
86,853.887,1,9.87552,9.29065,47.5327,60.7398,0.103429,0.170485,0.953871,0.247515,0.495102,0.184317,1.12989,0.25066
87,837.257,1,9.88669,9.98758,47.8751,63.4196,0.0982797,0.163379,0.951994,0.259634,0.482566,0.181298,1.10128,0.256997
88,847.078,1,9.86369,10.1741,48.1543,67.8648,0.102205,0.163732,0.961228,0.272452,0.470347,0.17782,1.0734,0.250489
89,841.974,1,9.96737,11.1784,47.5352,68.9727,0.102836,0.166666,0.962031,0.265553,0.466648,0.173318,1.09227,0.253153
90,849.189,1,9.95231,11.6252,47.3889,63.4722,0.108007,0.165016,0.943015,0.258829,0.470681,0.173642,1.12012,0.246744
91,856.473,1,9.85228,11.6816,47.9481,62.8262,0.105117,0.169153,0.941986,0.262592,0.458763,0.180257,1.15812,0.253847
92,850.408,1,9.8901,11.9035,46.7624,60.9282,0.101252,0.169315,0.950694,0.255943,0.457163,0.189182,1.17674,0.254742
93,850.882,1,9.7572,12.6022,46.9625,68.8955,0.102286,0.165541,0.952986,0.265354,0.445588,0.184392,1.20683,0.254217
94,868.742,1,10.0001,11.2395,46.8887,63.4971,0.10884,0.177027,0.967036,0.259029,0.434305,0.183599,1.17628,0.259033
95,851.888,1,10.0268,11.4991,47.2353,61.2899,0.103398,0.170215,0.962267,0.25247,0.450661,0.181454,1.14649,0.254564
96,854.7,1,9.93752,11.6579,46.9888,55.1972,0.101323,0.177196,0.956686,0.257177,0.454545,0.176859,1.19431,0.248119
