iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
200,853.681,1,9.82094,11.8859,47.0654,71.7388,0.103631,0.175165,0.95079,0.2823,0.566534,0.135322,1.06869,0.241032
201,851.529,1,9.78716,11.4167,46.9943,70.2917,0.102753,0.174571,0.951423,0.285683,0.552189,0.132036,1.05321,0.249231
202,859.614,1,9.80911,11.9415,46.8243,68.8347,0.107844,0.17416,0.954938,0.27845,0.538208,0.131281,1.09981,0.253636
203,847.415,1,9.69946,10.6291,47.7673,71.5272,0.102451,0.174212,0.940047,0.27483,0.52458,0.127957,1.17162,0.247214
204,852.023,1,9.67979,11.3888,47.4162,81.9526,0.104493,0.17544,0.942351,0.267871,0.511297,0.124717,1.14195,0.26633
205,847.176,1,9.71477,11.6386,46.8705,72.3142,0.108989,0.168282,0.950602,0.264237,0.498351,0.121559,1.11303,0.259587
206,840.21,1,9.68304,11.3001,47.283,68.1103,0.10354,0.166833,0.935884,0.257546,0.518815,0.118481,1.08708,0.256344
207,841.019,1,9.80729,11.5484,48.0161,68.7315,0.102283,0.170367,0.94087,0.260325,0.505679,0.120461,1.15689,0.249853
208,839.471,1,9.7684,11.5014,47.1963,61.5547,0.103337,0.169038,0.942082,0.266948,0.492875,0.117411,1.15757,0.256804
209,847.788,1,9.66279,11.5957,46.512,70.9545,0.107441,0.167869,0.934749,0.260189,0.49058,0.114438,1.20497,0.250302
210,832.84,1,9.7581,11.3885,46.8273,69.518,0.102299,0.167613,0.952472,0.253601,0.484321,0.11154,1.17446,0.243964
211,831.384,1,9.82569,11.4783,47.2855,66.745,0.101449,0.162314,0.943276,0.264878,0.55088,0.108716,1.14611,0.260916
212,834.034,1,9.79212,11.2222,47.3804,69.5058,0.102512,0.164343,0.960066,0.270157,0.536931,0.105963,1.13798,0.25431
213,839.273,1,9.6768,11.2066,47.126,72.891,0.103435,0.169139,0.946117,0.277645,0.523336,0.10328,1.22514,0.24787
214,838.832,1,9.69992,11.904,47.6353,66.7894,0.101308,0.167583,0.970507,0.270615,0.510085,0.100754,1.19412,0.253562
215,849.214,1,9.57554,11.6909,47.2627,71.1982,0.104702,0.16813,0.950299,0.285398,0.520376,0.104411,1.20034,0.247142
216,851.324,1,9.65149,12.0735,47.6911,71.2914,0.109602,0.165722,0.940821,0.280562,0.535439,0.101767,1.22499,0.244627
217,837.773,1,9.66512,12.7691,47.3528,77.3313,0.104683,0.165988,0.955881,0.284349,0.521881,0.0991904,1.19397,0.238433
218,836.376,1,9.67122,12.3793,47.798,77.5136,0.106605,0.163647,0.957992,0.285773,0.51293,0.0966788,1.22714,0.233728
219,840.412,1,9.71251,12.1305,47.7324,78.0192,0.102825,0.167535,0.957124,0.278548,0.499942,0.0944993,1.33887,0.244019
220,848.383,1,9.77603,12.3175,47.7745,79.5872,0.103339,0.173151,0.963004,0.284953,0.487284,0.0991134,1.31672,0.24921
221,843.623,1,9.75382,12.6537,47.0218,72.1318,0.101235,0.174567,0.959926,0.280219,0.474945,0.0972395,1.29679,0.254047
222,834.745,1,9.70431,12.5468,46.7469,66.6227,0.101085,0.168192,0.969995,0.291291,0.486551,0.0947774,1.28392,0.247615
223,836.106,1,9.57252,13.09,46.0679,70.3842,0.100186,0.166974,0.948274,0.291789,0.502064,0.0967546,1.25141,0.247258
224,844.809,1,9.567,12.4353,45.9322,68.5037,0.102441,0.170684,0.950086,0.294335,0.506853,0.0943047,1.2745,0.246525
225,838.28,1,9.56995,11.713,46.281,76.3333,0.0980007,0.167998,0.953244,0.286882,0.51482,0.112639,1.2665,0.25055
226,836.394,1,9.56722,11.6891,46.3624,78.9783,0.0957183,0.169636,0.950707,0.285666,0.543592,0.109787,1.2861,0.245576
227,832.66,1,9.66,12.2202,46.4824,75.6277,0.0983435,0.16457,0.955066,0.278433,0.545471,0.107007,1.29478,0.243396
228,836.773,1,9.76689,12.1104,46.8094,73.1109,0.103281,0.163868,0.947069,0.271382,0.531659,0.11085,1.28493,0.246421
229,844.617,1,9.6816,11.9091,47.1529,71.3011,0.103469,0.16621,0.93788,0.264511,0.538456,0.120129,1.35801,0.240181
230,843.809,1,9.78354,12.1434,46.4605,63.6356,0.0994044,0.168679,0.959545,0.271135,0.559332,0.118168,1.32363,0.252933
231,852.858,1,9.71396,13.1266,46.5913,67.7999,0.108458,0.166182,0.944226,0.273301,0.54517,0.115176,1.29011,0.256747
232,844.547,2,9.75195,12.4547,46.1353,64.4831,0.104679,0.165886,0.95455,0.272128,0.531366,0.11226,1.25744,0.250246
233,845.792,2,9.82505,12.7957,46.1092,60.4276,0.104594,0.167807,0.959692,0.278457,0.586756,0.109417,1.22561,0.24391
234,844.862,2,9.86439,12.3323,47.3511,69.1143,0.104444,0.169031,0.963201,0.270735,0.59475,0.09475,1.14087,0.245961
235,842.562,2,9.72629,11.6359,47.0872,75.3836,0.0990702,0.179354,0.947218,0.286619,0.540959,0.0828214,1.13892,0.284646
236,827.27,2,9.64349,11.6768,47.3066,73.211,0.100372,0.169892,0.958142,0.287965,0.515005,0.062077,1.18404,0.256507
237,826.562,2,9.63051,12.0579,47.461,78.2624,0.0987999,0.169279,0.956232,0.287478,0.546599,0.0595861,1.21751,0.281576
238,834.195,2,9.68902,12.6066,47.2998,74.1158,0.10381,0.16681,0.942068,0.282169,0.602589,0.0608719,1.16064,0.275188
239,831.437,2,9.7426,11.7883,46.6347,75.1073,0.101601,0.166318,0.958968,0.268928,0.633778,0.069316,1.11441,0.259445
240,842.35,2,9.69941,11.6015,46.7634,73.8303,0.102007,0.171755,0.952249,0.265529,0.682895,0.0718638,1.05217,0.254825
241,834.772,2,9.73562,11.8623,46.4432,68.3591,0.100311,0.171642,0.947027,0.267077,0.749539,0.070061,1.04709,0.23979
242,830.674,2,9.7404,11.3029,47.0517,68.4931,0.0991368,0.168086,0.953809,0.270963,0.702791,0.0733875,1.05604,0.25017
243,844.109,2,9.74689,11.4795,47.2424,71.0593,0.100872,0.174623,0.950479,0.264963,0.683903,0.0782608,1.02651,0.24525
244,839.218,2,9.72785,11.5032,46.694,69.3188,0.101948,0.169802,0.952393,0.256681,0.64668,0.0843878,1.08192,0.245135
245,836.949,2,9.71754,11.1152,46.5418,67.8585,0.10224,0.173347,0.944471,0.256124,0.585396,0.0814753,1.06617,0.23806
246,838.221,2,9.80478,11.3345,46.3268,68.076,0.103017,0.171076,0.950912,0.248915,0.570641,0.0921148,1.05215,0.244508
247,838.296,2,9.78699,11.5823,46.2406,72.9871,0.100613,0.171424,0.955554,0.255372,0.594677,0.0978743,1.01868,0.245749
248,838.673,2,9.8153,11.6369,46.1601,75.9665,0.10171,0.172154,0.959472,0.252302,0.575495,0.0955459,0.983793,0.249232
249,834.047,2,9.82558,11.6916,46.1392,76.1517,0.100868,0.169802,0.961796,0.253979,0.599357,0.090011,1.02902,0.253823
250,830.439,2,9.8898,11.7517,46.5264,74.5974,0.101405,0.166985,0.96308,0.262614,0.596924,0.0891614,1.01337,0.256678
251,829.923,2,9.89859,11.9067,46.5254,74.211,0.102127,0.164612,0.9586,0.265235,0.595514,0.0921215,0.986473,0.260284
252,839.129,2,9.88952,12.208,46.2854,70.9459,0.103371,0.165364,0.951185,0.262933,0.601639,0.0912793,0.998445,0.266786
253,835.664,2,9.90279,12.209,46.416,66.8924,0.102705,0.167598,0.952098,0.259495,0.559486,0.0940779,1.02378,0.261674
254,836.894,2,9.88946,12.0244,46.1725,66.7892,0.103274,0.167675,0.953485,0.259717,0.528656,0.0952823,1.0449,0.258551
255,836.255,2,9.87366,11.9914,46.1196,68.6267,0.103748,0.166048,0.957286,0.261507,0.519318,0.0975976,1.05017,0.253802
256,838.274,2,9.85578,11.9197,45.9398,68.7845,0.102284,0.167593,0.957016,0.266281,0.528833,0.098797,1.05359,0.250952
257,842.043,2,9.87157,12.0212,46.0233,66.5412,0.103056,0.167734,0.957726,0.264747,0.539838,0.0965387,1.05753,0.246123
258,839.346,2,9.8736,12.1851,45.8435,62.889,0.103217,0.167997,0.953835,0.263595,0.552713,0.0946444,1.05904,0.244203
259,840.083,2,9.9244,12.1278,45.777,60.1309,0.103287,0.168564,0.955873,0.26228,0.564047,0.0938196,1.04536,0.246622
260,831.634,2,9.95747,11.9955,45.8276,58.6014,0.103027,0.169463,0.95476,0.261511,0.558022,0.0899892,1.0349,0.246191
261,832.658,2,9.96716,11.9445,45.7406,57.6954,0.102197,0.168176,0.956215,0.261145,0.554511,0.0965094,1.02792,0.244835
262,832.224,2,10.0002,12.0935,45.6599,56.3359,0.101724,0.168624,0.951589,0.26343,0.550629,0.0992992,1.00544,0.246874
263,834.687,2,9.99866,12.0513,45.628,57.62,0.102154,0.168576,0.949125,0.264997,0.551731,0.0983607,0.982876,0.246238
264,843.032,2,10.005,12.135,45.6117,58.1368,0.102809,0.168353,0.950284,0.265714,0.559892,0.0995447,0.986246,0.243891
265,843.188,2,10.0094,12.2446,45.6039,57.4702,0.102982,0.168885,0.950875,0.264637,0.579486,0.0999415,0.973421,0.243144
266,840.539,2,10.0135,12.1905,45.6808,57.4601,0.102478,0.169423,0.954073,0.264366,0.596904,0.0984635,0.953511,0.245064
267,841.291,2,10.0222,12.2529,45.7545,57.7921,0.102354,0.170369,0.951381,0.265354,0.610298,0.0966644,0.941159,0.249764
268,834.658,2,10.0313,12.3004,45.7744,58.2456,0.101923,0.170091,0.950265,0.26579,0.614152,0.0977641,0.932294,0.254468
269,840.028,2,10.0155,12.1479,45.8549,59.358,0.101308,0.169799,0.95146,0.268224,0.623791,0.100226,0.927806,0.256882
270,836.465,2,10.0091,12.15,45.9515,59.8154,0.101197,0.169142,0.951998,0.270107,0.623687,0.101782,0.925875,0.256418
271,839.168,2,10.0069,12.2675,45.91,59.8133,0.101308,0.169253,0.951544,0.271338,0.624364,0.101843,0.929345,0.254827
272,845.725,2,9.99729,12.2835,45.9189,60.1089,0.101207,0.170443,0.951013,0.273506,0.621931,0.101275,0.937252,0.254197
273,841.981,2,9.99286,12.2644,45.8916,60.2651,0.101366,0.170803,0.950159,0.273288,0.618669,0.100842,0.943316,0.254003
274,844.669,2,9.987,12.1416,45.9265,60.9863,0.101298,0.171984,0.950934,0.272897,0.611086,0.100599,0.948227,0.251206
275,833.61,2,9.98101,12.1088,45.9198,61.6835,0.10113,0.172146,0.949488,0.272183,0.614646,0.0994925,0.943426,0.25098
276,839.746,2,9.97948,12.1258,45.9437,62.1004,0.101207,0.171398,0.950047,0.271663,0.619538,0.100432,0.939842,0.252591
277,835.406,2,9.97138,12.009,46.0319,62.1279,0.100783,0.171534,0.95068,0.270244,0.619669,0.099904,0.951725,0.252449
278,844.762,2,9.95864,11.8963,46.1315,62.8252,0.100524,0.172491,0.950792,0.268929,0.623023,0.0990657,0.957367,0.250917
279,840.24,2,9.95488,11.8982,46.172,63.2361,0.100475,0.172268,0.951082,0.267987,0.632114,0.0989314,0.954484,0.251093
280,843.544,2,9.95534,11.9194,46.2101,63.5677,0.100708,0.172147,0.951391,0.266888,0.633845,0.0988639,0.955999,0.251307
281,836.043,2,9.94975,11.9367,46.2422,64.1256,0.100546,0.172143,0.950564,0.266757,0.632761,0.0989028,0.956936,0.252443
282,854.798,2,9.93991,11.9376,46.2638,64.5258,0.100731,0.172505,0.950575,0.266731,0.631333,0.0989949,0.963735,0.252162
283,844.648,2,9.93795,11.9451,46.251,64.6906,0.100774,0.172423,0.950517,0.26663,0.631293,0.0990639,0.96504,0.252498
284,840.688,2,9.9341,11.9531,46.246,64.9619,0.10073,0.17245,0.950374,0.266864,0.630903,0.0990333,0.965331,0.252635
285,849.884,2,9.93034,11.9539,46.2427,65.1057,0.100767,0.172442,0.950018,0.267171,0.631969,0.0991303,0.964904,0.252724
286,843.357,2,9.92827,11.9639,46.2426,65.2715,0.100837,0.172342,0.949985,0.267226,0.63226,0.09922,0.963775,0.252667
287,843.228,2,9.92761,11.9657,46.2421,65.3893,0.100778,0.17239,0.95025,0.267133,0.632725,0.0994494,0.963242,0.252806
288,839.937,2,9.92688,11.9786,46.2388,65.5755,0.100764,0.172298,0.950385,0.267098,0.633954,0.0997026,0.964162,0.252675
289,838.545,2,9.92883,11.9766,46.2409,65.6987,0.100801,0.172228,0.950597,0.266862,0.633555,0.0999368,0.963448,0.252503
290,844.359,2,9.92986,11.9589,46.2403,65.7258,0.10082,0.172271,0.950709,0.266749,0.633854,0.099835,0.963096,0.252394
291,844.946,2,9.93175,11.9538,46.2577,65.7549,0.100901,0.172259,0.950711,0.26653,0.634693,0.0997757,0.961885,0.252249
292,843.919,2,9.9335,11.945,46.2639,65.77,0.100933,0.17223,0.950921,0.266327,0.63649,0.0998082,0.961327,0.251858
293,849.16,2,9.93657,11.9471,46.2521,65.5709,0.100991,0.172302,0.951088,0.266111,0.637177,0.0997206,0.959733,0.251684
294,847.738,2,9.93816,11.952,46.2511,65.415,0.101052,0.172254,0.951259,0.265929,0.639324,0.0997387,0.958647,0.251272
295,839.946,2,9.94048,11.9631,46.2452,65.2383,0.101099,0.17213,0.951238,0.265682,0.640747,0.0997282,0.957962,0.251192
296,839.323,2,9.9427,11.9656,46.2396,65.0865,0.101147,0.172105,0.951333,0.2655,0.640945,0.0996519,0.956468,0.250882
297,840.026,2,9.94511,11.9572,46.2362,64.9172,0.101177,0.172049,0.951415,0.265232,0.640995,0.0999269,0.954799,0.250566
298,835.946,2,9.947,11.9463,46.2332,64.6957,0.101159,0.17206,0.951513,0.265058,0.641307,0.0998128,0.953614,0.250433
299,838.724,2,9.94901,11.9421,46.2242,64.5291,0.101114,0.172121,0.951535,0.264792,0.642318,0.0997558,0.952335,0.250347
300,841.104,2,9.95047,11.9317,46.2252,64.3845,0.101092,0.172116,0.951812,0.264719,0.643572,0.0997215,0.951323,0.250229
301,848.63,2,9.95093,11.9232,46.2165,64.2458,0.101136,0.17214,0.951677,0.264651,0.645023,0.0995686,0.949705,0.250289
302,846.535,2,9.95264,11.9141,46.2107,64.1632,0.101216,0.172088,0.951777,0.264551,0.645808,0.0995362,0.948378,0.250202
303,834.252,2,9.95399,11.9048,46.2189,64.1391,0.101196,0.172051,0.951707,0.264501,0.646104,0.0996737,0.947127,0.250223
304,838.36,2,9.95516,11.9095,46.2181,64.1678,0.101249,0.172036,0.951667,0.264361,0.645482,0.0995878,0.946424,0.250121
305,839.741,2,9.95601,11.9128,46.2067,64.1733,0.101262,0.172053,0.951691,0.26429,0.645842,0.0994564,0.94565,0.249981
306,846.587,2,9.95783,11.9146,46.1958,64.1289,0.101284,0.172116,0.951665,0.264128,0.645811,0.0995193,0.945487,0.250131
307,834.192,2,9.95817,11.9109,46.1951,64.0818,0.101277,0.172115,0.951475,0.263966,0.646295,0.0993897,0.944913,0.250038
308,841.9,2,9.95931,11.9128,46.1878,64.072,0.101303,0.172107,0.951573,0.263817,0.646981,0.0993171,0.944751,0.250006
309,846.163,2,9.95936,11.8978,46.1807,64.1424,0.101306,0.172192,0.9514,0.263563,0.647595,0.0994734,0.943737,0.249856
310,850.732,2,9.95982,11.8852,46.1844,64.1311,0.10135,0.17217,0.951443,0.263306,0.648785,0.0995041,0.944179,0.249896
311,845.348,2,9.95969,11.8811,46.1894,64.1273,0.101363,0.172156,0.951277,0.263304,0.648495,0.099632,0.945222,0.249953
312,839.42,2,9.95934,11.8827,46.1884,64.1416,0.101374,0.172114,0.951133,0.263323,0.647585,0.0997157,0.946302,0.249975
313,847.727,2,9.95878,11.883,46.1822,64.2525,0.101423,0.172103,0.951045,0.263429,0.64731,0.0999191,0.945634,0.250027
314,838.512,2,9.95753,11.8704,46.1774,64.3236,0.101428,0.172127,0.950985,0.263462,0.646312,0.0998618,0.944546,0.250133
315,845.443,2,9.95679,11.8651,46.1726,64.3548,0.101451,0.172127,0.950844,0.263525,0.646076,0.0998905,0.943745,0.250375
316,848.111,2,9.95747,11.8638,46.1766,64.3381,0.101525,0.172048,0.950815,0.263428,0.646645,0.0999068,0.942863,0.250485
317,852.326,2,9.95814,11.8588,46.1769,64.354,0.101552,0.172078,0.950809,0.26335,0.648195,0.0999485,0.941909,0.250426
318,849.901,2,9.95937,11.8622,46.1844,64.3231,0.101596,0.172072,0.950988,0.263316,0.64887,0.100066,0.941427,0.250087
319,842.053,2,9.96007,11.8622,46.1879,64.3394,0.101661,0.171996,0.95123,0.263236,0.647974,0.100082,0.940804,0.250063
320,840.867,2,9.96071,11.8573,46.2009,64.3451,0.101685,0.171944,0.951233,0.263169,0.646927,0.100405,0.940181,0.250108
321,833.005,2,9.96221,11.8454,46.2095,64.3415,0.101697,0.171932,0.951235,0.263033,0.646714,0.100338,0.939376,0.250155
322,842.175,2,9.96241,11.8392,46.2173,64.3676,0.101722,0.171886,0.951276,0.263111,0.646159,0.100434,0.939177,0.25026
323,838.652,2,9.96348,11.8374,46.2225,64.3595,0.101781,0.17182,0.951387,0.263084,0.645599,0.100389,0.938239,0.250291
324,850.822,2,9.96388,11.8326,46.2277,64.3645,0.101845,0.171811,0.951394,0.263151,0.645503,0.100445,0.937048,0.250303
325,842.555,2,9.965,11.8288,46.2255,64.3459,0.101923,0.171746,0.951448,0.263181,0.645829,0.100343,0.935943,0.250331
326,853.163,2,9.96518,11.8337,46.223,64.3619,0.102006,0.171731,0.951552,0.263199,0.646973,0.100216,0.934701,0.250319
327,850.826,2,9.96495,11.8324,46.2227,64.2779,0.102026,0.171788,0.951278,0.263358,0.647898,0.100232,0.933857,0.250277
328,850.527,2,9.96458,11.8238,46.2235,64.1569,0.102008,0.171863,0.95104,0.263401,0.649159,0.100253,0.933047,0.250345
329,846.852,2,9.96464,11.8131,46.2278,64.097,0.101973,0.171908,0.951068,0.263655,0.650295,0.100179,0.932809,0.250531
330,837.671,2,9.96479,11.817,46.2321,64.1293,0.101942,0.171846,0.951212,0.263961,0.650988,0.100279,0.932236,0.250639
331,846.564,2,9.96492,11.8192,46.2247,64.1085,0.101919,0.171896,0.951314,0.264119,0.651412,0.100346,0.931544,0.25054
332,842.275,2,9.96469,11.8203,46.2323,64.089,0.101884,0.171907,0.951458,0.264261,0.651404,0.100509,0.930956,0.250419
333,848.3,2,9.9652,11.8192,46.2272,64.0332,0.101879,0.171932,0.951718,0.264351,0.651614,0.100514,0.930986,0.250329
334,840.324,2,9.9658,11.8234,46.2299,64.0473,0.101881,0.171917,0.951802,0.264551,0.652108,0.100438,0.931333,0.250273
335,846.948,2,9.96537,11.8233,46.2284,64.0098,0.101906,0.171926,0.951766,0.26469,0.652434,0.100331,0.931841,0.250149
336,849.469,2,9.96498,11.8219,46.2283,63.9952,0.101956,0.171927,0.951856,0.26477,0.652515,0.100254,0.931367,0.249895
337,843.097,2,9.96466,11.8125,46.2317,63.9429,0.101988,0.171911,0.95169,0.264765,0.65235,0.10024,0.931667,0.24983
338,845.488,2,9.96476,11.8081,46.2425,63.9491,0.102047,0.171865,0.951621,0.264762,0.652174,0.100221,0.931738,0.249832
339,842.271,2,9.96504,11.8121,46.2467,63.9272,0.102101,0.171794,0.951546,0.264787,0.652247,0.100165,0.931722,0.249917
340,846.123,2,9.96516,11.811,46.2457,63.915,0.102088,0.171844,0.951406,0.264835,0.652255,0.100203,0.93195,0.250111
341,844.71,2,9.96557,11.8143,46.2368,63.8894,0.102105,0.171861,0.951387,0.264677,0.652215,0.100219,0.931963,0.250067
342,848.209,2,9.96598,11.8128,46.2305,63.8632,0.10212,0.17187,0.951435,0.264586,0.652192,0.100258,0.931416,0.250008
343,835.422,2,9.96617,11.8097,46.2285,63.8317,0.102098,0.171835,0.951283,0.264535,0.651784,0.100357,0.930622,0.250188
344,835.315,2,9.96718,11.8058,46.2289,63.7786,0.102049,0.171849,0.951255,0.264497,0.651831,0.100389,0.930319,0.25024
345,841.566,2,9.96758,11.7922,46.2273,63.7576,0.102033,0.171896,0.951183,0.264436,0.651746,0.100415,0.93007,0.250104
346,845.129,2,9.96787,11.7922,46.2277,63.7006,0.102051,0.171884,0.951015,0.264477,0.651763,0.100454,0.929325,0.250096
347,840.039,2,9.96842,11.7894,46.2258,63.6554,0.102063,0.17188,0.950877,0.264435,0.651591,0.100503,0.928053,0.250171
348,844.321,2,9.96877,11.7867,46.2278,63.6365,0.102073,0.171856,0.950784,0.264435,0.652149,0.100575,0.927297,0.250205
349,847.527,2,9.96995,11.7822,46.225,63.5639,0.102082,0.171857,0.950763,0.264413,0.652586,0.100729,0.92685,0.25009
350,845.906,2,9.9713,11.7725,46.2283,63.4759,0.102066,0.171878,0.950677,0.264428,0.653375,0.100866,0.926345,0.250082
351,836.122,2,9.97204,11.7694,46.2281,63.3738,0.102063,0.17185,0.950654,0.264318,0.65372,0.100813,0.925678,0.250081
