parameter,value
Cl_pop,10.5545928479131
beta_Cl_logtCLCRMLMIN,0.650466533301336
beta_Cl_logtWTKG,0.776940263979751
V1_pop,43.5994107720503
beta_V1_logtPROGDL,-0.391950900514503
Q_pop,18.8443323280694
beta_Q_ANTU_2,-0.611540394295062
beta_Q_logtAGEA,1.5924897137657
beta_Q_logtCLCRMLMIN,1.58563519859515
beta_Q_logtSCRMGDL,0.605890983451664
V2_pop,52.1749348225418
omega_Cl,0.177060979271746
omega_V1,0.232207346188443
omega_Q,0.00674554852558846
omega_V2,0.167041536313367
corr_V2_V1,0.998859306246122
a1,0.30460075595422
a2,0.0610952543168078
