parameter,value,se_lin,rse_lin
Cl_pop,5.17382034015482,0.349386738653241,6.75297392801983
V1_pop,19.6615594845371,1.73261278659446,8.81218393666629
Q_pop,6.77313373440241,1.29902299323068,19.179054248296
V2_pop,22.7193741470288,3.0194815864498,13.2903378715856
omega_Cl,0.251290313077203,0.0479938028313636,19.098946650052
omega_V1,0.303420398062983,0.0662408985617069,21.8313926764927
omega_Q,0.631123934787817,0.149799588034618,23.7353679329212
omega_V2,0.349817688590804,0.125119224313183,35.7669804569375
corr_V2_V1,0.9989812416933,0.185455374691214,18.5644501569281
a1,0.305539007646685,0.0223912365353421,7.32843793262385
a2,0.0617457189259729,0.00620383888939623,10.0473992323808
